,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,650,3
Blieskastel,721,4
Gersheim,132,1
Homburg,2173,13
Kirkel,399,0
Mandelbachtal,358,1
St. Ingbert,1864,10
