,Bisherige Infektionen Gesamt,Veränderung zum Vortag
Bexbach,622,0
Blieskastel,678,0
Gersheim,124,0
Homburg,2086,0
Kirkel,381,0
Mandelbachtal,341,0
St. Ingbert,1789,0
