,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
0,1,Emden,0,119,49,-17.65% ↘
3,4,Weiden i.d.OPf.,0,161,77,-4.35% ↘
5,6,Zweibrücken,0,225,122,8.44% ↗
6,7,Wilhelmshaven,0,226,116,2.65% ↗
10,11,Schwabach,0,260,110,-15.38% ↘
11,12,Neumünster,0,267,144,7.87% ↗
12,13,Delmenhorst,0,270,127,-5.93% ↘
13,14,Passau,0,271,119,-12.18% ↘
17,18,Straubing,0,286,134,-6.29% ↘
18,19,Pirmasens,0,286,131,-8.39% ↘
20,21,Amberg,0,295,109,-26.10% ↘
22,23,Hof,0,299,145,-3.01% ↘
29,30,Landau i.d.Pfalz,0,324,159,-1.85% ↘
30,31,Flensburg,0,324,184,13.58% ↗
31,32,Trier,0,340,189,11.18% ↗
33,34,Ansbach,0,341,156,-8.50% ↘
34,35,Baden-Baden,0,343,154,-10.20% ↘
36,37,Aschaffenburg,0,347,142,-18.16% ↘
41,42,Memmingen,1,370,115,-37.84% ↘
42,43,Frankenthal,1,373,152,-18.50% ↘
44,45,Oldenburg,0,384,185,-3.65% ↘
45,46,Kaufbeuren,0,385,159,-17.40% ↘
52,53,Bayreuth,0,415,175,-15.66% ↘
54,55,Landshut,0,421,162,-23.04% ↘
57,58,Erlangen,0,443,155,-30.02% ↘
58,59,Neustadt a.d.Weinstraße,0,447,180,-19.46% ↘
60,61,Bremerhaven,0,453,206,-9.05% ↘
63,64,Bottrop,0,469,192,-18.12% ↘
65,66,Coburg,0,477,298,24.95% ↗
66,67,Schwerin,0,478,238,-0.42% ↘
67,68,Speyer,1,482,197,-18.26% ↘
70,71,Koblenz,1,489,220,-10.02% ↘
82,83,Salzgitter,1,577,262,-9.19% ↘
83,84,Kempten,0,579,211,-27.12% ↘
93,94,Rosenheim,0,612,224,-26.80% ↘
94,95,Bamberg,0,613,268,-12.56% ↘
95,96,Schweinfurt,0,615,317,3.09% ↗
96,97,Wolfsburg,0,616,331,7.47% ↗
100,101,Mülheim a.d.Ruhr,0,638,257,-19.44% ↘
107,108,Worms,0,654,231,-29.36% ↘
112,113,Osnabrück,0,677,307,-9.31% ↘
113,114,Suhl,0,681,328,-3.67% ↘
114,115,Würzburg,0,691,323,-6.51% ↘
118,119,Kaiserslautern,1,730,311,-14.79% ↘
125,126,Darmstadt,0,765,337,-11.90% ↘
128,129,Frankfurt (Oder),0,782,362,-7.42% ↘
137,138,Kiel,0,815,405,-0.61% ↘
142,143,Mainz,0,821,338,-17.66% ↘
148,149,Solingen,0,833,421,1.08% ↗
149,150,Remscheid,0,834,395,-5.28% ↘
164,165,Heidelberg,0,878,407,-7.29% ↘
170,171,Fürth,0,891,426,-4.38% ↘
171,172,Braunschweig,0,891,387,-13.13% ↘
172,173,Ulm,0,891,383,-14.03% ↘
175,176,Münster,0,907,356,-21.50% ↘
178,179,Leverkusen,0,917,438,-4.47% ↘
181,182,Hamm,0,949,403,-15.07% ↘
185,186,Herne,0,968,437,-9.71% ↘
187,188,Kassel,0,979,488,-0.31% ↘
194,195,Brandenburg a.d.Havel,1,1005,558,11.04% ↗
195,196,Lübeck,0,1005,463,-7.86% ↘
203,204,Oberhausen,0,1045,590,12.92% ↗
204,205,Regensburg,0,1053,467,-11.30% ↘
205,206,Weimar,0,1061,530,-0.09% ↘
212,213,Offenbach,0,1099,505,-8.10% ↘
217,218,Mönchengladbach,0,1134,554,-2.29% ↘
220,221,Ingolstadt,0,1146,488,-14.83% ↘
225,226,Ludwigshafen,0,1175,449,-23.57% ↘
229,230,Gelsenkirchen,1,1191,408,-31.49% ↘
232,233,Potsdam,0,1226,583,-4.89% ↘
233,234,Hagen,0,1233,483,-21.65% ↘
235,236,Berlin Steglitz-Zehlendorf,0,1240,575,-7.26% ↘
236,237,Dessau-Roßlau,0,1252,508,-18.85% ↘
241,242,Heilbronn,0,1284,565,-11.99% ↘
261,262,Berlin Reinickendorf,0,1455,697,-4.19% ↘
265,266,Bonn,0,1513,595,-21.35% ↘
268,269,Krefeld,0,1539,697,-9.42% ↘
272,273,Rostock,0,1569,746,-4.91% ↘
278,279,Freiburg i.Breisgau,0,1614,684,-15.24% ↘
279,280,Bochum,0,1616,752,-6.93% ↘
281,282,Jena,0,1628,790,-2.95% ↘
287,288,Gera,0,1698,788,-7.18% ↘
288,289,Berlin Charlottenburg-Wilmersdorf,0,1701,845,-0.65% ↘
289,290,Augsburg,0,1717,681,-20.68% ↘
290,291,Pforzheim,0,1723,767,-10.97% ↘
301,302,Berlin Friedrichshain-Kreuzberg,0,1788,863,-3.47% ↘
303,304,Karlsruhe,0,1835,864,-5.83% ↘
305,306,Bielefeld,0,1865,765,-17.96% ↘
307,308,Berlin Lichtenberg,1,1879,806,-14.21% ↘
311,312,Berlin Spandau,1,1941,814,-16.13% ↘
318,319,Berlin Treptow-Köpenick,1,2021,982,-2.82% ↘
327,328,Berlin Tempelhof-Schöneberg,1,2115,1005,-4.96% ↘
329,330,Duisburg,0,2151,935,-13.06% ↘
330,331,Mannheim,0,2154,872,-19.03% ↘
335,336,Berlin Marzahn-Hellersdorf,0,2246,1436,27.87% ↗
337,338,Berlin Neukölln,0,2284,1119,-2.01% ↘
338,339,Wiesbaden,0,2298,747,-34.99% ↘
344,345,Cottbus,0,2380,1229,3.28% ↗
353,354,Berlin Pankow,1,2548,1283,0.71% ↗
354,355,Wuppertal,0,2550,1097,-13.96% ↘
358,359,Berlin Mitte,1,2588,1239,-4.25% ↘
369,370,Bremen,0,2882,1684,16.86% ↗
371,372,Magdeburg,0,2987,1406,-5.86% ↘
375,376,Essen,0,3111,1589,2.15% ↗
379,380,Dortmund,0,3245,1515,-6.63% ↘
380,381,Erfurt,1,3402,1667,-2.00% ↘
383,384,Düsseldorf,0,3496,1535,-12.19% ↘
384,385,Halle,0,3498,1759,0.57% ↗
389,390,Nürnberg,0,3895,1733,-11.01% ↘
392,393,Frankfurt am Main,0,4142,1928,-6.90% ↘
393,394,Chemnitz,0,4161,1795,-13.72% ↘
403,404,Leipzig,0,6193,2484,-19.78% ↘
404,405,Stuttgart,0,6404,3001,-6.28% ↘
406,407,München,0,7811,3278,-16.07% ↘
408,409,Köln,0,8406,3002,-28.57% ↘
409,410,Dresden,0,9074,3698,-18.49% ↘
410,411,Hamburg,0,10756,5915,9.99% ↗
