,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
2,3,Eisenach,14,0,0,0.00% →
3,4,Weimar,14,0,0,0.00% →
8,9,Coburg,5,1,1,100.00% ↗
15,16,Brandenburg a.d.Havel,8,2,0,-100.00% ↘
27,28,Straubing,4,3,2,33.33% ↗
33,34,Weiden i.d.OPf.,0,3,2,33.33% ↗
38,39,Dessau-Roßlau,3,4,3,50.00% ↗
39,40,Neustadt a.d.Weinstraße,3,4,1,-50.00% ↘
41,42,Gera,1,4,3,50.00% ↗
47,48,Jena,6,5,1,-60.00% ↘
48,49,Frankenthal,4,5,2,-20.00% ↘
51,52,Kaufbeuren,4,5,4,60.00% ↗
52,53,Ansbach,3,5,3,20.00% ↗
63,64,Schwabach,3,6,4,33.33% ↗
64,65,Pirmasens,1,6,4,33.33% ↗
72,73,Suhl,0,6,6,100.00% ↗
73,74,Passau,0,6,4,33.33% ↗
76,77,Emden,1,7,6,71.43% ↗
80,81,Chemnitz,0,7,2,-42.86% ↘
81,82,Kempten,0,7,7,100.00% ↗
84,85,Hof,10,8,0,-100.00% ↘
90,91,Rosenheim,1,9,4,-11.11% ↘
94,95,Flensburg,0,9,4,-11.11% ↘
95,96,Zweibrücken,0,9,6,33.33% ↗
97,98,Memmingen,0,9,6,33.33% ↗
104,105,Pforzheim,0,10,4,-20.00% ↘
105,106,Bayreuth,0,10,3,-40.00% ↘
106,107,Frankfurt (Oder),6,11,2,-63.64% ↘
115,116,Erfurt,0,12,8,33.33% ↗
123,124,Bremerhaven,0,12,10,66.67% ↗
129,130,Remscheid,0,13,4,-38.46% ↘
131,132,Bottrop,1,14,5,-28.57% ↘
134,135,Schweinfurt,0,14,7,0.00% →
138,139,Aschaffenburg,0,15,9,20.00% ↗
139,140,Landau i.d.Pfalz,0,15,9,20.00% ↗
140,141,Landshut,0,15,8,6.67% ↗
154,155,Herne,0,17,11,29.41% ↗
157,158,Baden-Baden,0,17,10,17.65% ↗
158,159,Schwerin,0,17,12,41.18% ↗
160,161,Worms,1,18,12,33.33% ↗
161,162,Potsdam,1,18,8,-11.11% ↘
162,163,Halle,0,18,11,22.22% ↗
167,168,Mülheim a.d.Ruhr,0,18,9,0.00% →
172,173,Heilbronn,0,19,14,47.37% ↗
176,177,Amberg,0,19,14,47.37% ↗
178,179,Cottbus,2,20,13,30.00% ↗
185,186,Fürth,0,21,11,4.76% ↗
191,192,Wilhelmshaven,0,21,18,71.43% ↗
192,193,Rostock,0,21,13,23.81% ↗
194,195,Magdeburg,0,21,9,-14.29% ↘
196,197,Erlangen,0,22,17,54.55% ↗
201,202,Speyer,1,23,14,21.74% ↗
204,205,Delmenhorst,0,23,17,47.83% ↗
216,217,Koblenz,0,24,12,0.00% →
232,233,Berlin Marzahn-Hellersdorf,0,26,17,30.77% ↗
245,246,Kassel,0,28,15,7.14% ↗
260,261,Neumünster,0,32,11,-31.25% ↘
262,263,Oldenburg,0,33,28,69.70% ↗
273,274,Ludwigshafen,0,35,17,-2.86% ↘
274,275,Osnabrück,1,36,20,11.11% ↗
277,278,Heidelberg,0,37,15,-18.92% ↘
282,283,Gelsenkirchen,0,39,22,12.82% ↗
283,284,Hagen,0,39,22,12.82% ↗
285,286,Leverkusen,0,39,30,53.85% ↗
286,287,Mönchengladbach,0,39,23,17.95% ↗
288,289,Salzgitter,0,40,20,0.00% →
291,292,Kiel,0,41,24,17.07% ↗
292,293,Kaiserslautern,0,42,36,71.43% ↗
298,299,Berlin Treptow-Köpenick,0,43,29,34.88% ↗
299,300,Braunschweig,0,44,26,18.18% ↗
300,301,Offenbach,0,44,31,40.91% ↗
303,304,Bamberg,0,45,27,20.00% ↗
306,307,Ingolstadt,0,48,24,0.00% →
308,309,Würzburg,0,48,21,-12.50% ↘
315,316,Regensburg,0,52,35,34.62% ↗
