,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
0,1,Suhl,0,634,396,24.92% ↗
5,6,Zweibrücken,0,863,394,-8.69% ↘
7,8,Coburg,0,876,550,25.57% ↗
8,9,Pirmasens,0,895,442,-1.23% ↘
10,11,Neustadt a.d.Weinstraße,0,955,604,26.49% ↗
11,12,Hof,0,963,533,10.70% ↗
13,14,Landau i.d.Pfalz,0,1005,464,-7.66% ↘
17,18,Weimar,0,1056,587,11.17% ↗
19,20,Frankenthal,0,1134,599,5.64% ↗
20,21,Speyer,0,1173,576,-1.79% ↘
22,23,Emden,0,1221,639,4.67% ↗
25,26,Passau,0,1308,639,-2.29% ↘
27,28,Ansbach,0,1370,690,0.73% ↗
28,29,Weiden i.d.OPf.,0,1371,745,8.68% ↗
30,31,Memmingen,0,1393,743,6.68% ↗
31,32,Schwabach,0,1448,782,8.01% ↗
32,33,Straubing,0,1456,722,-0.82% ↘
34,35,Kaufbeuren,0,1477,802,8.60% ↗
35,36,Gera,0,1495,966,29.23% ↗
40,41,Amberg,0,1548,805,4.01% ↗
42,43,Baden-Baden,0,1626,822,1.11% ↗
49,50,Brandenburg a.d.Havel,0,1796,919,2.34% ↗
51,52,Delmenhorst,0,1812,876,-3.31% ↘
53,54,Wilhelmshaven,0,1826,975,6.79% ↗
56,57,Jena,0,1846,1044,13.11% ↗
67,68,Schweinfurt,0,2015,955,-5.21% ↘
70,71,Bamberg,0,2068,1116,7.93% ↗
74,75,Dessau-Roßlau,0,2137,1136,6.32% ↗
79,80,Neumünster,0,2211,1253,13.34% ↗
82,83,Flensburg,0,2220,1054,-5.05% ↘
83,84,Frankfurt (Oder),0,2228,1116,0.18% ↗
85,86,Kempten,0,2250,1144,1.69% ↗
87,88,Cottbus,0,2343,1293,10.37% ↗
90,91,Aschaffenburg,0,2549,1401,9.93% ↗
100,101,Erfurt,0,2810,1639,16.65% ↗
101,102,Worms,0,2817,1683,19.49% ↗
104,105,Landshut,0,2849,1540,8.11% ↗
105,106,Bayreuth,0,2854,1567,9.81% ↗
106,107,Kaiserslautern,0,2855,1468,2.84% ↗
108,109,Heidelberg,0,2858,1656,15.89% ↗
110,111,Rosenheim,0,2865,1591,11.06% ↗
115,116,Schwerin,0,2930,1350,-7.85% ↘
117,118,Koblenz,0,2950,1385,-6.10% ↘
119,120,Erlangen,0,3019,1789,18.52% ↗
