,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Pirmasens,0,128,68,6.25% ↗
2,3,Zweibrücken,0,128,75,17.19% ↗
3,4,Schwabach,0,134,78,16.42% ↗
5,6,Straubing,0,143,88,23.08% ↗
6,7,Weiden i.d.OPf.,0,154,78,1.30% ↗
9,10,Emden,0,163,130,59.51% ↗
10,11,Passau,0,166,123,48.19% ↗
11,12,Coburg,0,179,70,-21.79% ↘
12,13,Ansbach,0,182,95,4.40% ↗
13,14,Kaufbeuren,0,191,105,9.95% ↗
14,15,Memmingen,0,207,97,-6.28% ↘
16,17,Hof,0,215,106,-1.40% ↘
17,18,Amberg,0,217,118,8.76% ↗
19,20,Wilhelmshaven,0,219,146,33.33% ↗
21,22,Landau i.d.Pfalz,0,225,159,41.33% ↗
23,24,Speyer,0,243,138,13.58% ↗
26,27,Neustadt a.d.Weinstraße,0,247,135,9.31% ↗
28,29,Aschaffenburg,0,255,143,12.16% ↗
29,30,Suhl,0,257,125,-2.72% ↘
31,32,Frankenthal,0,261,133,1.92% ↗
32,33,Landshut,0,261,187,43.30% ↗
38,39,Rosenheim,0,281,178,26.69% ↗
41,42,Worms,0,294,145,-1.36% ↘
48,49,Bayreuth,0,309,208,34.63% ↗
50,51,Baden-Baden,0,313,180,15.02% ↗
53,54,Bamberg,0,322,195,21.12% ↗
57,58,Dessau-Roßlau,0,339,143,-15.63% ↘
65,66,Kempten,0,360,197,9.44% ↗
72,73,Schwerin,0,379,246,29.82% ↗
74,75,Frankfurt (Oder),0,385,196,1.82% ↗
76,77,Erlangen,0,388,233,20.10% ↗
86,87,Schweinfurt,0,418,234,11.96% ↗
91,92,Bottrop,0,428,265,23.83% ↗
92,93,Neumünster,0,432,272,25.93% ↗
97,98,Salzgitter,0,440,267,21.36% ↗
100,101,Trier,0,445,306,37.53% ↗
115,116,Fürth,0,481,235,-2.29% ↘
116,117,Weimar,0,481,199,-17.26% ↘
128,129,Wolfsburg,0,520,327,25.77% ↗
133,134,Koblenz,0,548,332,21.17% ↗
136,137,Remscheid,0,550,341,24.00% ↗
140,141,Ulm,0,561,330,17.65% ↗
142,143,Gera,0,567,235,-17.11% ↘
145,146,Delmenhorst,0,573,416,45.20% ↗
158,159,Regensburg,0,619,383,23.75% ↗
172,173,Flensburg,0,658,475,44.38% ↗
174,175,Brandenburg a.d.Havel,0,661,310,-6.20% ↘
180,181,Osnabrück,0,691,443,28.22% ↗
181,182,Hamm,0,698,394,12.89% ↗
186,187,Hagen,0,717,421,17.43% ↗
190,191,Bremerhaven,0,727,543,49.38% ↗
200,201,Würzburg,0,751,501,33.42% ↗
201,202,Herne,0,752,413,9.84% ↗
203,204,Ingolstadt,0,754,425,12.73% ↗
207,208,Heilbronn,0,772,408,5.70% ↗
208,209,Jena,0,772,307,-20.47% ↘
210,211,Mülheim a.d.Ruhr,0,779,464,19.13% ↗
211,212,Kaiserslautern,0,785,462,17.71% ↗
217,218,Pforzheim,0,815,477,17.06% ↗
228,229,Heidelberg,0,872,538,23.39% ↗
230,231,Kassel,0,874,525,20.14% ↗
231,232,Oldenburg,0,875,576,31.66% ↗
240,241,Ludwigshafen,0,913,540,18.29% ↗
244,245,Offenbach,0,934,514,10.06% ↗
246,247,Leverkusen,0,947,609,28.62% ↗
249,250,Gelsenkirchen,0,964,530,9.96% ↗
253,254,Darmstadt,0,995,640,28.64% ↗
254,255,Mönchengladbach,0,997,631,26.58% ↗
263,264,Braunschweig,0,1088,596,9.56% ↗
266,267,Oberhausen,0,1105,716,29.59% ↗
270,271,Solingen,0,1115,696,24.84% ↗
276,277,Berlin Marzahn-Hellersdorf,0,1152,736,27.78% ↗
283,284,Krefeld,0,1194,823,37.86% ↗
287,288,Potsdam,0,1222,703,15.06% ↗
289,290,Mainz,0,1227,874,42.46% ↗
291,292,Bielefeld,0,1241,567,-8.62% ↘
292,293,Rostock,0,1247,660,5.85% ↗
293,294,Lübeck,0,1249,1030,64.93% ↗
299,300,Cottbus,0,1313,543,-17.29% ↘
304,305,Magdeburg,0,1344,672,0.00% →
316,317,Augsburg,0,1431,860,20.20% ↗
319,320,Freiburg i.Breisgau,0,1438,878,22.11% ↗
327,328,Halle,0,1519,799,5.20% ↗
328,329,Chemnitz,0,1525,747,-2.03% ↘
330,331,Bochum,0,1553,968,24.66% ↗
334,335,Berlin Spandau,0,1571,939,19.54% ↗
341,342,Wiesbaden,0,1637,1079,31.83% ↗
343,344,Bonn,0,1664,1038,24.76% ↗
344,345,Mannheim,0,1667,970,16.38% ↗
353,354,Münster,0,1819,1104,21.39% ↗
354,355,Berlin Charlottenburg-Wilmersdorf,0,1823,1061,16.40% ↗
356,357,Karlsruhe,0,1850,1133,22.49% ↗
359,360,Berlin Reinickendorf,0,1890,987,4.44% ↗
362,363,Kiel,0,1930,1435,48.70% ↗
363,364,Berlin Treptow-Köpenick,0,1937,1163,20.08% ↗
