,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Emden,0,55,38,38.18% ↗
4,5,Zweibrücken,0,77,42,9.09% ↗
7,8,Pirmasens,0,90,66,46.67% ↗
11,12,Hof,0,110,77,40.00% ↗
12,13,Coburg,0,113,71,25.66% ↗
13,14,Neumünster,0,115,41,-28.70% ↘
17,18,Amberg,0,122,54,-11.48% ↘
18,19,Kaiserslautern,1,125,77,23.20% ↗
21,22,Brandenburg a.d.Havel,1,131,74,12.98% ↗
23,24,Wilhelmshaven,0,136,63,-7.35% ↘
24,25,Weiden i.d.OPf.,0,140,73,4.29% ↗
25,26,Schwerin,1,141,65,-7.80% ↘
27,28,Landau i.d.Pfalz,0,143,82,14.69% ↗
29,30,Neustadt a.d.Weinstraße,0,147,95,29.25% ↗
31,32,Delmenhorst,1,152,91,19.74% ↗
32,33,Bayreuth,0,154,112,45.45% ↗
33,34,Frankenthal,1,155,84,8.39% ↗
34,35,Flensburg,0,155,81,4.52% ↗
35,36,Ansbach,1,156,76,-2.56% ↘
41,42,Trier,0,166,95,14.46% ↗
42,43,Speyer,0,171,65,-23.98% ↘
47,48,Koblenz,1,182,90,-1.10% ↘
51,52,Suhl,0,188,120,27.66% ↗
55,56,Schwabach,0,204,113,10.78% ↗
59,60,Remscheid,0,209,98,-6.22% ↘
60,61,Frankfurt (Oder),0,214,165,54.21% ↗
63,64,Salzgitter,1,218,118,8.26% ↗
67,68,Worms,0,225,85,-24.44% ↘
68,69,Aschaffenburg,0,226,137,21.24% ↗
72,73,Oldenburg,0,246,160,30.08% ↗
73,74,Baden-Baden,0,247,100,-19.03% ↘
74,75,Bottrop,0,250,114,-8.80% ↘
85,86,Memmingen,0,274,170,24.09% ↗
87,88,Kaufbeuren,0,279,153,9.68% ↗
88,89,Osnabrück,0,282,166,17.73% ↗
89,90,Bamberg,0,283,149,5.30% ↗
91,92,Dessau-Roßlau,1,285,175,22.81% ↗
92,93,Bremerhaven,0,285,134,-5.96% ↘
94,95,Erlangen,0,287,162,12.89% ↗
96,97,Wolfsburg,0,291,201,38.14% ↗
104,105,Solingen,1,310,171,10.32% ↗
110,111,Lübeck,0,320,177,10.62% ↗
113,114,Hamm,0,325,159,-2.15% ↘
115,116,Mülheim a.d.Ruhr,0,326,165,1.23% ↗
116,117,Schweinfurt,0,327,170,3.98% ↗
118,119,Herne,0,333,161,-3.30% ↘
120,121,Heidelberg,0,337,187,10.98% ↗
124,125,Straubing,0,340,171,0.59% ↗
125,126,Passau,0,346,213,23.12% ↗
126,127,Oberhausen,0,351,160,-8.83% ↘
129,130,Landshut,0,355,170,-4.23% ↘
139,140,Darmstadt,0,388,209,7.73% ↗
146,147,Cottbus,0,405,234,15.56% ↗
150,151,Braunschweig,0,415,257,23.86% ↗
154,155,Kassel,0,425,242,13.88% ↗
158,159,Kiel,0,437,212,-2.97% ↘
169,170,Rosenheim,0,462,229,-0.87% ↘
174,175,Magdeburg,0,478,270,12.97% ↗
175,176,Mainz,0,482,275,14.11% ↗
176,177,Hagen,0,485,229,-5.57% ↘
181,182,Weimar,0,499,266,6.61% ↗
184,185,Würzburg,0,506,243,-3.95% ↘
185,186,Krefeld,0,512,268,4.69% ↗
186,187,Ludwigshafen,1,513,261,1.75% ↗
208,209,Jena,0,565,338,19.65% ↗
209,210,Potsdam,0,567,345,21.69% ↗
212,213,Gelsenkirchen,1,573,227,-20.77% ↘
213,214,Kempten,0,580,314,8.28% ↗
216,217,Mönchengladbach,0,595,271,-8.91% ↘
219,220,Münster,0,605,313,3.47% ↗
222,223,Halle,0,607,373,22.90% ↗
223,224,Gera,1,609,362,18.88% ↗
224,225,Rostock,0,609,366,20.20% ↗
232,233,Ulm,0,624,333,6.73% ↗
234,235,Offenbach,0,627,340,8.45% ↗
235,236,Leverkusen,0,628,314,0.00% →
238,239,Bonn,0,635,329,3.62% ↗
240,241,Wiesbaden,0,640,317,-0.94% ↘
247,248,Fürth,0,650,362,11.38% ↗
280,281,Berlin Treptow-Köpenick,0,775,459,18.45% ↗
286,287,Berlin Marzahn-Hellersdorf,1,801,484,20.85% ↗
288,289,Heilbronn,0,809,477,17.92% ↗
289,290,Ingolstadt,0,813,445,9.47% ↗
290,291,Freiburg i.Breisgau,0,815,401,-1.60% ↘
300,301,Wuppertal,0,858,467,8.86% ↗
301,302,Bochum,0,858,480,11.89% ↗
302,303,Berlin Steglitz-Zehlendorf,0,858,513,19.58% ↗
304,305,Bremen,0,880,458,4.09% ↗
306,307,Pforzheim,0,909,411,-9.57% ↘
310,311,Bielefeld,0,919,472,2.72% ↗
317,318,Berlin Spandau,1,932,535,14.81% ↗
318,319,Berlin Lichtenberg,1,953,573,20.25% ↗
320,321,Berlin Friedrichshain-Kreuzberg,0,983,461,-6.21% ↘
322,323,Berlin Charlottenburg-Wilmersdorf,0,996,555,11.45% ↗
331,332,Regensburg,0,1058,512,-3.21% ↘
333,334,Essen,0,1066,602,12.95% ↗
335,336,Karlsruhe,0,1082,547,1.11% ↗
341,342,Duisburg,0,1124,618,9.96% ↗
347,348,Berlin Reinickendorf,1,1172,679,15.87% ↗
348,349,Mannheim,0,1179,656,11.28% ↗
351,352,Berlin Tempelhof-Schöneberg,1,1203,664,10.39% ↗
360,361,Berlin Pankow,1,1294,698,7.88% ↗
362,363,Berlin Neukölln,1,1347,721,7.05% ↗
369,370,Dortmund,0,1457,777,6.66% ↗
373,374,Berlin Mitte,1,1515,831,9.70% ↗
379,380,Chemnitz,0,1594,997,25.09% ↗
380,381,Augsburg,0,1623,922,13.62% ↗
384,385,Erfurt,1,1655,958,15.77% ↗
386,387,Düsseldorf,0,1678,820,-2.26% ↘
393,394,Leipzig,0,2277,1405,23.41% ↗
397,398,Nürnberg,0,2448,1141,-6.78% ↘
400,401,Stuttgart,0,2658,1428,7.45% ↗
404,405,Frankfurt am Main,0,2862,1551,8.39% ↗
407,408,Köln,0,3660,1947,6.39% ↗
408,409,Dresden,0,4766,2814,18.09% ↗
409,410,Hamburg,0,5000,2743,9.72% ↗
410,411,München,0,5068,1702,-32.83% ↘
