,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Emden,2,99,49,-1.01% ↘
3,4,Weiden i.d.OPf.,1,136,58,-14.71% ↘
5,6,Wilhelmshaven,0,168,43,-48.81% ↘
7,8,Zweibrücken,3,181,60,-33.70% ↘
9,10,Passau,1,187,71,-24.06% ↘
10,11,Schwabach,1,189,79,-16.40% ↘
11,12,Amberg,0,190,81,-14.74% ↘
12,13,Pirmasens,3,191,60,-37.17% ↘
19,20,Aschaffenburg,0,237,92,-22.36% ↘
20,21,Landau i.d.Pfalz,0,238,84,-29.41% ↘
24,25,Kaufbeuren,0,245,81,-33.88% ↘
26,27,Straubing,0,248,111,-10.48% ↘
27,28,Delmenhorst,2,252,125,-0.79% ↘
28,29,Memmingen,0,253,104,-17.79% ↘
29,30,Landshut,0,255,88,-30.98% ↘
30,31,Ansbach,0,258,89,-31.01% ↘
31,32,Hof,0,264,107,-18.94% ↘
32,33,Neumünster,0,266,115,-13.53% ↘
33,34,Bayreuth,1,268,88,-34.33% ↘
35,36,Baden-Baden,0,271,117,-13.65% ↘
36,37,Neustadt a.d.Weinstraße,1,275,97,-29.45% ↘
40,41,Speyer,0,301,93,-38.21% ↘
45,46,Erlangen,0,314,164,4.46% ↗
48,49,Trier,0,320,138,-13.75% ↘
58,59,Rosenheim,0,349,132,-24.36% ↘
61,62,Frankenthal,0,354,148,-16.38% ↘
66,67,Flensburg,0,364,179,-1.65% ↘
67,68,Bremerhaven,0,365,159,-12.88% ↘
69,70,Kempten,0,366,155,-15.30% ↘
73,74,Worms,3,378,149,-21.16% ↘
76,77,Bottrop,0,386,179,-7.25% ↘
77,78,Coburg,0,395,110,-44.30% ↘
81,82,Schwerin,1,402,163,-18.91% ↘
86,87,Oldenburg,0,420,224,6.67% ↗
89,90,Bamberg,0,426,149,-30.05% ↘
91,92,Salzgitter,3,436,174,-20.18% ↘
93,94,Koblenz,0,436,193,-11.47% ↘
101,102,Schweinfurt,0,480,179,-25.42% ↘
115,116,Suhl,0,518,199,-23.17% ↘
117,118,Würzburg,0,522,207,-20.69% ↘
123,124,Wolfsburg,0,552,234,-15.22% ↘
124,125,Osnabrück,0,552,238,-13.77% ↘
130,131,Darmstadt,0,571,251,-12.08% ↘
146,147,Frankfurt (Oder),1,609,255,-16.26% ↘
147,148,Kaiserslautern,2,612,290,-5.23% ↘
150,151,Mainz,0,614,280,-8.79% ↘
156,157,Mülheim a.d.Ruhr,0,633,360,13.74% ↗
163,164,Remscheid,0,661,239,-27.69% ↘
170,171,Ulm,0,673,275,-18.28% ↘
174,175,Fürth,0,697,290,-16.79% ↘
175,176,Heidelberg,0,703,304,-13.51% ↘
182,183,Regensburg,0,731,270,-26.13% ↘
184,185,Kiel,0,741,367,-0.94% ↘
185,186,Hamm,0,745,279,-25.10% ↘
186,187,Leverkusen,0,749,349,-6.81% ↘
189,190,Lübeck,2,756,293,-22.49% ↘
197,198,Kassel,0,784,318,-18.88% ↘
199,200,Herne,0,796,363,-8.79% ↘
206,207,Ingolstadt,0,819,362,-11.60% ↘
210,211,Braunschweig,0,831,417,0.36% ↗
212,213,Solingen,2,836,409,-2.15% ↘
