,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Zweibrücken,0,122,64,4.92% ↗
3,4,Pirmasens,0,138,82,18.84% ↗
4,5,Schwabach,0,147,89,21.09% ↗
5,6,Weiden i.d.OPf.,0,149,82,10.07% ↗
6,7,Coburg,0,160,77,-3.75% ↘
7,8,Straubing,0,162,100,23.46% ↗
9,10,Ansbach,0,176,84,-4.55% ↘
10,11,Passau,0,183,128,39.89% ↗
12,13,Emden,0,184,137,48.91% ↗
13,14,Kaufbeuren,0,193,93,-3.63% ↘
15,16,Hof,0,212,98,-7.55% ↘
16,17,Memmingen,0,215,106,-1.40% ↘
17,18,Amberg,0,223,129,15.70% ↗
19,20,Suhl,0,234,114,-2.56% ↘
22,23,Neustadt a.d.Weinstraße,0,243,138,13.58% ↗
24,25,Landau i.d.Pfalz,0,252,176,39.68% ↗
25,26,Wilhelmshaven,0,252,168,33.33% ↗
26,27,Speyer,0,256,152,18.75% ↗
28,29,Frankenthal,0,257,137,6.61% ↗
30,31,Aschaffenburg,0,258,141,9.30% ↗
31,32,Landshut,0,267,192,43.82% ↗
33,34,Rosenheim,0,276,155,12.32% ↗
46,47,Worms,0,316,185,17.09% ↗
48,49,Bamberg,0,322,185,14.91% ↗
50,51,Baden-Baden,0,326,185,13.50% ↗
51,52,Bayreuth,0,339,231,36.28% ↗
52,53,Dessau-Roßlau,1,340,148,-12.94% ↘
64,65,Kempten,0,371,202,8.89% ↗
66,67,Frankfurt (Oder),0,374,200,6.95% ↗
74,75,Schweinfurt,0,395,213,7.85% ↗
75,76,Schwerin,0,396,262,32.32% ↗
84,85,Neumünster,0,424,277,30.66% ↗
86,87,Erlangen,0,430,268,24.65% ↗
98,99,Weimar,0,462,189,-18.18% ↘
101,102,Bottrop,0,471,316,34.18% ↗
106,107,Fürth,0,483,257,6.42% ↗
113,114,Salzgitter,0,503,316,25.65% ↗
122,123,Gera,0,528,223,-15.53% ↘
124,125,Trier,0,530,395,49.06% ↗
141,142,Koblenz,0,588,351,19.39% ↗
142,143,Remscheid,0,590,369,25.08% ↗
146,147,Ulm,0,595,342,14.96% ↗
152,153,Wolfsburg,0,624,387,24.04% ↗
153,154,Brandenburg a.d.Havel,0,635,288,-9.29% ↘
163,164,Regensburg,0,657,397,20.85% ↗
173,174,Delmenhorst,0,681,515,51.25% ↗
186,187,Hamm,0,727,417,14.72% ↗
187,188,Hagen,0,731,439,20.11% ↗
192,193,Heilbronn,0,750,386,2.93% ↗
195,196,Flensburg,0,753,550,46.08% ↗
196,197,Osnabrück,0,754,490,29.97% ↗
200,201,Ingolstadt,0,777,442,13.77% ↗
202,203,Jena,0,789,359,-9.00% ↘
206,207,Pforzheim,0,804,426,5.97% ↗
207,208,Herne,0,807,462,14.50% ↗
208,209,Würzburg,0,813,554,36.29% ↗
209,210,Bremerhaven,0,814,607,49.14% ↗
217,218,Heidelberg,0,846,518,22.46% ↗
226,227,Mülheim a.d.Ruhr,0,886,540,21.90% ↗
228,229,Kaiserslautern,0,893,520,16.46% ↗
237,238,Ludwigshafen,0,944,577,22.25% ↗
241,242,Oldenburg,0,956,618,29.29% ↗
246,247,Offenbach,0,964,533,10.58% ↗
247,248,Kassel,0,975,591,21.23% ↗
253,254,Leverkusen,0,1020,739,44.90% ↗
257,258,Gelsenkirchen,0,1069,650,21.61% ↗
260,261,Mönchengladbach,0,1080,719,33.15% ↗
266,267,Darmstadt,0,1098,701,27.69% ↗
270,271,Braunschweig,0,1171,682,16.48% ↗
271,272,Cottbus,0,1172,489,-16.55% ↘
272,273,Oberhausen,0,1183,753,27.30% ↗
279,280,Solingen,0,1222,789,29.13% ↗
283,284,Magdeburg,0,1227,608,-0.90% ↘
291,292,Krefeld,0,1278,867,35.68% ↗
293,294,Berlin Marzahn-Hellersdorf,0,1291,754,16.81% ↗
294,295,Bielefeld,0,1300,677,4.15% ↗
296,297,Potsdam,0,1320,799,21.06% ↗
301,302,Rostock,0,1374,793,15.43% ↗
304,305,Mainz,0,1398,993,42.06% ↗
310,311,Chemnitz,0,1442,650,-9.85% ↘
317,318,Augsburg,0,1482,894,20.65% ↗
323,324,Halle,0,1559,780,0.06% ↗
327,328,Freiburg i.Breisgau,0,1597,1023,28.12% ↗
332,333,Mannheim,0,1649,963,16.80% ↗
341,342,Bochum,0,1731,1175,35.76% ↗
344,345,Wiesbaden,0,1777,1090,22.68% ↗
348,349,Bonn,0,1807,1123,24.29% ↗
351,352,Lübeck,0,1824,1587,74.01% ↗
355,356,Berlin Spandau,0,1902,1225,28.81% ↗
356,357,Erfurt,0,1929,1086,12.60% ↗
360,361,Karlsruhe,0,1964,1227,24.95% ↗
363,364,Münster,0,2040,1270,24.51% ↗
367,368,Duisburg,0,2138,1296,21.23% ↗
368,369,Berlin Reinickendorf,0,2147,1223,13.93% ↗
370,371,Kiel,0,2172,1557,43.37% ↗
373,374,Berlin Treptow-Köpenick,0,2201,1380,25.40% ↗
376,377,Berlin Charlottenburg-Wilmersdorf,0,2214,1458,31.71% ↗
380,381,Berlin Lichtenberg,0,2250,1568,39.38% ↗
384,385,Nürnberg,0,2379,1340,12.65% ↗
386,387,Berlin Steglitz-Zehlendorf,0,2428,1445,19.03% ↗
392,393,Berlin Tempelhof-Schöneberg,0,2887,1945,34.74% ↗
393,394,Wuppertal,0,2911,1813,24.56% ↗
394,395,Stuttgart,1,3008,1371,-8.84% ↘
395,396,Berlin Friedrichshain-Kreuzberg,0,3148,1929,22.55% ↗
396,397,Leipzig,0,3303,2020,22.31% ↗
397,398,Essen,0,3400,1945,14.41% ↗
398,399,Dortmund,0,3408,2285,34.10% ↗
400,401,Berlin Neukölln,0,3591,2395,33.39% ↗
401,402,Berlin Mitte,0,3898,2533,29.96% ↗
402,403,Berlin Pankow,0,4115,2580,25.39% ↗
404,405,Dresden,0,4283,2113,-1.33% ↘
405,406,Düsseldorf,0,4882,3167,29.74% ↗
406,407,Frankfurt am Main,0,6066,3919,29.21% ↗
407,408,Köln,0,6350,3391,6.80% ↗
408,409,Bremen,0,7102,5055,42.35% ↗
409,410,München,0,8611,5239,21.68% ↗
410,411,Hamburg,0,17787,10228,15.01% ↗
