,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Zweibrücken,0,21,14,33.33% ↗
2,3,Emden,0,27,10,-25.93% ↘
4,5,Brandenburg a.d.Havel,0,38,18,-5.26% ↘
5,6,Pirmasens,0,38,23,21.05% ↗
7,8,Hof,0,44,31,40.91% ↗
9,10,Wilhelmshaven,1,50,21,-16.00% ↘
10,11,Kaufbeuren,0,50,26,4.00% ↗
13,14,Dessau-Roßlau,0,54,38,40.74% ↗
14,15,Weiden i.d.OPf.,0,56,28,0.00% →
18,19,Neustadt a.d.Weinstraße,0,59,23,-22.03% ↘
20,21,Frankfurt (Oder),0,61,31,1.64% ↗
27,28,Coburg,0,65,40,23.08% ↗
28,29,Landau i.d.Pfalz,0,65,39,20.00% ↗
31,32,Ansbach,0,71,30,-15.49% ↘
33,34,Suhl,0,74,42,13.51% ↗
34,35,Koblenz,0,75,45,20.00% ↗
36,37,Bayreuth,0,76,37,-2.63% ↘
38,39,Trier,0,78,35,-10.26% ↘
39,40,Flensburg,0,79,49,24.05% ↗
45,46,Passau,0,85,42,-1.18% ↘
48,49,Delmenhorst,0,87,47,8.05% ↗
49,50,Memmingen,0,88,51,15.91% ↗
52,53,Bamberg,0,89,59,32.58% ↗
53,54,Aschaffenburg,0,89,39,-12.36% ↘
57,58,Remscheid,0,92,43,-6.52% ↘
58,59,Schwerin,0,93,55,18.28% ↗
61,62,Neumünster,0,95,46,-3.16% ↘
71,72,Schwabach,0,107,44,-17.76% ↘
76,77,Frankenthal,0,114,47,-17.54% ↘
87,88,Kaiserslautern,0,125,69,10.40% ↗
88,89,Lübeck,0,126,84,33.33% ↗
90,91,Erlangen,0,128,64,0.00% →
95,96,Amberg,0,132,59,-10.61% ↘
103,104,Speyer,0,138,95,37.68% ↗
105,106,Salzgitter,0,139,74,6.47% ↗
108,109,Heidelberg,0,144,90,25.00% ↗
109,110,Oldenburg,0,144,53,-26.39% ↘
110,111,Herne,0,145,81,11.72% ↗
113,114,Landshut,0,148,76,2.70% ↗
115,116,Baden-Baden,0,151,97,28.48% ↗
119,120,Mülheim a.d.Ruhr,0,153,84,9.80% ↗
120,121,Worms,0,153,83,8.50% ↗
130,131,Osnabrück,0,159,76,-4.40% ↘
134,135,Braunschweig,0,161,107,32.92% ↗
135,136,Schweinfurt,0,162,106,30.86% ↗
137,138,Kassel,0,164,93,13.41% ↗
138,139,Leverkusen,0,165,98,18.79% ↗
140,141,Bottrop,0,168,77,-8.33% ↘
145,146,Halle,0,177,87,-1.69% ↘
146,147,Darmstadt,0,178,94,5.62% ↗
148,149,Oberhausen,0,179,77,-13.97% ↘
151,152,Solingen,0,182,92,1.10% ↗
162,163,Hamm,0,198,88,-11.11% ↘
167,168,Straubing,0,201,115,14.43% ↗
170,171,Würzburg,0,203,114,12.32% ↗
173,174,Wolfsburg,0,205,100,-2.44% ↘
178,179,Cottbus,0,209,132,26.32% ↗
180,181,Jena,0,214,149,39.25% ↗
185,186,Weimar,0,219,138,26.03% ↗
191,192,Gera,0,225,154,36.89% ↗
199,200,Kempten,0,228,134,17.54% ↗
202,203,Münster,0,233,131,12.45% ↗
206,207,Magdeburg,0,239,172,43.93% ↗
210,211,Potsdam,0,244,137,12.30% ↗
214,215,Bonn,0,247,139,12.55% ↗
217,218,Kiel,0,253,137,8.30% ↗
224,225,Mainz,0,265,130,-1.89% ↘
230,231,Krefeld,0,271,163,20.30% ↗
242,243,Ludwigshafen,0,285,120,-15.79% ↘
250,251,Offenbach,0,299,164,9.70% ↗
256,257,Wiesbaden,0,306,149,-2.61% ↘
260,261,Rosenheim,0,313,167,6.71% ↗
265,266,Fürth,0,317,173,9.15% ↗
266,267,Rostock,0,319,191,19.75% ↗
270,271,Wuppertal,0,334,180,7.78% ↗
274,275,Ingolstadt,0,339,207,22.12% ↗
284,285,Bochum,0,359,225,25.35% ↗
286,287,Berlin Treptow-Köpenick,0,360,209,16.11% ↗
287,288,Heilbronn,0,364,201,10.44% ↗
293,294,Ulm,0,369,226,22.49% ↗
298,299,Mönchengladbach,0,381,213,11.81% ↗
302,303,Bremerhaven,0,394,158,-19.80% ↘
305,306,Gelsenkirchen,0,411,208,1.22% ↗
311,312,Bielefeld,0,428,248,15.89% ↗
