,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Emden,0,157,105,33.76% ↗
3,4,Zweibrücken,0,210,116,10.48% ↗
4,5,Wilhelmshaven,0,212,84,-20.75% ↘
5,6,Pirmasens,0,213,147,38.03% ↗
8,9,Flensburg,0,258,115,-10.85% ↘
11,12,Hof,0,275,132,-4.00% ↘
15,16,Trier,0,309,203,31.39% ↗
17,18,Neumünster,0,326,127,-22.09% ↘
19,20,Delmenhorst,0,342,187,9.36% ↗
22,23,Coburg,0,349,207,18.62% ↗
24,25,Frankenthal,0,357,170,-4.76% ↘
34,35,Weiden i.d.OPf.,0,418,230,10.05% ↗
35,36,Koblenz,0,426,242,13.62% ↗
36,37,Amberg,0,429,218,1.63% ↗
39,40,Bremerhaven,0,448,269,20.09% ↗
40,41,Landau i.d.Pfalz,0,451,193,-14.41% ↘
45,46,Speyer,1,465,248,6.67% ↗
46,47,Ansbach,0,471,223,-5.31% ↘
48,49,Bottrop,0,474,262,10.55% ↗
53,54,Remscheid,0,484,292,20.66% ↗
56,57,Neustadt a.d.Weinstraße,0,493,293,18.86% ↗
61,62,Osnabrück,0,510,253,-0.78% ↘
63,64,Baden-Baden,0,521,302,15.93% ↗
64,65,Kaiserslautern,0,521,288,10.56% ↗
65,66,Schwabach,0,522,244,-6.51% ↘
68,69,Schweinfurt,0,539,306,13.54% ↗
69,70,Brandenburg a.d.Havel,0,557,308,10.59% ↗
74,75,Oldenburg,0,590,372,26.10% ↗
77,78,Weimar,0,595,321,7.90% ↗
83,84,Straubing,0,600,244,-18.67% ↘
84,85,Suhl,0,600,340,13.33% ↗
85,86,Bayreuth,0,604,294,-2.65% ↘
86,87,Schwerin,0,607,350,15.32% ↗
88,89,Memmingen,0,640,336,5.00% ↗
89,90,Kiel,0,644,319,-0.93% ↘
90,91,Wolfsburg,0,646,387,19.81% ↗
95,96,Kaufbeuren,0,674,373,10.68% ↗
