,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
3,4,Suhl,8,2,0,-100.00% ↘
4,5,Schwabach,2,2,2,100.00% ↗
11,12,Zweibrücken,2,4,3,50.00% ↗
12,13,Passau,1,4,2,0.00% →
13,14,Ansbach,5,5,2,-20.00% ↘
14,15,Brandenburg a.d.Havel,5,5,2,-20.00% ↘
18,19,Eisenach,1,5,5,100.00% ↗
26,27,Dessau-Roßlau,1,6,3,0.00% →
27,28,Weimar,0,6,2,-33.33% ↘
28,29,Coburg,8,7,0,-100.00% ↘
34,35,Memmingen,0,7,7,100.00% ↗
42,43,Hof,0,9,5,11.11% ↗
44,45,Schweinfurt,0,9,4,-11.11% ↘
45,46,Pirmasens,3,10,2,-60.00% ↘
52,53,Jena,1,11,11,100.00% ↗
53,54,Weiden i.d.OPf.,1,11,3,-45.45% ↘
54,55,Straubing,0,11,8,45.45% ↗
60,61,Neustadt a.d.Weinstraße,0,12,6,0.00% →
62,63,Amberg,0,13,6,-7.69% ↘
64,65,Speyer,0,13,7,7.69% ↗
65,66,Rosenheim,0,13,5,-23.08% ↘
70,71,Frankfurt (Oder),1,16,6,-25.00% ↘
88,89,Gera,1,20,11,10.00% ↗
91,92,Kaufbeuren,0,20,12,20.00% ↗
96,97,Kempten,0,21,15,42.86% ↗
98,99,Emden,1,22,18,63.64% ↗
101,102,Landau i.d.Pfalz,1,22,12,9.09% ↗
104,105,Bayreuth,0,22,12,9.09% ↗
108,109,Landshut,1,23,6,-47.83% ↘
120,121,Magdeburg,0,25,16,28.00% ↗
121,122,Ulm,0,25,8,-36.00% ↘
125,126,Baden-Baden,0,26,12,-7.69% ↘
128,129,Cottbus,3,27,11,-18.52% ↘
134,135,Wilhelmshaven,0,28,15,7.14% ↗
136,137,Erfurt,1,29,18,24.14% ↗
142,143,Erlangen,0,30,10,-33.33% ↘
152,153,Delmenhorst,1,33,16,-3.03% ↘
153,154,Chemnitz,1,33,15,-9.09% ↘
155,156,Fürth,0,33,19,15.15% ↗
161,162,Koblenz,1,34,20,17.65% ↗
164,165,Worms,1,35,27,54.29% ↗
168,169,Schwerin,0,36,25,38.89% ↗
171,172,Bamberg,0,37,20,8.11% ↗
186,187,Frankenthal,0,41,30,46.34% ↗
195,196,Remscheid,0,44,23,4.55% ↗
196,197,Halle,0,45,22,-2.22% ↘
206,207,Potsdam,1,48,32,33.33% ↗
209,210,Würzburg,0,48,29,20.83% ↗
211,212,Trier,1,49,27,10.20% ↗
215,216,Offenbach,2,51,21,-17.65% ↘
219,220,Bottrop,0,51,39,52.94% ↗
223,224,Pforzheim,0,51,17,-33.33% ↘
226,227,Ingolstadt,1,53,31,16.98% ↗
256,257,Mülheim a.d.Ruhr,0,63,34,7.94% ↗
268,269,Bremerhaven,0,70,33,-5.71% ↘
269,270,Aschaffenburg,0,70,42,20.00% ↗
270,271,Rostock,0,71,56,57.75% ↗
271,272,Heidelberg,0,72,42,16.67% ↗
