,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
2,3,Suhl,10,2,0,-100.00% ↘
8,9,Passau,3,4,2,0.00% →
10,11,Ansbach,7,5,0,-100.00% ↘
11,12,Brandenburg a.d.Havel,7,5,0,-100.00% ↘
12,13,Eisenach,3,5,5,100.00% ↗
14,15,Schwabach,1,5,5,100.00% ↗
22,23,Zweibrücken,0,6,5,66.67% ↗
26,27,Dessau-Roßlau,0,7,4,14.29% ↗
28,29,Pirmasens,5,8,1,-75.00% ↘
30,31,Memmingen,2,8,7,75.00% ↗
34,35,Weimar,0,8,5,25.00% ↗
39,40,Coburg,1,9,2,-55.56% ↘
42,43,Schweinfurt,0,9,5,11.11% ↗
47,48,Jena,3,11,9,63.64% ↗
48,49,Weiden i.d.OPf.,3,11,2,-63.64% ↘
49,50,Straubing,1,11,8,45.45% ↗
53,54,Rosenheim,1,12,5,-16.67% ↘
55,56,Neustadt a.d.Weinstraße,0,12,6,0.00% →
58,59,Speyer,2,13,5,-23.08% ↘
60,61,Amberg,2,13,6,-7.69% ↘
64,65,Hof,0,14,9,28.57% ↗
70,71,Frankfurt (Oder),0,16,6,-25.00% ↘
78,79,Kaufbeuren,2,19,10,5.26% ↗
81,82,Kempten,2,20,14,40.00% ↗
84,85,Gera,0,20,11,10.00% ↗
96,97,Landau i.d.Pfalz,0,22,13,18.18% ↗
97,98,Ulm,0,22,10,-9.09% ↘
102,103,Emden,0,23,13,13.04% ↗
104,105,Landshut,0,23,7,-39.13% ↘
109,110,Cottbus,5,25,8,-36.00% ↘
113,114,Bayreuth,0,25,13,4.00% ↗
116,117,Wilhelmshaven,2,26,13,0.00% →
132,133,Fürth,2,30,18,20.00% ↗
137,138,Baden-Baden,0,30,16,6.67% ↗
141,142,Erfurt,0,32,19,18.75% ↗
145,146,Magdeburg,0,32,19,18.75% ↗
149,150,Chemnitz,0,33,18,9.09% ↗
154,155,Erlangen,0,34,15,-11.76% ↘
156,157,Delmenhorst,0,35,17,-2.86% ↘
159,160,Schwerin,0,35,26,48.57% ↗
161,162,Worms,0,36,27,50.00% ↗
177,178,Bamberg,0,40,24,20.00% ↗
181,182,Frankenthal,0,42,33,57.14% ↗
198,199,Koblenz,0,47,28,19.15% ↗
202,203,Würzburg,0,49,33,34.69% ↗
205,206,Halle,0,50,23,-8.00% ↘
206,207,Ingolstadt,3,51,30,17.65% ↗
211,212,Potsdam,0,52,31,19.23% ↗
220,221,Trier,0,55,31,12.73% ↗
231,232,Remscheid,0,57,34,19.30% ↗
244,245,Bottrop,0,61,45,47.54% ↗
246,247,Pforzheim,0,62,31,0.00% →
257,258,Offenbach,0,66,46,39.39% ↗
260,261,Mülheim a.d.Ruhr,0,67,35,4.48% ↗
262,263,Aschaffenburg,0,68,36,5.88% ↗
270,271,Heidelberg,0,71,38,7.04% ↗
272,273,Bremerhaven,0,73,36,-1.37% ↘
275,276,Regensburg,0,76,42,10.53% ↗
277,278,Oberhausen,0,77,42,9.09% ↗
278,279,Darmstadt,0,78,36,-7.69% ↘
281,282,Ludwigshafen,0,79,48,21.52% ↗
282,283,Rostock,0,81,66,62.96% ↗
287,288,Freiburg i.Breisgau,0,84,35,-16.67% ↘
289,290,Osnabrück,0,87,38,-12.64% ↘
293,294,Heilbronn,0,90,35,-22.22% ↘
294,295,Kassel,0,90,58,28.89% ↗
296,297,Kaiserslautern,0,92,52,13.04% ↗
298,299,Oldenburg,0,94,63,34.04% ↗
299,300,Braunschweig,0,94,48,2.13% ↗
305,306,Berlin Treptow-Köpenick,0,100,67,34.00% ↗
308,309,Neumünster,0,106,69,30.19% ↗
309,310,Flensburg,0,107,82,53.27% ↗
311,312,Mainz,0,108,66,22.22% ↗
312,313,Berlin Marzahn-Hellersdorf,0,110,79,43.64% ↗
313,314,Hamm,0,110,60,9.09% ↗
315,316,Salzgitter,0,111,39,-29.73% ↘
316,317,Herne,0,111,66,18.92% ↗
321,322,Wolfsburg,0,118,61,3.39% ↗
323,324,Karlsruhe,0,122,77,26.23% ↗
335,336,Dresden,0,135,69,2.22% ↗
336,337,Hagen,0,135,78,15.56% ↗
344,345,Leverkusen,0,146,93,27.40% ↗
349,350,Münster,0,156,92,17.95% ↗
350,351,Nürnberg,0,159,97,22.01% ↗
351,352,Berlin Lichtenberg,0,161,95,18.01% ↗
352,353,Leipzig,0,162,78,-3.70% ↘
