,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Zweibrücken,2,17,11,29.41% ↗
2,3,Emden,3,25,6,-52.00% ↘
3,4,Pirmasens,0,28,6,-57.14% ↘
5,6,Brandenburg a.d.Havel,0,39,17,-12.82% ↘
7,8,Hof,0,40,20,0.00% →
10,11,Kaufbeuren,1,42,30,42.86% ↗
12,13,Dessau-Roßlau,1,43,21,-2.33% ↘
17,18,Wilhelmshaven,0,50,19,-24.00% ↘
21,22,Neustadt a.d.Weinstraße,0,53,14,-47.17% ↘
22,23,Weiden i.d.OPf.,2,55,24,-12.73% ↘
25,26,Suhl,0,56,28,0.00% →
26,27,Coburg,0,56,32,14.29% ↗
30,31,Frankfurt (Oder),0,60,36,20.00% ↗
33,34,Landau i.d.Pfalz,0,63,40,26.98% ↗
36,37,Memmingen,1,65,41,26.15% ↗
37,38,Schwerin,4,66,21,-36.36% ↘
38,39,Flensburg,0,66,41,24.24% ↗
40,41,Bamberg,0,70,45,28.57% ↗
41,42,Trier,1,71,29,-18.31% ↘
44,45,Ansbach,1,72,30,-16.67% ↘
47,48,Bayreuth,0,77,26,-32.47% ↘
48,49,Neumünster,0,77,34,-11.69% ↘
50,51,Remscheid,0,78,34,-12.82% ↘
55,56,Koblenz,0,80,38,-5.00% ↘
56,57,Passau,0,80,43,7.50% ↗
67,68,Delmenhorst,0,93,44,-5.38% ↘
69,70,Schwabach,0,95,45,-5.26% ↘
77,78,Lübeck,0,103,51,-0.97% ↘
80,81,Aschaffenburg,0,106,46,-13.21% ↘
85,86,Speyer,0,111,69,24.32% ↗
91,92,Erlangen,0,115,59,2.61% ↗
95,96,Frankenthal,0,120,49,-18.33% ↘
96,97,Heidelberg,0,120,59,-1.67% ↘
102,103,Baden-Baden,0,126,76,20.63% ↗
106,107,Herne,0,127,56,-11.81% ↘
107,108,Kaiserslautern,0,127,60,-5.51% ↘
112,113,Landshut,0,132,63,-4.55% ↘
115,116,Amberg,2,138,60,-13.04% ↘
119,120,Schweinfurt,0,139,78,12.23% ↗
124,125,Salzgitter,0,141,77,9.22% ↗
127,128,Straubing,0,143,86,20.28% ↗
128,129,Worms,0,143,77,7.69% ↗
129,130,Braunschweig,0,146,93,27.40% ↗
135,136,Leverkusen,0,151,81,7.28% ↗
142,143,Mülheim a.d.Ruhr,0,159,75,-5.66% ↘
145,146,Osnabrück,0,161,74,-8.07% ↘
147,148,Kassel,0,162,80,-1.23% ↘
150,151,Oldenburg,2,165,56,-32.12% ↘
153,154,Darmstadt,0,166,74,-10.84% ↘
154,155,Cottbus,0,166,110,32.53% ↗
159,160,Jena,0,170,100,17.65% ↗
162,163,Bottrop,0,171,86,0.58% ↗
163,164,Halle,0,172,104,20.93% ↗
166,167,Solingen,0,172,75,-12.79% ↘
170,171,Weimar,0,174,117,34.48% ↗
171,172,Oberhausen,0,178,70,-21.35% ↘
173,174,Würzburg,0,179,96,7.26% ↗
176,177,Wolfsburg,0,181,87,-3.87% ↘
183,184,Hamm,0,191,82,-14.14% ↘
185,186,Magdeburg,0,196,133,35.71% ↗
188,189,Kempten,0,199,117,17.59% ↗
189,190,Münster,0,199,101,1.51% ↗
199,200,Gera,0,209,126,20.57% ↗
210,211,Kiel,0,221,116,4.98% ↗
216,217,Bonn,0,225,118,4.89% ↗
223,224,Potsdam,0,230,112,-2.61% ↘
226,227,Krefeld,0,233,122,4.72% ↗
245,246,Rostock,0,255,158,23.92% ↗
253,254,Offenbach,0,269,109,-18.96% ↘
258,259,Mainz,0,275,129,-6.18% ↘
261,262,Rosenheim,0,280,138,-1.43% ↘
262,263,Ingolstadt,0,281,145,3.20% ↗
266,267,Ludwigshafen,0,292,121,-17.12% ↘
270,271,Fürth,0,299,160,7.02% ↗
271,272,Ulm,0,299,167,11.71% ↗
272,273,Berlin Treptow-Köpenick,0,299,178,19.06% ↗
273,274,Bochum,0,301,159,5.65% ↗
288,289,Wuppertal,0,322,156,-3.11% ↘
290,291,Wiesbaden,0,323,132,-18.27% ↘
295,296,Bielefeld,1,331,168,1.51% ↗
299,300,Berlin Steglitz-Zehlendorf,0,340,171,0.59% ↗
305,306,Heilbronn,0,351,170,-3.13% ↘
316,317,Freiburg i.Breisgau,0,380,164,-13.68% ↘
318,319,Mönchengladbach,0,381,189,-0.79% ↘
319,320,Gelsenkirchen,0,383,182,-4.96% ↘
330,331,Berlin Marzahn-Hellersdorf,0,412,197,-4.37% ↘
332,333,Chemnitz,0,416,224,7.69% ↗
339,340,Berlin Spandau,0,454,222,-2.20% ↘
341,342,Bremerhaven,0,455,165,-27.47% ↘
344,345,Berlin Lichtenberg,0,458,222,-3.06% ↘
349,350,Hagen,0,479,212,-11.48% ↘
351,352,Pforzheim,0,480,246,2.50% ↗
354,355,Berlin Charlottenburg-Wilmersdorf,0,487,259,6.37% ↗
355,356,Regensburg,0,491,299,21.79% ↗
360,361,Essen,0,508,267,5.12% ↗
362,363,Duisburg,0,522,231,-11.49% ↘
364,365,Karlsruhe,0,533,300,12.57% ↗
365,366,Berlin Pankow,0,537,296,10.24% ↗
367,368,Erfurt,0,582,394,35.40% ↗
370,371,Augsburg,0,612,293,-4.25% ↘
372,373,Berlin Reinickendorf,0,614,312,1.63% ↗
373,374,Berlin Tempelhof-Schöneberg,0,627,336,7.18% ↗
