,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
0,1,Suhl,0,682,376,10.26% ↗
4,5,Landau i.d.Pfalz,1,911,333,-26.89% ↘
5,6,Pirmasens,0,946,476,0.63% ↗
7,8,Zweibrücken,0,953,475,-0.31% ↘
9,10,Hof,0,1000,581,16.20% ↗
10,11,Coburg,0,1013,636,25.57% ↗
11,12,Neustadt a.d.Weinstraße,0,1021,585,14.59% ↗
16,17,Frankenthal,0,1139,575,0.97% ↗
17,18,Weimar,0,1192,714,19.80% ↗
18,19,Speyer,0,1194,594,-0.50% ↘
21,22,Emden,0,1306,655,0.31% ↗
24,25,Weiden i.d.OPf.,0,1383,712,2.96% ↗
25,26,Passau,0,1408,676,-3.98% ↘
27,28,Ansbach,0,1416,742,4.80% ↗
29,30,Straubing,0,1479,948,28.19% ↗
31,32,Schwabach,0,1520,811,6.71% ↗
34,35,Amberg,0,1548,767,-0.90% ↘
35,36,Kaufbeuren,0,1552,779,0.39% ↗
38,39,Baden-Baden,0,1631,783,-3.99% ↘
40,41,Memmingen,0,1646,864,4.98% ↗
41,42,Brandenburg a.d.Havel,0,1707,866,1.46% ↗
43,44,Delmenhorst,0,1775,811,-8.62% ↘
45,46,Gera,0,1789,1134,26.77% ↗
48,49,Wilhelmshaven,0,1877,931,-0.80% ↘
51,52,Schweinfurt,0,1884,835,-11.36% ↘
59,60,Jena,0,1982,1059,6.86% ↗
68,69,Neumünster,0,2096,1069,2.00% ↗
70,71,Frankfurt (Oder),0,2119,975,-7.98% ↘
77,78,Flensburg,0,2218,1035,-6.67% ↘
80,81,Dessau-Roßlau,0,2269,1136,0.13% ↗
81,82,Bamberg,0,2270,1267,11.63% ↗
86,87,Kempten,0,2472,1258,1.78% ↗
89,90,Aschaffenburg,0,2632,1431,8.74% ↗
90,91,Kaiserslautern,0,2650,1247,-5.89% ↘
92,93,Cottbus,0,2667,1461,9.56% ↗
93,94,Koblenz,0,2676,1244,-7.03% ↘
100,101,Schwerin,0,2892,1416,-2.07% ↘
101,102,Landshut,0,2911,1496,2.78% ↗
102,103,Rosenheim,0,2934,1531,4.36% ↗
109,110,Worms,0,3033,1678,10.65% ↗
112,113,Bayreuth,0,3065,1589,3.69% ↗
115,116,Trier,0,3117,1567,0.55% ↗
117,118,Heidelberg,0,3168,1827,15.34% ↗
120,121,Erlangen,0,3198,1622,1.44% ↗
125,126,Erfurt,0,3242,1834,13.14% ↗
137,138,Chemnitz,0,3484,2055,17.97% ↗
138,139,Salzgitter,0,3490,1700,-2.58% ↘
143,144,Oldenburg,0,3641,1631,-10.41% ↘
147,148,Regensburg,0,3694,1596,-13.59% ↘
152,153,Wolfsburg,0,3752,2076,10.66% ↗
159,160,Pforzheim,0,3889,1818,-6.51% ↘
166,167,Kiel,0,3968,1856,-6.45% ↘
169,170,Bremerhaven,0,4094,2024,-1.12% ↘
179,180,Bottrop,0,4203,1761,-16.20% ↘
182,183,Mülheim a.d.Ruhr,0,4251,1183,-44.34% ↘
191,192,Heilbronn,0,4461,2341,4.95% ↗
194,195,Leverkusen,0,4500,2147,-4.58% ↘
196,197,Lübeck,0,4547,2249,-1.08% ↘
197,198,Osnabrück,0,4555,2451,7.62% ↗
205,206,Ludwigshafen,0,4803,2078,-13.47% ↘
224,225,Rostock,0,5103,2866,12.33% ↗
226,227,Braunschweig,0,5140,3017,17.39% ↗
230,231,Fürth,0,5207,2514,-3.44% ↘
231,232,Remscheid,0,5213,2395,-8.11% ↘
235,236,Darmstadt,0,5302,2289,-13.66% ↘
242,243,Mönchengladbach,0,5500,2608,-5.16% ↘
245,246,Mannheim,0,5602,2697,-3.71% ↘
253,254,Ulm,0,5745,2850,-0.78% ↘
254,255,Offenbach,0,5792,2552,-11.88% ↘
258,259,Würzburg,0,5852,2891,-1.20% ↘
264,265,Potsdam,0,5998,2471,-17.61% ↘
265,266,Oberhausen,0,6000,3151,5.03% ↗
267,268,Mainz,0,6078,3014,-0.82% ↘
280,281,Solingen,0,6352,3496,10.08% ↗
287,288,Herne,0,6539,2954,-9.65% ↘
289,290,Berlin Treptow-Köpenick,1,6635,3659,10.29% ↗
293,294,Ingolstadt,0,6859,3360,-2.03% ↘
297,298,Hagen,0,6930,3373,-2.66% ↘
300,301,Krefeld,0,7040,2987,-15.14% ↘
301,302,Hamm,0,7091,3428,-3.31% ↘
304,305,Halle,0,7145,3562,-0.29% ↘
310,311,Berlin Steglitz-Zehlendorf,0,7452,4407,18.28% ↗
312,313,Magdeburg,0,7569,5053,33.52% ↗
313,314,Berlin Spandau,0,7592,3376,-11.06% ↘
315,316,Kassel,0,7634,4943,29.50% ↗
318,319,Berlin Reinickendorf,0,7848,3704,-5.61% ↘
320,321,Gelsenkirchen,0,7896,3226,-18.29% ↘
322,323,Bielefeld,0,7987,4482,12.23% ↗
323,324,Münster,0,8087,4750,17.47% ↗
334,335,Berlin Marzahn-Hellersdorf,0,8530,4792,12.36% ↗
336,337,Freiburg i.Breisgau,0,8585,4307,0.34% ↗
338,339,Karlsruhe,0,8649,4486,3.73% ↗
340,341,Berlin Neukölln,1,8863,2688,-39.34% ↘
343,344,Berlin Tempelhof-Schöneberg,1,8932,4732,5.96% ↗
350,351,Berlin Friedrichshain-Kreuzberg,0,9523,3825,-19.67% ↘
356,357,Bonn,0,10210,4966,-2.72% ↘
361,362,Berlin Lichtenberg,0,11053,4839,-12.44% ↘
362,363,Wiesbaden,0,11069,4680,-15.44% ↘
364,365,Bochum,0,11188,4839,-13.50% ↘
368,369,Berlin Mitte,1,11488,4315,-24.88% ↘
370,371,Stuttgart,0,11869,7999,34.79% ↗
372,373,Augsburg,0,12060,5237,-13.15% ↘
375,376,Wuppertal,0,12614,6503,3.11% ↗
