,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
0,1,Eisenach,21,0,0,0.00% →
1,2,Frankfurt (Oder),0,4,3,50.00% ↗
3,4,Dessau-Roßlau,0,26,13,0.00% →
8,9,Suhl,0,37,18,-2.70% ↘
13,14,Weiden i.d.OPf.,0,45,18,-20.00% ↘
16,17,Coburg,0,47,21,-10.64% ↘
19,20,Bayreuth,0,52,17,-34.62% ↘
24,25,Weimar,0,59,40,35.59% ↗
27,28,Pirmasens,0,63,39,23.81% ↗
36,37,Zweibrücken,0,70,35,0.00% →
38,39,Schwerin,0,73,23,-36.99% ↘
40,41,Emden,0,75,36,-4.00% ↘
41,42,Schwabach,0,75,35,-6.67% ↘
46,47,Passau,0,76,44,15.79% ↗
55,56,Ansbach,0,83,32,-22.89% ↘
58,59,Amberg,0,85,37,-12.94% ↘
66,67,Gera,0,89,54,21.35% ↗
67,68,Hof,0,92,69,50.00% ↗
72,73,Flensburg,0,94,35,-25.53% ↘
75,76,Straubing,0,98,52,6.12% ↗
76,77,Neumünster,0,99,64,29.29% ↗
85,86,Brandenburg a.d.Havel,0,106,79,49.06% ↗
97,98,Kaufbeuren,0,114,50,-12.28% ↘
98,99,Wilhelmshaven,0,116,70,20.69% ↗
102,103,Jena,0,117,55,-5.98% ↘
106,107,Memmingen,0,119,54,-9.24% ↘
108,109,Frankenthal,0,123,58,-5.69% ↘
116,117,Bamberg,0,132,63,-4.55% ↘
121,122,Schweinfurt,0,138,67,-2.90% ↘
128,129,Baden-Baden,0,141,62,-12.06% ↘
130,131,Trier,0,143,51,-28.67% ↘
134,135,Kempten,0,150,63,-16.00% ↘
135,136,Chemnitz,0,152,88,15.79% ↗
140,141,Landau i.d.Pfalz,0,156,95,21.79% ↗
143,144,Kaiserslautern,0,160,87,8.75% ↗
144,145,Potsdam,0,161,83,3.11% ↗
148,149,Erlangen,0,163,101,23.93% ↗
151,152,Aschaffenburg,0,164,97,18.29% ↗
152,153,Magdeburg,0,164,77,-6.10% ↘
153,154,Speyer,0,164,74,-9.76% ↘
158,159,Landshut,0,168,72,-14.29% ↘
161,162,Cottbus,0,170,101,18.82% ↗
177,178,Delmenhorst,0,200,81,-19.00% ↘
190,191,Koblenz,0,218,76,-30.28% ↘
191,192,Lübeck,0,218,77,-29.36% ↘
195,196,Neustadt a.d.Weinstraße,0,222,127,14.41% ↗
198,199,Rostock,0,226,79,-30.09% ↘
202,203,Halle,0,228,110,-3.51% ↘
207,208,Fürth,0,234,118,0.85% ↗
210,211,Worms,0,237,105,-11.39% ↘
216,217,Bottrop,0,243,92,-24.28% ↘
218,219,Würzburg,0,245,114,-6.94% ↘
219,220,Heidelberg,0,247,122,-1.21% ↘
221,222,Oldenburg,0,250,121,-3.20% ↘
225,226,Rosenheim,0,258,128,-0.78% ↘
227,228,Pforzheim,0,262,137,4.58% ↗
228,229,Ulm,0,264,131,-0.76% ↘
231,232,Wolfsburg,0,265,105,-20.75% ↘
235,236,Erfurt,0,269,153,13.75% ↗
236,237,Remscheid,0,270,83,-38.52% ↘
243,244,Berlin Treptow-Köpenick,0,289,177,22.49% ↗
245,246,Osnabrück,0,291,119,-18.21% ↘
252,253,Regensburg,0,303,171,12.87% ↗
259,260,Braunschweig,0,310,157,1.29% ↗
262,263,Solingen,0,319,126,-21.00% ↘
264,265,Berlin Marzahn-Hellersdorf,0,321,127,-20.87% ↘
270,271,Darmstadt,0,338,177,4.73% ↗
275,276,Berlin Steglitz-Zehlendorf,0,347,169,-2.59% ↘
280,281,Herne,0,356,159,-10.67% ↘
286,287,Kiel,0,365,144,-21.10% ↘
289,290,Heilbronn,0,371,215,15.90% ↗
290,291,Mülheim a.d.Ruhr,0,372,156,-16.13% ↘
298,299,Berlin Lichtenberg,0,388,197,1.55% ↗
299,300,Freiburg i.Breisgau,0,388,222,14.43% ↗
302,303,Ingolstadt,0,402,168,-16.42% ↘
304,305,Münster,0,409,232,13.45% ↗
