,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Zweibrücken,0,170,96,12.94% ↗
2,3,Pirmasens,0,189,97,2.65% ↗
3,4,Suhl,0,191,87,-8.90% ↘
6,7,Coburg,0,231,140,21.21% ↗
7,8,Ansbach,0,254,169,33.07% ↗
8,9,Hof,0,265,166,25.28% ↗
11,12,Schwabach,0,270,174,28.89% ↗
12,13,Amberg,0,272,154,13.24% ↗
14,15,Weiden i.d.OPf.,0,283,200,41.34% ↗
17,18,Straubing,0,300,202,34.67% ↗
18,19,Neustadt a.d.Weinstraße,0,311,150,-3.54% ↘
20,21,Emden,0,328,186,13.41% ↗
21,22,Memmingen,0,332,203,22.29% ↗
24,25,Kaufbeuren,0,359,259,44.29% ↗
25,26,Frankenthal,0,359,197,9.75% ↗
27,28,Weimar,0,374,185,-1.07% ↘
28,29,Landau i.d.Pfalz,0,378,180,-4.76% ↘
31,32,Gera,0,393,176,-10.43% ↘
32,33,Dessau-Roßlau,0,394,228,15.74% ↗
34,35,Passau,0,406,263,29.56% ↗
40,41,Frankfurt (Oder),0,423,229,8.27% ↗
42,43,Speyer,0,436,245,12.39% ↗
46,47,Wilhelmshaven,0,453,224,-1.10% ↘
54,55,Bamberg,0,494,304,23.08% ↗
59,60,Aschaffenburg,0,520,325,25.00% ↗
66,67,Landshut,0,564,395,40.07% ↗
67,68,Baden-Baden,0,565,403,42.65% ↗
70,71,Kempten,0,580,388,33.79% ↗
73,74,Schweinfurt,0,592,370,25.00% ↗
78,79,Brandenburg a.d.Havel,0,611,280,-8.35% ↘
82,83,Bayreuth,0,619,394,27.30% ↗
84,85,Rosenheim,0,626,430,37.38% ↗
87,88,Worms,0,641,400,24.80% ↗
104,105,Jena,0,679,345,1.62% ↗
114,115,Schwerin,0,715,444,24.20% ↗
139,140,Neumünster,0,851,490,15.16% ↗
144,145,Fürth,0,874,569,30.21% ↗
154,155,Koblenz,0,933,513,9.97% ↗
156,157,Erlangen,0,934,643,37.69% ↗
158,159,Bottrop,0,941,585,24.34% ↗
159,160,Trier,0,944,512,8.47% ↗
165,166,Cottbus,0,965,436,-9.64% ↘
168,169,Salzgitter,0,970,583,20.21% ↗
177,178,Wolfsburg,0,1006,615,22.27% ↗
178,179,Remscheid,0,1008,633,25.60% ↗
