,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
2,3,Suhl,7,2,0,-100.00% ↘
5,6,Schwabach,1,2,2,100.00% ↗
12,13,Zweibrücken,1,4,3,50.00% ↗
14,15,Passau,0,4,3,50.00% ↗
15,16,Ansbach,4,5,2,-20.00% ↘
16,17,Brandenburg a.d.Havel,4,5,2,-20.00% ↘
17,18,Weimar,3,5,1,-60.00% ↘
21,22,Eisenach,0,5,5,100.00% ↗
22,23,Schweinfurt,8,6,0,-100.00% ↘
24,25,Memmingen,1,6,6,100.00% ↗
27,28,Hof,0,6,2,-33.33% ↘
30,31,Dessau-Roßlau,0,6,4,33.33% ↗
31,32,Coburg,7,7,0,-100.00% ↘
48,49,Pirmasens,2,10,2,-60.00% ↘
49,50,Amberg,1,10,3,-40.00% ↘
51,52,Straubing,0,10,7,40.00% ↗
56,57,Weiden i.d.OPf.,0,11,4,-27.27% ↘
57,58,Rosenheim,0,11,4,-27.27% ↘
61,62,Neustadt a.d.Weinstraße,1,12,6,0.00% →
62,63,Speyer,1,12,6,0.00% →
66,67,Jena,0,13,11,69.23% ↗
73,74,Frankfurt (Oder),0,16,6,-25.00% ↘
87,88,Kempten,1,19,17,78.95% ↗
88,89,Gera,0,20,11,10.00% ↗
90,91,Kaufbeuren,0,20,14,40.00% ↗
94,95,Landau i.d.Pfalz,1,21,12,14.29% ↗
95,96,Wilhelmshaven,1,21,8,-23.81% ↘
97,98,Magdeburg,0,21,16,52.38% ↗
108,109,Emden,0,22,18,63.64% ↗
109,110,Bayreuth,0,22,12,9.09% ↗
124,125,Baden-Baden,1,26,12,-7.69% ↘
127,128,Landshut,0,26,9,-30.77% ↘
131,132,Cottbus,2,28,13,-7.14% ↘
136,137,Fürth,0,29,13,-10.34% ↘
139,140,Erfurt,0,29,18,24.14% ↗
140,141,Ulm,0,29,9,-37.93% ↘
144,145,Erlangen,0,30,10,-33.33% ↘
157,158,Chemnitz,0,33,16,-3.03% ↘
160,161,Koblenz,0,34,20,17.65% ↗
163,164,Worms,0,35,28,60.00% ↗
164,165,Delmenhorst,0,35,19,8.57% ↗
173,174,Schwerin,0,37,25,35.14% ↗
182,183,Frankenthal,0,40,29,45.00% ↗
185,186,Bamberg,0,40,20,0.00% →
186,187,Remscheid,0,40,22,10.00% ↗
203,204,Würzburg,0,46,26,13.04% ↗
208,209,Halle,0,48,27,12.50% ↗
212,213,Potsdam,0,48,32,33.33% ↗
213,214,Pforzheim,0,48,17,-29.17% ↘
227,228,Trier,0,52,29,11.54% ↗
228,229,Offenbach,1,53,24,-9.43% ↘
233,234,Bottrop,0,53,40,50.94% ↗
234,235,Ingolstadt,0,54,32,18.52% ↗
245,246,Mülheim a.d.Ruhr,0,56,30,7.14% ↗
249,250,Aschaffenburg,0,57,32,12.28% ↗
267,268,Bremerhaven,0,67,40,19.40% ↗
268,269,Heidelberg,0,68,40,17.65% ↗
271,272,Rostock,0,68,54,58.82% ↗
272,273,Oberhausen,0,68,36,5.88% ↗
273,274,Regensburg,0,68,28,-17.65% ↘
276,277,Darmstadt,0,71,29,-18.31% ↘
281,282,Ludwigshafen,0,73,38,4.11% ↗
283,284,Kassel,0,74,47,27.03% ↗
289,290,Berlin Treptow-Köpenick,0,82,56,36.59% ↗
290,291,Freiburg i.Breisgau,0,83,38,-8.43% ↘
291,292,Braunschweig,0,83,42,1.20% ↗
292,293,Kaiserslautern,0,83,51,22.89% ↗
294,295,Oldenburg,0,84,54,28.57% ↗
296,297,Flensburg,0,88,59,34.09% ↗
302,303,Heilbronn,0,91,47,3.30% ↗
303,304,Berlin Marzahn-Hellersdorf,0,91,65,42.86% ↗
305,306,Osnabrück,0,92,30,-34.78% ↘
306,307,Hamm,0,93,55,18.28% ↗
308,309,Neumünster,0,95,67,41.05% ↗
309,310,Herne,0,96,56,16.67% ↗
311,312,Mainz,0,97,52,7.22% ↗
323,324,Salzgitter,0,113,42,-25.66% ↘
324,325,Karlsruhe,0,113,79,39.82% ↗
325,326,Hagen,0,115,71,23.48% ↗
326,327,Dresden,0,119,53,-10.92% ↘
329,330,Wolfsburg,0,123,58,-5.69% ↘
333,334,Leverkusen,0,125,78,24.80% ↗
340,341,Berlin Lichtenberg,0,129,76,17.83% ↗
346,347,Münster,0,135,66,-2.22% ↘
353,354,Wiesbaden,0,159,89,11.95% ↗
355,356,Nürnberg,0,160,81,1.25% ↗
357,358,Krefeld,0,163,102,25.15% ↗
359,360,Gelsenkirchen,0,165,104,26.06% ↗
360,361,Augsburg,0,167,102,22.16% ↗
362,363,Leipzig,0,168,82,-2.38% ↘
367,368,Berlin Steglitz-Zehlendorf,0,181,102,12.71% ↗
369,370,Solingen,0,187,126,34.76% ↗
370,371,Berlin Spandau,0,190,94,-1.05% ↘
371,372,Mannheim,0,192,88,-8.33% ↘
373,374,Lübeck,0,198,125,26.26% ↗
375,376,Bielefeld,0,199,101,1.51% ↗
377,378,Berlin Reinickendorf,0,201,129,28.36% ↗
380,381,Berlin Tempelhof-Schöneberg,0,214,125,16.82% ↗
382,383,Mönchengladbach,0,221,151,36.65% ↗
383,384,Berlin Pankow,0,226,116,2.65% ↗
385,386,Kiel,0,239,150,25.52% ↗
386,387,Berlin Charlottenburg-Wilmersdorf,0,245,126,2.86% ↗
