,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Emden,0,94,37,-21.28% ↘
2,3,Wilhelmshaven,0,123,38,-38.21% ↘
5,6,Weiden i.d.OPf.,0,146,68,-6.85% ↘
6,7,Pirmasens,0,157,55,-29.94% ↘
7,8,Zweibrücken,0,165,55,-33.33% ↘
9,10,Passau,0,171,57,-33.33% ↘
11,12,Schwabach,0,182,58,-36.26% ↘
12,13,Amberg,0,192,93,-3.12% ↘
14,15,Landshut,0,210,87,-17.14% ↘
17,18,Landau i.d.Pfalz,0,219,87,-20.55% ↘
20,21,Straubing,0,229,83,-27.51% ↘
22,23,Ansbach,0,236,79,-33.05% ↘
23,24,Kaufbeuren,0,236,97,-17.80% ↘
26,27,Aschaffenburg,0,239,90,-24.69% ↘
27,28,Bayreuth,0,239,98,-17.99% ↘
29,30,Hof,0,244,95,-22.13% ↘
32,33,Memmingen,0,251,114,-9.16% ↘
33,34,Neustadt a.d.Weinstraße,0,251,108,-13.94% ↘
35,36,Baden-Baden,0,258,109,-15.50% ↘
38,39,Neumünster,0,263,131,-0.38% ↘
39,40,Speyer,0,277,103,-25.63% ↘
41,42,Delmenhorst,0,283,147,3.89% ↗
42,43,Trier,0,294,139,-5.44% ↘
47,48,Rosenheim,0,300,107,-28.67% ↘
52,53,Erlangen,0,321,177,10.28% ↗
53,54,Frankenthal,0,329,132,-19.76% ↘
60,61,Coburg,0,338,111,-34.32% ↘
63,64,Worms,0,343,156,-9.04% ↘
67,68,Schwerin,0,358,121,-32.40% ↘
68,69,Bremerhaven,0,359,149,-16.99% ↘
71,72,Flensburg,0,368,168,-8.70% ↘
73,74,Kempten,0,369,159,-13.82% ↘
77,78,Bottrop,0,378,176,-6.88% ↘
78,79,Bamberg,0,384,124,-35.42% ↘
90,91,Salzgitter,0,421,179,-14.96% ↘
94,95,Koblenz,0,437,210,-3.89% ↘
100,101,Suhl,0,455,142,-37.58% ↘
103,104,Schweinfurt,0,459,194,-15.47% ↘
109,110,Oldenburg,0,476,259,8.82% ↗
114,115,Würzburg,0,492,231,-6.10% ↘
126,127,Osnabrück,0,526,241,-8.37% ↘
132,133,Wolfsburg,0,541,233,-13.86% ↘
133,134,Frankfurt (Oder),0,544,197,-27.57% ↘
149,150,Kaiserslautern,0,588,254,-13.61% ↘
153,154,Ulm,0,596,238,-20.13% ↘
157,158,Darmstadt,0,603,301,-0.17% ↘
165,166,Remscheid,0,622,211,-32.15% ↘
