,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
0,1,Suhl,0,569,374,31.46% ↗
5,6,Coburg,0,821,486,18.39% ↗
7,8,Pirmasens,0,873,414,-5.15% ↘
8,9,Zweibrücken,0,875,435,-0.57% ↘
10,11,Neustadt a.d.Weinstraße,0,901,591,31.19% ↗
12,13,Hof,0,946,527,11.42% ↗
14,15,Weimar,0,967,587,21.41% ↗
18,19,Frankenthal,0,1026,519,1.17% ↗
20,21,Landau i.d.Pfalz,0,1076,521,-3.16% ↘
22,23,Speyer,0,1181,587,-0.59% ↘
24,25,Passau,0,1212,596,-1.65% ↘
25,26,Emden,0,1235,703,13.85% ↗
26,27,Gera,0,1269,845,33.18% ↗
29,30,Ansbach,0,1328,641,-3.46% ↘
30,31,Straubing,0,1355,628,-7.31% ↘
32,33,Weiden i.d.OPf.,0,1365,775,13.55% ↗
33,34,Memmingen,0,1388,809,16.57% ↗
35,36,Schwabach,0,1403,780,11.19% ↗
41,42,Kaufbeuren,0,1491,823,10.40% ↗
42,43,Amberg,0,1495,854,14.25% ↗
47,48,Baden-Baden,0,1661,870,4.76% ↗
50,51,Jena,0,1685,971,15.25% ↗
51,52,Wilhelmshaven,0,1686,909,7.83% ↗
57,58,Brandenburg a.d.Havel,0,1805,934,3.49% ↗
59,60,Delmenhorst,0,1826,812,-11.06% ↘
65,66,Bamberg,0,1898,984,3.69% ↗
68,69,Schweinfurt,0,1963,1058,7.79% ↗
69,70,Dessau-Roßlau,0,1973,1008,2.18% ↗
79,80,Neumünster,0,2131,1175,10.28% ↗
83,84,Kempten,0,2194,1190,8.48% ↗
84,85,Frankfurt (Oder),0,2198,1109,0.91% ↗
85,86,Flensburg,0,2229,1107,-0.67% ↘
86,87,Cottbus,0,2252,1297,15.19% ↗
90,91,Aschaffenburg,0,2531,1359,7.39% ↗
96,97,Worms,0,2641,1685,27.60% ↗
102,103,Erfurt,0,2692,1630,21.10% ↗
105,106,Heidelberg,0,2721,1534,12.75% ↗
107,108,Bayreuth,0,2748,1531,11.43% ↗
110,111,Chemnitz,0,2774,1572,13.34% ↗
112,113,Landshut,0,2813,1533,8.99% ↗
114,115,Rosenheim,0,2835,1474,3.99% ↗
115,116,Kaiserslautern,0,2842,1474,3.73% ↗
118,119,Schwerin,0,2894,1333,-7.88% ↘
121,122,Koblenz,0,2936,1450,-1.23% ↘
122,123,Erlangen,0,2945,2000,35.82% ↗
133,134,Trier,0,3149,1553,-1.37% ↘
141,142,Wolfsburg,0,3351,1859,10.95% ↗
151,152,Salzgitter,0,3438,1832,6.57% ↗
153,154,Regensburg,0,3474,1543,-11.17% ↘
175,176,Oldenburg,0,3880,1820,-6.19% ↘
178,179,Bremerhaven,0,3912,2422,23.82% ↗
188,189,Kiel,0,4167,2037,-2.23% ↘
193,194,Heilbronn,0,4282,2251,5.14% ↗
194,195,Mülheim a.d.Ruhr,0,4293,1341,-37.53% ↘
197,198,Pforzheim,0,4310,2311,7.24% ↗
200,201,Osnabrück,0,4332,2507,15.74% ↗
207,208,Bottrop,0,4496,2185,-2.80% ↘
211,212,Braunschweig,0,4552,2537,11.47% ↗
212,213,Leverkusen,0,4552,2056,-9.67% ↘
222,223,Lübeck,0,4706,2416,2.68% ↗
224,225,Rostock,0,4745,2831,19.33% ↗
233,234,Ludwigshafen,0,5018,2315,-7.73% ↘
236,237,Fürth,0,5041,2567,1.84% ↗
257,258,Ulm,0,5517,3158,14.48% ↗
261,262,Würzburg,0,5583,3028,8.47% ↗
269,270,Oberhausen,0,5731,2728,-4.80% ↘
271,272,Remscheid,0,5747,2793,-2.80% ↘
276,277,Magdeburg,0,5843,3408,16.65% ↗
277,278,Darmstadt,0,5847,3047,4.22% ↗
278,279,Mannheim,0,5900,3196,8.34% ↗
279,280,Offenbach,0,5974,2926,-2.04% ↘
281,282,Kassel,0,6026,3149,4.51% ↗
283,284,Berlin Treptow-Köpenick,0,6200,3201,3.26% ↗
284,285,Solingen,0,6228,3411,9.54% ↗
285,286,Potsdam,0,6245,2323,-25.60% ↘
286,287,Mainz,0,6257,3110,-0.59% ↘
290,291,Mönchengladbach,0,6341,3017,-4.84% ↘
291,292,Herne,0,6382,3313,3.82% ↗
295,296,Bielefeld,0,6491,3997,23.16% ↗
298,299,Halle,0,6575,3738,13.70% ↗
300,301,Hagen,0,6737,3885,15.33% ↗
308,309,Ingolstadt,0,6884,3668,6.57% ↗
309,310,Berlin Steglitz-Zehlendorf,0,6918,3264,-5.64% ↘
313,314,Hamm,0,7095,3893,9.74% ↗
315,316,Berlin Marzahn-Hellersdorf,0,7181,5066,41.09% ↗
324,325,Krefeld,0,7718,3333,-13.63% ↘
332,333,Münster,0,8020,4129,2.97% ↗
334,335,Karlsruhe,0,8201,4696,14.52% ↗
335,336,Freiburg i.Breisgau,0,8208,4117,0.32% ↗
337,338,Berlin Spandau,0,8315,3434,-17.40% ↘
339,340,Berlin Reinickendorf,0,8378,4088,-2.41% ↘
343,344,Gelsenkirchen,0,8901,4293,-3.54% ↘
345,346,Stuttgart,0,9023,4635,2.74% ↗
360,361,Bonn,0,10134,4760,-6.06% ↘
366,367,Berlin Lichtenberg,0,11026,5616,1.87% ↗
367,368,Bochum,0,11512,5494,-4.55% ↘
368,369,Augsburg,0,11544,5673,-1.72% ↘
370,371,Berlin Tempelhof-Schöneberg,0,11626,4532,-22.04% ↘
371,372,Wiesbaden,0,11628,5631,-3.15% ↘
373,374,Wuppertal,0,11825,6040,2.16% ↗
374,375,Berlin Friedrichshain-Kreuzberg,0,11958,4024,-32.70% ↘
380,381,Berlin Neukölln,0,12896,4075,-36.80% ↘
386,387,Berlin Mitte,0,14653,6205,-15.31% ↘
387,388,Dresden,0,14721,7804,6.03% ↗
388,389,Berlin Pankow,0,14961,7076,-5.41% ↘
389,390,Bremen,0,14963,7364,-1.57% ↘
391,392,Berlin Charlottenburg-Wilmersdorf,0,15244,9128,19.76% ↗
395,396,Leipzig,0,15644,8375,7.07% ↗
396,397,Duisburg,0,15695,7849,0.02% ↗
401,402,Nürnberg,0,18296,8194,-10.43% ↘
402,403,Essen,0,19426,10653,9.68% ↗
404,405,Dortmund,0,24032,11778,-1.98% ↘
405,406,Düsseldorf,0,26081,11760,-9.82% ↘
407,408,Frankfurt am Main,0,36423,18531,1.75% ↗
408,409,Köln,0,38737,21193,9.42% ↗
409,410,München,0,64350,36275,12.74% ↗
410,411,Hamburg,0,68366,29051,-15.01% ↘
