,last7,last14,mix,Gemeinde
Plettenberg,35,56,35.0,Plettenberg
Schalksmühle,10,13,10.0,Schalksmühle
Werdohl,11,19,11.0,Werdohl
Erkrath,42,89,42.0,Erkrath
Haan,41,54,41.0,Haan
Heiligenhaus,31,59,31.0,Heiligenhaus
Hilden,47,90,47.0,Hilden
Langenfeld (Rhld.),37,70,37.0,Langenfeld (Rhld.)
Mettmann,44,63,44.0,Mettmann
Monheim am Rhein,64,110,64.0,Monheim am Rhein
Ratingen,89,189,89.0,Ratingen
Velbert,62,101,62.0,Velbert
Wülfrath,10,14,10.0,Wülfrath
Bad Oeynhausen,85,182,85.0,Bad Oeynhausen
Espelkamp,137,251,137.0,Espelkamp
Hille,10,32,10.0,Hille
Hüllhorst,28,45,28.0,Hüllhorst
Lübbecke,88,148,88.0,Lübbecke
Minden,97,196,97.0,Minden
Petershagen,16,36,16.0,Petershagen
Porta Westfalica,111,199,111.0,Porta Westfalica
Preußisch Oldendorf,40,65,40.0,Preußisch Oldendorf
Rahden,28,61,28.0,Rahden
Stemwede,8,26,8.0,Stemwede
Attendorn,43,79,43.0,Attendorn
Drolshagen,14,27,14.0,Drolshagen
Finnentrop,26,68,26.0,Finnentrop
Kirchhundem,4,4,4.0,Kirchhundem
Lennestadt,14,32,14.0,Lennestadt
Olpe,30,59,30.0,Olpe
Wenden,20,71,20.0,Wenden
Altenbeken,14,18,14.0,Altenbeken
Bad Lippspringe,14,19,14.0,Bad Lippspringe
Bad Wünnenberg,7,8,7.0,Bad Wünnenberg
Borchen,4,11,4.0,Borchen
Büren,35,46,35.0,Büren
Delbrück,34,62,34.0,Delbrück
Hövelhof,9,15,9.0,Hövelhof
Lichtenau,3,4,3.0,Lichtenau
Paderborn,135,240,135.0,Paderborn
Salzkotten,15,25,15.0,Salzkotten
Bedburg,26,42,26.0,Bedburg
Bergheim,78,132,78.0,Bergheim
Brühl,28,48,28.0,Brühl
Elsdorf,9,17,9.0,Elsdorf
Erftstadt,53,96,53.0,Erftstadt
Frechen,53,101,53.0,Frechen
Hürth,109,185,109.0,Hürth
Kerpen,79,165,79.0,Kerpen
Pulheim,62,105,62.0,Pulheim
Wesseling,22,47,22.0,Wesseling
Alfter,13,23,13.0,Alfter
Bad Honnef,21,46,21.0,Bad Honnef
Bornheim,47,78,47.0,Bornheim
Eitorf,17,32,17.0,Eitorf
Königswinter,30,73,30.0,Königswinter
Lohmar,37,50,37.0,Lohmar
Meckenheim,17,23,17.0,Meckenheim
Much,17,28,17.0,Much
Neunkirchen-Seelscheid,10,19,10.0,Neunkirchen-Seelscheid
Niederkassel,65,125,65.0,Niederkassel
Rheinbach,19,24,19.0,Rheinbach
Ruppichteroth,14,20,14.0,Ruppichteroth
Sankt Augustin,64,143,64.0,Sankt Augustin
Siegburg,37,78,37.0,Siegburg
Swisttal,8,18,8.0,Swisttal
Troisdorf,106,192,106.0,Troisdorf
Wachtberg,29,52,29.0,Wachtberg
Windeck,10,28,10.0,Windeck
Hennef (Sieg),42,69,42.0,Hennef (Sieg)
Bonn,327,507,327.0,Bonn
Bielefeld,430,768,430.0,Bielefeld
Münster,288,482,288.0,Münster
Hamm,154,264,154.0,Hamm
Mülheim an der Ruhr,133,236,133.0,Mülheim an der Ruhr
Dortmund,718,1152,718.0,Dortmund
Hagen,243,447,243.0,Hagen
Bochum,373,681,373.0,Bochum
Herne,149,275,149.0,Herne
Gelsenkirchen,285,511,285.0,Gelsenkirchen
Essen,479,789,479.0,Essen
Bottrop,112,192,112.0,Bottrop
Oberhausen,187,289,187.0,Oberhausen
Duisburg,520,864,520.0,Duisburg
Krefeld,239,442,239.0,Krefeld
Düsseldorf,816,1507,816.0,Düsseldorf
Mönchengladbach,313,561,313.0,Mönchengladbach
Wuppertal,405,684,405.0,Wuppertal
Solingen,152,265,152.0,Solingen
Remscheid,111,177,111.0,Remscheid
Bonn,327,507,327.0,Bonn
Leverkusen,300,467,300.0,Leverkusen
Köln,1653,2768,1653.0,Köln
Altenberge,11,17,11.0,Altenberge
Emsdetten,27,61,27.0,Emsdetten
Greven,31,43,31.0,Greven
Hopsten,7,15,7.0,Hopsten
Hörstel,18,36,18.0,Hörstel
Horstmar,12,15,12.0,Horstmar
Ibbenbüren,59,118,59.0,Ibbenbüren
Ladbergen,2,2,2.0,Ladbergen
Laer,2,2,2.0,Laer
Lengerich,16,35,16.0,Lengerich
Lienen,7,19,7.0,Lienen
Lotte,25,56,25.0,Lotte
Metelen,0,0,0.2,Metelen
Mettingen,5,8,5.0,Mettingen
Neuenkirchen,21,43,21.0,Neuenkirchen
Nordwalde,2,8,2.0,Nordwalde
Ochtrup,22,39,22.0,Ochtrup
Recke,5,9,5.0,Recke
Rheine,81,134,81.0,Rheine
Saerbeck,6,11,6.0,Saerbeck
Steinfurt,36,52,36.0,Steinfurt
Tecklenburg,4,5,4.0,Tecklenburg
Westerkappeln,13,18,13.0,Westerkappeln
Wettringen,4,12,4.0,Wettringen
Ahlen,39,97,39.0,Ahlen
Beckum,23,81,23.0,Beckum
Beelen,15,48,15.0,Beelen
Drensteinfurt,9,22,9.0,Drensteinfurt
Ennigerloh,15,31,15.0,Ennigerloh
Everswinkel,5,10,5.0,Everswinkel
Oelde,24,58,24.0,Oelde
Ostbevern,15,50,15.0,Ostbevern
Sassenberg,12,44,12.0,Sassenberg
Sendenhorst,11,23,11.0,Sendenhorst
Telgte,5,16,5.0,Telgte
Wadersloh,13,21,13.0,Wadersloh
Warendorf,47,116,47.0,Warendorf
Alpen,12,21,12.0,Alpen
Dinslaken,73,107,73.0,Dinslaken
Hamminkeln,11,21,11.0,Hamminkeln
Hünxe,5,8,5.0,Hünxe
Kamp-Lintfort,39,67,39.0,Kamp-Lintfort
Moers,74,133,74.0,Moers
Neukirchen-Vluyn,13,37,13.0,Neukirchen-Vluyn
Rheinberg,16,27,16.0,Rheinberg
Schermbeck,1,8,1.0,Schermbeck
Sonsbeck,2,3,2.0,Sonsbeck
Voerde (Niederrhein),22,31,22.0,Voerde (Niederrhein)
Wesel,24,43,24.0,Wesel
Xanten,8,19,8.0,Xanten
Meerbusch,40,82,40.0,Meerbusch
Korschenbroich,20,38,20.0,Korschenbroich
Jüchen,6,27,6.0,Jüchen
Neuss,183,307,183.0,Neuss
Grevenbroich,51,115,51.0,Grevenbroich
Dormagen,68,130,68.0,Dormagen
Kaarst,43,78,43.0,Kaarst
Rommerskirchen,10,24,10.0,Rommerskirchen
Castrop-Rauxel,75,125,75.0,Castrop-Rauxel
Datteln,49,84,49.0,Datteln
Dorsten,40,75,40.0,Dorsten
Gladbeck,94,157,94.0,Gladbeck
Haltern am See,24,43,24.0,Haltern am See
Herten,80,140,80.0,Herten
Marl,86,194,86.0,Marl
Oer-Erkenschwick,24,61,24.0,Oer-Erkenschwick
Recklinghausen,139,254,139.0,Recklinghausen
Waltrop,25,57,25.0,Waltrop
Bergisch Gladbach,137,231,137.0,Bergisch Gladbach
Burscheid,17,24,17.0,Burscheid
Kürten,33,42,33.0,Kürten
Leichlingen (Rhld.),30,50,30.0,Leichlingen (Rhld.)
Odenthal,14,23,14.0,Odenthal
Overath,26,51,26.0,Overath
Rösrath,15,36,15.0,Rösrath
Wermelskirchen,18,28,18.0,Wermelskirchen
Brüggen,17,39,17.0,Brüggen
Grefrath,6,24,6.0,Grefrath
Kempen,25,44,25.0,Kempen
Nettetal,49,77,49.0,Nettetal
