,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Frankfurt (Oder),2,8,3,-25.00% ↘
2,3,Suhl,3,12,5,-16.67% ↘
4,5,Eisenach,5,14,3,-57.14% ↘
9,10,Dessau-Roßlau,2,21,11,4.76% ↗
10,11,Pirmasens,1,21,8,-23.81% ↘
19,20,Weimar,1,25,16,28.00% ↗
22,23,Brandenburg a.d.Havel,2,27,15,11.11% ↗
32,33,Coburg,0,34,20,17.65% ↗
34,35,Zweibrücken,2,35,13,-25.71% ↘
37,38,Jena,0,36,26,44.44% ↗
41,42,Hof,0,37,27,45.95% ↗
60,61,Gera,2,48,20,-16.67% ↘
62,63,Emden,1,48,30,25.00% ↗
64,65,Ansbach,0,49,33,34.69% ↗
67,68,Weiden i.d.OPf.,1,53,25,-5.66% ↘
69,70,Schwabach,0,54,39,44.44% ↗
70,71,Bayreuth,0,54,38,40.74% ↗
80,81,Wilhelmshaven,0,60,36,20.00% ↗
84,85,Landau i.d.Pfalz,0,62,41,32.26% ↗
86,87,Amberg,0,63,33,4.76% ↗
91,92,Kaufbeuren,0,68,39,14.71% ↗
95,96,Straubing,0,70,38,8.57% ↗
97,98,Passau,0,73,56,53.42% ↗
101,102,Speyer,1,77,40,3.90% ↗
103,104,Bamberg,0,77,39,1.30% ↗
104,105,Schwerin,0,77,35,-9.09% ↘
105,106,Magdeburg,1,80,31,-22.50% ↘
109,110,Frankenthal,0,83,54,30.12% ↗
111,112,Aschaffenburg,0,84,39,-7.14% ↘
115,116,Neustadt a.d.Weinstraße,0,86,60,39.53% ↗
117,118,Kempten,1,88,52,18.18% ↗
119,120,Cottbus,0,90,45,0.00% →
123,124,Erlangen,0,93,61,31.18% ↗
135,136,Erfurt,2,102,70,37.25% ↗
140,141,Landshut,0,104,58,11.54% ↗
149,150,Kaiserslautern,2,109,55,0.92% ↗
151,152,Delmenhorst,2,110,78,41.82% ↗
153,154,Memmingen,0,110,75,36.36% ↗
155,156,Baden-Baden,1,111,69,24.32% ↗
