,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Emden,0,157,105,33.76% ↗
2,3,Pirmasens,0,179,118,31.84% ↗
4,5,Zweibrücken,0,196,114,16.33% ↗
5,6,Wilhelmshaven,0,202,95,-5.94% ↘
10,11,Flensburg,0,257,128,-0.39% ↘
12,13,Trier,0,263,156,18.63% ↗
13,14,Hof,0,272,139,2.21% ↗
22,23,Delmenhorst,0,351,176,0.28% ↗
23,24,Neumünster,0,351,153,-12.82% ↘
24,25,Coburg,0,354,195,10.17% ↗
28,29,Frankenthal,0,376,207,10.11% ↗
32,33,Weiden i.d.OPf.,0,403,240,19.11% ↗
34,35,Amberg,0,407,229,12.53% ↗
37,38,Koblenz,0,421,251,19.24% ↗
38,39,Bremerhaven,0,428,266,24.30% ↗
44,45,Remscheid,0,455,283,24.40% ↗
45,46,Neustadt a.d.Weinstraße,0,456,270,18.42% ↗
49,50,Landau i.d.Pfalz,0,464,227,-2.16% ↘
50,51,Bottrop,0,466,270,15.88% ↗
52,53,Ansbach,0,475,237,-0.21% ↘
53,54,Osnabrück,0,475,245,3.16% ↗
57,58,Kaiserslautern,0,482,258,7.05% ↗
58,59,Speyer,0,490,297,21.22% ↗
61,62,Baden-Baden,0,496,283,14.11% ↗
66,67,Schwabach,0,524,264,0.76% ↗
68,69,Brandenburg a.d.Havel,0,528,309,17.05% ↗
69,70,Schweinfurt,0,530,309,16.60% ↗
74,75,Suhl,0,567,337,18.87% ↗
75,76,Oldenburg,0,573,359,25.31% ↗
76,77,Schwerin,0,573,370,29.14% ↗
83,84,Weimar,0,600,337,12.33% ↗
87,88,Bayreuth,0,609,326,7.06% ↗
89,90,Straubing,0,618,251,-18.77% ↘
90,91,Kiel,0,625,313,0.16% ↗
91,92,Kaufbeuren,0,633,366,15.64% ↗
92,93,Memmingen,0,634,327,3.15% ↗
93,94,Worms,0,637,381,19.62% ↗
94,95,Wolfsburg,0,641,397,23.87% ↗
100,101,Mülheim a.d.Ruhr,0,676,366,8.28% ↗
102,103,Aschaffenburg,0,678,358,5.60% ↗
108,109,Bamberg,0,711,355,-0.14% ↘
109,110,Passau,0,718,345,-3.90% ↘
116,117,Frankfurt (Oder),0,746,468,25.47% ↗
117,118,Lübeck,0,752,400,6.38% ↗
120,121,Heidelberg,0,755,378,0.13% ↗
121,122,Erlangen,0,759,412,8.56% ↗
127,128,Salzgitter,0,781,422,8.07% ↗
130,131,Darmstadt,0,790,478,21.01% ↗
131,132,Herne,0,799,498,24.66% ↗
133,134,Kassel,0,826,521,26.15% ↗
134,135,Oberhausen,0,836,526,25.84% ↗
138,139,Braunschweig,0,866,524,21.02% ↗
146,147,Offenbach,0,929,491,5.71% ↗
147,148,Hamm,0,931,511,9.77% ↗
148,149,Würzburg,0,934,549,17.56% ↗
150,151,Mainz,0,935,508,8.66% ↗
151,152,Solingen,0,936,491,4.91% ↗
156,157,Landshut,0,958,490,2.30% ↗
163,164,Kempten,0,984,550,11.79% ↗
170,171,Hagen,0,1050,609,16.00% ↗
172,173,Münster,0,1059,537,1.42% ↗
174,175,Rostock,0,1066,551,3.38% ↗
177,178,Dessau-Roßlau,0,1092,610,11.72% ↗
179,180,Berlin Marzahn-Hellersdorf,0,1104,546,-1.09% ↘
182,183,Wiesbaden,0,1109,589,6.22% ↗
185,186,Leverkusen,0,1133,660,16.50% ↗
190,191,Jena,0,1162,735,26.51% ↗
196,197,Ludwigshafen,0,1215,670,10.29% ↗
198,199,Gera,0,1219,703,15.34% ↗
199,200,Cottbus,0,1239,775,25.10% ↗
200,201,Krefeld,0,1252,712,13.74% ↗
201,202,Rosenheim,0,1268,765,20.66% ↗
205,206,Mönchengladbach,0,1282,767,19.66% ↗
207,208,Ulm,0,1298,628,-3.24% ↘
227,228,Gelsenkirchen,0,1434,821,14.50% ↗
234,235,Heilbronn,0,1484,783,5.53% ↗
240,241,Potsdam,0,1521,845,11.11% ↗
243,244,Fürth,0,1529,823,7.65% ↗
245,246,Pforzheim,0,1548,769,-0.65% ↘
251,252,Regensburg,0,1574,790,0.38% ↗
253,254,Bonn,0,1633,962,17.82% ↗
258,259,Freiburg i.Breisgau,0,1653,874,5.75% ↗
262,263,Berlin Spandau,0,1676,682,-18.62% ↘
263,264,Ingolstadt,0,1677,876,4.47% ↗
273,274,Bochum,0,1763,983,11.51% ↗
280,281,Wuppertal,0,1834,1085,18.32% ↗
289,290,Berlin Lichtenberg,0,1940,884,-8.87% ↘
291,292,Bielefeld,0,1966,1106,12.51% ↗
295,296,Bremen,0,2012,1223,21.57% ↗
308,309,Berlin Steglitz-Zehlendorf,0,2113,924,-12.54% ↘
311,312,Berlin Treptow-Köpenick,0,2140,1110,3.74% ↗
314,315,Duisburg,0,2176,1281,17.74% ↗
317,318,Berlin Charlottenburg-Wilmersdorf,0,2221,1287,15.89% ↗
326,327,Karlsruhe,0,2292,1168,1.92% ↗
328,329,Essen,0,2323,1405,20.96% ↗
329,330,Magdeburg,0,2340,1417,21.11% ↗
336,337,Berlin Reinickendorf,0,2380,1242,4.37% ↗
340,341,Berlin Tempelhof-Schöneberg,0,2494,1379,10.59% ↗
341,342,Berlin Friedrichshain-Kreuzberg,0,2499,1104,-11.64% ↘
342,343,Halle,0,2517,1505,19.59% ↗
350,351,Berlin Neukölln,0,2622,1257,-4.12% ↘
