,Rank,District/County Town,COVID-Free Days,New Cases in Last 14 Days,Last 7 Days,Percent Change
1,2,Emden,0,46,30,30.43% ↗
3,4,Zweibrücken,0,62,34,9.68% ↗
8,9,Pirmasens,0,75,40,6.67% ↗
9,10,Hof,0,77,38,-1.30% ↘
10,11,Coburg,0,89,42,-5.62% ↘
11,12,Bayreuth,0,91,52,14.29% ↗
12,13,Kaiserslautern,0,96,56,16.67% ↗
16,17,Neustadt a.d.Weinstraße,0,103,69,33.98% ↗
17,18,Brandenburg a.d.Havel,0,108,66,22.22% ↗
19,20,Landau i.d.Pfalz,0,113,78,38.05% ↗
21,22,Weiden i.d.OPf.,0,117,71,21.37% ↗
22,23,Neumünster,0,118,57,-3.39% ↘
26,27,Trier,0,123,74,20.33% ↗
28,29,Amberg,0,125,44,-29.60% ↘
29,30,Ansbach,0,128,56,-12.50% ↘
30,31,Frankfurt (Oder),0,128,99,54.69% ↗
32,33,Delmenhorst,0,130,76,16.92% ↗
33,34,Frankenthal,0,131,64,-2.29% ↘
34,35,Wilhelmshaven,0,131,56,-14.50% ↘
39,40,Schwerin,0,135,71,5.19% ↗
46,47,Flensburg,0,152,90,18.42% ↗
47,48,Suhl,0,153,86,12.42% ↗
53,54,Schwabach,0,169,94,11.24% ↗
54,55,Aschaffenburg,0,170,107,25.88% ↗
55,56,Koblenz,0,171,90,5.26% ↗
58,59,Remscheid,0,176,92,4.55% ↗
59,60,Speyer,0,179,75,-16.20% ↘
68,69,Oldenburg,0,194,133,37.11% ↗
69,70,Salzgitter,0,198,107,8.08% ↗
71,72,Memmingen,0,203,97,-4.43% ↘
74,75,Bamberg,0,213,107,0.47% ↗
76,77,Bottrop,0,215,109,1.40% ↗
77,78,Worms,0,216,89,-17.59% ↘
80,81,Kaufbeuren,0,218,106,-2.75% ↘
85,86,Dessau-Roßlau,0,226,148,30.97% ↗
89,90,Erlangen,0,231,128,10.82% ↗
94,95,Osnabrück,0,238,132,10.92% ↗
98,99,Wolfsburg,0,247,158,27.94% ↗
102,103,Mülheim a.d.Ruhr,0,251,127,1.20% ↗
105,106,Passau,0,255,154,20.78% ↗
109,110,Baden-Baden,0,260,126,-3.08% ↘
111,112,Lübeck,0,264,134,1.52% ↗
112,113,Solingen,0,266,143,7.52% ↗
113,114,Oberhausen,0,268,130,-2.99% ↘
115,116,Bremerhaven,0,272,137,0.74% ↗
118,119,Schweinfurt,0,282,121,-14.18% ↘
119,120,Hamm,0,283,136,-3.89% ↘
121,122,Herne,0,293,134,-8.53% ↘
124,125,Heidelberg,0,297,153,3.03% ↗
138,139,Landshut,0,332,164,-1.20% ↘
140,141,Straubing,0,342,189,10.53% ↗
142,143,Darmstadt,0,345,176,2.03% ↗
149,150,Kassel,0,352,219,24.43% ↗
151,152,Braunschweig,0,356,206,15.73% ↗
164,165,Cottbus,0,381,201,5.51% ↗
170,171,Kiel,0,394,216,9.64% ↗
178,179,Kempten,0,418,245,17.22% ↗
186,187,Würzburg,0,433,234,8.08% ↗
190,191,Weimar,0,440,221,0.45% ↗
194,195,Ludwigshafen,0,445,220,-1.12% ↘
195,196,Magdeburg,0,445,261,17.30% ↗
197,198,Hagen,0,452,192,-15.04% ↘
198,199,Krefeld,0,454,226,-0.44% ↘
200,201,Mainz,0,455,218,-4.18% ↘
206,207,Potsdam,0,467,247,5.78% ↗
213,214,Rosenheim,0,482,236,-2.07% ↘
215,216,Leverkusen,0,492,248,0.81% ↗
218,219,Jena,0,493,290,17.65% ↗
222,223,Bonn,0,498,256,2.81% ↗
232,233,Münster,0,514,263,2.33% ↗
233,234,Fürth,0,518,261,0.77% ↗
236,237,Rostock,0,528,323,22.35% ↗
237,238,Halle,0,529,344,30.06% ↗
239,240,Offenbach,0,539,273,1.30% ↗
251,252,Gera,0,556,331,19.06% ↗
252,253,Wiesbaden,0,558,327,17.20% ↗
255,256,Ulm,0,567,317,11.82% ↗
256,257,Mönchengladbach,0,568,255,-10.21% ↘
259,260,Heilbronn,0,576,282,-2.08% ↘
262,263,Gelsenkirchen,0,589,280,-4.92% ↘
277,278,Berlin Marzahn-Hellersdorf,0,634,392,23.66% ↗
285,286,Ingolstadt,0,667,319,-4.35% ↘
286,287,Berlin Treptow-Köpenick,0,668,428,28.14% ↗
294,295,Bochum,0,705,340,-3.55% ↘
302,303,Wuppertal,0,758,400,5.54% ↗
310,311,Bielefeld,0,783,385,-1.66% ↘
311,312,Freiburg i.Breisgau,0,786,374,-4.83% ↘
313,314,Berlin Steglitz-Zehlendorf,0,796,449,12.81% ↗
314,315,Pforzheim,0,796,341,-14.32% ↘
319,320,Berlin Spandau,0,801,466,16.35% ↗
320,321,Bremen,0,805,434,7.83% ↗
321,322,Berlin Lichtenberg,0,818,491,20.05% ↗
326,327,Essen,0,839,432,2.98% ↗
330,331,Duisburg,0,893,499,11.76% ↗
332,333,Berlin Charlottenburg-Wilmersdorf,0,900,488,8.44% ↗
335,336,Karlsruhe,0,920,430,-6.52% ↘
344,345,Mannheim,0,972,511,5.14% ↗
346,347,Berlin Friedrichshain-Kreuzberg,0,986,488,-1.01% ↘
352,353,Berlin Reinickendorf,0,1031,587,13.87% ↗
354,355,Regensburg,0,1062,475,-10.55% ↘
358,359,Berlin Tempelhof-Schöneberg,0,1118,577,3.22% ↗
364,365,Berlin Pankow,0,1203,704,17.04% ↗
366,367,Dortmund,0,1216,640,5.26% ↗
376,377,Berlin Neukölln,0,1279,697,8.99% ↗
377,378,Chemnitz,0,1315,796,21.06% ↗
