,"""summe_bestaetigt""",datum
Harsewinkel,1507,15.07.
Herzebrock-Clarholz,884,15.07.
Kreis gesamt,20073,15.07.
Borgholzhausen,361,16.07.
Gütersloh,6056,16.07.
Halle (Westf.),806,16.07.
Harsewinkel,1507,16.07.
Herzebrock-Clarholz,884,16.07.
Kreis gesamt,20079,16.07.
Langenberg,384,17.06.
Rheda-Wiedenbrück,3761,17.06.
Rietberg,1685,17.06.
Schloß Holte-Stukenbrock,1216,17.06.
Steinhagen,699,17.06.
Verl,1381,17.06.
Versmold,853,17.06.
Werther (Westf.),411,17.06.
Langenberg,383,18.06.
Rheda-Wiedenbrück,3762,18.06.
Rietberg,1685,18.06.
Schloß Holte-Stukenbrock,1216,18.06.
Steinhagen,699,18.06.
Verl,1381,18.06.
Versmold,853,18.06.
Werther (Westf.),411,18.06.
Langenberg,383,19.06.
Rheda-Wiedenbrück,3762,19.06.
Rietberg,1685,19.06.
Schloß Holte-Stukenbrock,1216,19.06.
Steinhagen,699,19.06.
Verl,1381,19.06.
Versmold,853,19.06.
Werther (Westf.),411,19.06.
Langenberg,383,20.06.
Rheda-Wiedenbrück,3762,20.06.
Rietberg,1685,20.06.
Schloß Holte-Stukenbrock,1216,20.06.
Steinhagen,699,20.06.
Verl,1381,20.06.
Versmold,853,20.06.
Werther (Westf.),411,20.06.
Langenberg,383,21.06.
Rheda-Wiedenbrück,3763,21.06.
Rietberg,1685,21.06.
Schloß Holte-Stukenbrock,1216,21.06.
Steinhagen,699,21.06.
Verl,1381,21.06.
Versmold,853,21.06.
Werther (Westf.),411,21.06.
Borgholzhausen,359,22.06.
Langenberg,383,22.06.
Rheda-Wiedenbrück,3763,22.06.
Rietberg,1685,22.06.
Schloß Holte-Stukenbrock,1216,22.06.
Steinhagen,699,22.06.
Verl,1381,22.06.
Versmold,853,22.06.
Werther (Westf.),411,22.06.
Langenberg,384,23.06.
Rheda-Wiedenbrück,3768,23.06.
Rietberg,1695,23.06.
Schloß Holte-Stukenbrock,1217,23.06.
Steinhagen,699,23.06.
Verl,1385,23.06.
Versmold,854,23.06.
Werther (Westf.),410,23.06.
Langenberg,384,24.06.
Rheda-Wiedenbrück,3775,24.06.
Rietberg,1695,24.06.
Schloß Holte-Stukenbrock,1217,24.06.
Steinhagen,701,24.06.
Verl,1388,24.06.
Versmold,855,24.06.
Werther (Westf.),410,24.06.
Langenberg,384,25.06.
Rheda-Wiedenbrück,3772,25.06.
Rietberg,1696,25.06.
Schloß Holte-Stukenbrock,1217,25.06.
Steinhagen,701,25.06.
Verl,1389,25.06.
Versmold,855,25.06.
Werther (Westf.),410,25.06.
Langenberg,384,26.06.
Rheda-Wiedenbrück,3773,26.06.
Rietberg,1696,26.06.
Schloß Holte-Stukenbrock,1217,26.06.
Steinhagen,701,26.06.
Verl,1389,26.06.
Versmold,855,26.06.
Werther (Westf.),410,26.06.
Langenberg,384,27.06.
Rheda-Wiedenbrück,3774,27.06.
Rietberg,1697,27.06.
Schloß Holte-Stukenbrock,1217,27.06.
Steinhagen,701,27.06.
Verl,1389,27.06.
Versmold,855,27.06.
Werther (Westf.),410,27.06.
Langenberg,384,28.06.
Rheda-Wiedenbrück,3776,28.06.
Rietberg,1697,28.06.
Schloß Holte-Stukenbrock,1217,28.06.
Steinhagen,701,28.06.
Verl,1389,28.06.
Versmold,855,28.06.
Werther (Westf.),410,28.06.
Borgholzhausen,360,29.06.
Langenberg,384,29.06.
Rheda-Wiedenbrück,3777,29.06.
Rietberg,1696,29.06.
Schloß Holte-Stukenbrock,1219,29.06.
Steinhagen,702,29.06.
Verl,1388,29.06.
Versmold,854,29.06.
Werther (Westf.),410,29.06.
Langenberg,384,30.06.
Rheda-Wiedenbrück,3780,30.06.
Rietberg,1695,30.06.
Schloß Holte-Stukenbrock,1221,30.06.
Steinhagen,702,30.06.
Verl,1390,30.06.
Versmold,854,30.06.
Werther (Westf.),410,30.06.
Langenberg,384,01.07.
Rheda-Wiedenbrück,3781,01.07.
Rietberg,1695,01.07.
Schloß Holte-Stukenbrock,1220,01.07.
Steinhagen,702,01.07.
Verl,1391,01.07.
Versmold,854,01.07.
Werther (Westf.),410,01.07.
Langenberg,384,02.07.
Rheda-Wiedenbrück,3780,02.07.
Rietberg,1694,02.07.
Schloß Holte-Stukenbrock,1221,02.07.
Steinhagen,702,02.07.
Verl,1392,02.07.
Versmold,854,02.07.
Werther (Westf.),410,02.07.
Langenberg,384,04.07.
Rheda-Wiedenbrück,3782,04.07.
Rietberg,1694,04.07.
Schloß Holte-Stukenbrock,1221,04.07.
Langenberg,384,05.07.
Rheda-Wiedenbrück,3782,05.07.
Rietberg,1694,05.07.
Schloß Holte-Stukenbrock,1221,05.07.
Steinhagen,702,05.07.
Verl,1392,05.07.
Versmold,854,05.07.
Werther (Westf.),410,05.07.
Langenberg,384,03.07.
Rheda-Wiedenbrück,3782,03.07.
Rietberg,1693,03.07.
Schloß Holte-Stukenbrock,1221,03.07.
Steinhagen,702,03.07.
Verl,1392,03.07.
Versmold,854,03.07.
Werther (Westf.),410,03.07.
Langenberg,384,06.07.
Rheda-Wiedenbrück,3779,06.07.
Rietberg,1694,06.07.
Schloß Holte-Stukenbrock,1221,06.07.
Steinhagen,702,06.07.
Verl,1394,06.07.
Versmold,854,06.07.
Werther (Westf.),410,06.07.
Langenberg,384,07.07.
Rheda-Wiedenbrück,3780,07.07.
Rietberg,1694,07.07.
Schloß Holte-Stukenbrock,1221,07.07.
Steinhagen,702,07.07.
Verl,1394,07.07.
Versmold,854,07.07.
Werther (Westf.),410,07.07.
Langenberg,384,08.07.
Rheda-Wiedenbrück,3780,08.07.
Rietberg,1695,08.07.
Schloß Holte-Stukenbrock,1221,08.07.
Steinhagen,702,08.07.
Verl,1394,08.07.
Versmold,854,08.07.
Werther (Westf.),410,08.07.
Borgholzhausen,360,09.07.
Langenberg,383,09.07.
Rheda-Wiedenbrück,3773,09.07.
Rietberg,1700,09.07.
Schloß Holte-Stukenbrock,1223,09.07.
Steinhagen,702,09.07.
Verl,1392,09.07.
Versmold,854,09.07.
Werther (Westf.),410,09.07.
Borgholzhausen,361,10.07.
Langenberg,382,10.07.
Rheda-Wiedenbrück,3781,10.07.
Rietberg,1702,10.07.
Schloß Holte-Stukenbrock,1221,10.07.
Steinhagen,702,10.07.
Verl,1393,10.07.
Versmold,854,10.07.
Werther (Westf.),410,10.07.
Borgholzhausen,361,11.07.
Langenberg,382,11.07.
Rheda-Wiedenbrück,3781,11.07.
Rietberg,1702,11.07.
Schloß Holte-Stukenbrock,1221,11.07.
Steinhagen,702,11.07.
Verl,1393,11.07.
Versmold,854,11.07.
Werther (Westf.),410,11.07.
Borgholzhausen,361,12.07.
Langenberg,382,12.07.
Rheda-Wiedenbrück,3781,12.07.
Rietberg,1703,12.07.
Schloß Holte-Stukenbrock,1221,12.07.
Steinhagen,702,12.07.
Verl,1393,12.07.
Versmold,854,12.07.
Werther (Westf.),410,12.07.
Borgholzhausen,361,13.07.
Langenberg,382,13.07.
Rheda-Wiedenbrück,3783,13.07.
Rietberg,1705,13.07.
Schloß Holte-Stukenbrock,1221,13.07.
Steinhagen,702,13.07.
Verl,1393,13.07.
Versmold,854,13.07.
Werther (Westf.),410,13.07.
Borgholzhausen,361,14.07.
Langenberg,382,14.07.
Rheda-Wiedenbrück,3782,14.07.
Rietberg,1708,14.07.
Schloß Holte-Stukenbrock,1223,14.07.
Steinhagen,703,14.07.
Verl,1395,14.07.
Versmold,854,14.07.
Werther (Westf.),410,14.07.
Langenberg,383,15.07.
Rheda-Wiedenbrück,3787,15.07.
Rietberg,1707,15.07.
Schloß Holte-Stukenbrock,1224,15.07.
Steinhagen,703,15.07.
Verl,1395,15.07.
Versmold,855,15.07.
Werther (Westf.),411,15.07.
Langenberg,383,16.07.
Rheda-Wiedenbrück,3787,16.07.
Rietberg,1708,16.07.
Schloß Holte-Stukenbrock,1224,16.07.
Steinhagen,703,16.07.
Verl,1395,16.07.
Versmold,854,16.07.
Werther (Westf.),411,16.07.
