,"""summe_bestaetigt""",datum
Borgholzhausen,691,14.01.
Gütersloh,10957,14.01.
Halle (Westf.),1727,14.01.
Harsewinkel,3414,14.01.
Herzebrock-Clarholz,1681,14.01.
Kreis gesamt,37830,14.01.
Langenberg,755,14.01.
Rheda-Wiedenbrück,6241,14.01.
Rietberg,3096,14.01.
Schloß Holte-Stukenbrock,2514,14.01.
Steinhagen,1616,14.01.
Verl,2575,14.01.
Versmold,1790,14.01.
Werther (Westf.),773,14.01.
Borgholzhausen,699,15.01.
Gütersloh,11087,15.01.
Halle (Westf.),1752,15.01.
Harsewinkel,3450,15.01.
Herzebrock-Clarholz,1702,15.01.
Kreis gesamt,38264,15.01.
Langenberg,757,15.01.
Rheda-Wiedenbrück,6298,15.01.
Rietberg,3116,15.01.
Schloß Holte-Stukenbrock,2542,15.01.
Steinhagen,1637,15.01.
Verl,2605,15.01.
Versmold,1837,15.01.
Werther (Westf.),782,15.01.
Borgholzhausen,706,16.01.
Gütersloh,11175,16.01.
Halle (Westf.),1761,16.01.
Harsewinkel,3469,16.01.
Herzebrock-Clarholz,1708,16.01.
Kreis gesamt,38527,16.01.
Langenberg,765,16.01.
Rheda-Wiedenbrück,6334,16.01.
Rietberg,3138,16.01.
Schloß Holte-Stukenbrock,2556,16.01.
Steinhagen,1657,16.01.
Verl,2617,16.01.
Versmold,1852,16.01.
Werther (Westf.),789,16.01.
Borgholzhausen,710,17.01.
Gütersloh,11233,17.01.
Halle (Westf.),1785,17.01.
Harsewinkel,3493,17.01.
Herzebrock-Clarholz,1727,17.01.
Kreis gesamt,38809,17.01.
Langenberg,775,17.01.
Rheda-Wiedenbrück,6372,17.01.
Rietberg,3151,17.01.
Schloß Holte-Stukenbrock,2582,17.01.
Steinhagen,1668,17.01.
Verl,2645,17.01.
Versmold,1872,17.01.
Werther (Westf.),796,17.01.
Borgholzhausen,712,18.01.
Gütersloh,11286,18.01.
Halle (Westf.),1791,18.01.
Harsewinkel,3497,18.01.
Herzebrock-Clarholz,1733,18.01.
Kreis gesamt,38925,18.01.
Langenberg,774,18.01.
Rheda-Wiedenbrück,6380,18.01.
Rietberg,3154,18.01.
Schloß Holte-Stukenbrock,2593,18.01.
Steinhagen,1672,18.01.
Verl,2657,18.01.
Versmold,1876,18.01.
Werther (Westf.),800,18.01.
Borgholzhausen,727,19.01.
Gütersloh,11416,19.01.
Halle (Westf.),1800,19.01.
Harsewinkel,3509,19.01.
Herzebrock-Clarholz,1740,19.01.
Kreis gesamt,39298,19.01.
Langenberg,787,19.01.
Rheda-Wiedenbrück,6434,19.01.
Rietberg,3170,19.01.
Schloß Holte-Stukenbrock,2616,19.01.
Steinhagen,1711,19.01.
Verl,2687,19.01.
Versmold,1891,19.01.
Werther (Westf.),810,19.01.
Borgholzhausen,731,20.01.
Gütersloh,11517,20.01.
Halle (Westf.),1825,20.01.
Harsewinkel,3538,20.01.
Herzebrock-Clarholz,1759,20.01.
Kreis gesamt,39758,20.01.
Langenberg,794,20.01.
Rheda-Wiedenbrück,6504,20.01.
Rietberg,3203,20.01.
Schloß Holte-Stukenbrock,2655,20.01.
Steinhagen,1748,20.01.
Verl,2735,20.01.
Versmold,1927,20.01.
Werther (Westf.),822,20.01.
Borgholzhausen,748,21.01.
Gütersloh,11715,21.01.
Halle (Westf.),1860,21.01.
Harsewinkel,3558,21.01.
Herzebrock-Clarholz,1773,21.01.
Kreis gesamt,40390,21.01.
Langenberg,805,21.01.
Rheda-Wiedenbrück,6577,21.01.
Rietberg,3257,21.01.
Schloß Holte-Stukenbrock,2699,21.01.
Steinhagen,1787,21.01.
Verl,2791,21.01.
Versmold,1982,21.01.
Werther (Westf.),838,21.01.
Versmold,1567,04.01.
Werther (Westf.),715,04.01.
Borgholzhausen,662,05.01.
Gütersloh,10310,05.01.
Halle (Westf.),1571,05.01.
Harsewinkel,3230,05.01.
Herzebrock-Clarholz,1591,05.01.
Kreis gesamt,35413,05.01.
Werther (Westf.),720,05.01.
Borgholzhausen,666,06.01.
Gütersloh,10365,06.01.
Halle (Westf.),1598,06.01.
Harsewinkel,3253,06.01.
Kreis gesamt,35667,06.01.
Borgholzhausen,605,23.12.
Gütersloh,9937,23.12.
Halle (Westf.),1437,23.12.
Harsewinkel,3050,23.12.
Herzebrock-Clarholz,1536,23.12.
Kreis gesamt,33731,23.12.
Werther (Westf.),698,23.12.
Borgholzhausen,613,24.12.
Gütersloh,9970,24.12.
Halle (Westf.),1448,24.12.
Harsewinkel,3065,24.12.
Herzebrock-Clarholz,1541,24.12.
Kreis gesamt,33875,24.12.
Werther (Westf.),699,24.12.
Borgholzhausen,622,25.12.
Gütersloh,10005,25.12.
Halle (Westf.),1464,25.12.
Harsewinkel,3097,25.12.
Herzebrock-Clarholz,1544,25.12.
Kreis gesamt,34077,25.12.
Werther (Westf.),703,25.12.
Borgholzhausen,622,26.12.
Gütersloh,10007,26.12.
Halle (Westf.),1465,26.12.
Harsewinkel,3097,26.12.
Herzebrock-Clarholz,1545,26.12.
Kreis gesamt,34088,26.12.
Werther (Westf.),703,26.12.
Borgholzhausen,623,27.12.
Gütersloh,10019,27.12.
Halle (Westf.),1477,27.12.
Harsewinkel,3100,27.12.
Herzebrock-Clarholz,1546,27.12.
Kreis gesamt,34142,27.12.
Werther (Westf.),703,27.12.
Borgholzhausen,623,28.12.
Gütersloh,10039,28.12.
Halle (Westf.),1482,28.12.
Harsewinkel,3101,28.12.
Herzebrock-Clarholz,1547,28.12.
Kreis gesamt,34213,28.12.
Werther (Westf.),704,28.12.
Borgholzhausen,628,29.12.
Gütersloh,10069,29.12.
Halle (Westf.),1486,29.12.
Harsewinkel,3132,29.12.
Herzebrock-Clarholz,1551,29.12.
Kreis gesamt,34386,29.12.
Werther (Westf.),709,29.12.
Borgholzhausen,632,30.12.
Gütersloh,10101,30.12.
Halle (Westf.),1494,30.12.
Langenberg,664,23.12.
Rheda-Wiedenbrück,5654,23.12.
Rietberg,2777,23.12.
Schloß Holte-Stukenbrock,2232,23.12.
Steinhagen,1447,23.12.
Verl,2226,23.12.
Versmold,1468,23.12.
Langenberg,668,24.12.
Rheda-Wiedenbrück,5666,24.12.
Rietberg,2796,24.12.
Schloß Holte-Stukenbrock,2244,24.12.
Steinhagen,1456,24.12.
Verl,2230,24.12.
Versmold,1479,24.12.
Langenberg,669,25.12.
Rheda-Wiedenbrück,5697,25.12.
Rietberg,2821,25.12.
Schloß Holte-Stukenbrock,2257,25.12.
Steinhagen,1461,25.12.
Verl,2248,25.12.
Versmold,1489,25.12.
Langenberg,669,26.12.
Rheda-Wiedenbrück,5699,26.12.
Rietberg,2822,26.12.
Schloß Holte-Stukenbrock,2258,26.12.
Steinhagen,1463,26.12.
Verl,2249,26.12.
Versmold,1489,26.12.
Langenberg,669,27.12.
Rheda-Wiedenbrück,5712,27.12.
Rietberg,2823,27.12.
Schloß Holte-Stukenbrock,2258,27.12.
Steinhagen,1463,27.12.
Verl,2254,27.12.
Versmold,1495,27.12.
Langenberg,669,28.12.
Rheda-Wiedenbrück,5723,28.12.
Rietberg,2828,28.12.
Schloß Holte-Stukenbrock,2263,28.12.
Steinhagen,1472,28.12.
Verl,2261,28.12.
Versmold,1501,28.12.
Langenberg,674,29.12.
Rheda-Wiedenbrück,5752,29.12.
Rietberg,2845,29.12.
Schloß Holte-Stukenbrock,2273,29.12.
Steinhagen,1480,29.12.
Verl,2269,29.12.
Versmold,1518,29.12.
Harsewinkel,3153,30.12.
Herzebrock-Clarholz,1559,30.12.
Kreis gesamt,34570,30.12.
Langenberg,679,30.12.
Rheda-Wiedenbrück,5780,30.12.
Rietberg,2856,30.12.
Schloß Holte-Stukenbrock,2284,30.12.
Steinhagen,1496,30.12.
Verl,2290,30.12.
Versmold,1536,30.12.
Werther (Westf.),710,30.12.
Borgholzhausen,643,31.12.
Gütersloh,10142,31.12.
Halle (Westf.),1504,31.12.
Harsewinkel,3170,31.12.
Herzebrock-Clarholz,1569,31.12.
Kreis gesamt,34754,31.12.
Werther (Westf.),712,31.12.
Borgholzhausen,652,01.01.
Gütersloh,10189,01.01.
Halle (Westf.),1523,01.01.
Harsewinkel,3189,01.01.
Herzebrock-Clarholz,1570,01.01.
Kreis gesamt,34917,01.01.
Werther (Westf.),712,01.01.
Borgholzhausen,652,02.01.
Gütersloh,10198,02.01.
Halle (Westf.),1528,02.01.
Harsewinkel,3189,02.01.
Herzebrock-Clarholz,1570,02.01.
Kreis gesamt,34957,02.01.
Werther (Westf.),713,02.01.
Borgholzhausen,651,03.01.
Gütersloh,10217,03.01.
Halle (Westf.),1551,03.01.
Harsewinkel,3200,03.01.
Herzebrock-Clarholz,1575,03.01.
Kreis gesamt,35053,03.01.
Werther (Westf.),714,03.01.
Borgholzhausen,650,04.01.
Gütersloh,10243,04.01.
Halle (Westf.),1555,04.01.
Harsewinkel,3207,04.01.
Herzebrock-Clarholz,1579,04.01.
Kreis gesamt,35134,04.01.
Herzebrock-Clarholz,1603,06.01.
Werther (Westf.),727,06.01.
Borgholzhausen,673,07.01.
Gütersloh,10430,07.01.
Halle (Westf.),1613,07.01.
Harsewinkel,3278,07.01.
Herzebrock-Clarholz,1612,07.01.
Kreis gesamt,35931,07.01.
Werther (Westf.),732,07.01.
Borgholzhausen,675,08.01.
Gütersloh,10487,08.01.
Halle (Westf.),1649,08.01.
Harsewinkel,3309,08.01.
Herzebrock-Clarholz,1624,08.01.
Kreis gesamt,36224,08.01.
Werther (Westf.),734,08.01.
Borgholzhausen,674,09.01.
Gütersloh,10572,09.01.
Langenberg,682,31.12.
Rheda-Wiedenbrück,5805,31.12.
Rietberg,2877,31.12.
Schloß Holte-Stukenbrock,2297,31.12.
Steinhagen,1500,31.12.
Verl,2312,31.12.
Versmold,1541,31.12.
Langenberg,687,01.01.
Rheda-Wiedenbrück,5834,01.01.
Rietberg,2880,01.01.
Schloß Holte-Stukenbrock,2304,01.01.
Steinhagen,1509,01.01.
Verl,2317,01.01.
Versmold,1551,01.01.
Langenberg,687,02.01.
Rheda-Wiedenbrück,5834,02.01.
Rietberg,2886,02.01.
Schloß Holte-Stukenbrock,2308,02.01.
Steinhagen,1511,02.01.
Verl,2324,02.01.
Versmold,1557,02.01.
Langenberg,690,03.01.
Rheda-Wiedenbrück,5852,03.01.
Rietberg,2893,03.01.
Schloß Holte-Stukenbrock,2309,03.01.
Steinhagen,1515,03.01.
Verl,2327,03.01.
Versmold,1559,03.01.
Langenberg,693,04.01.
Rheda-Wiedenbrück,5863,04.01.
Rietberg,2900,04.01.
Schloß Holte-Stukenbrock,2317,04.01.
Steinhagen,1516,04.01.
Verl,2329,04.01.
Langenberg,698,05.01.
Rheda-Wiedenbrück,5894,05.01.
Rietberg,2934,05.01.
Schloß Holte-Stukenbrock,2342,05.01.
Steinhagen,1525,05.01.
Verl,2355,05.01.
Versmold,1581,05.01.
Langenberg,704,06.01.
Rheda-Wiedenbrück,5936,06.01.
Rietberg,2957,06.01.
Schloß Holte-Stukenbrock,2351,06.01.
Steinhagen,1532,06.01.
Verl,2370,06.01.
Versmold,1605,06.01.
Langenberg,715,07.01.
Rheda-Wiedenbrück,5976,07.01.
Rietberg,2983,07.01.
Schloß Holte-Stukenbrock,2365,07.01.
Steinhagen,1540,07.01.
Verl,2389,07.01.
Versmold,1625,07.01.
Langenberg,717,08.01.
Rheda-Wiedenbrück,6019,08.01.
Rietberg,3011,08.01.
