,"""summe_bestaetigt""",datum
Werther (Westf.),417,15.08.
Langenberg,391,16.08.
Rheda-Wiedenbrück,3856,16.08.
Rietberg,1739,16.08.
Schloß Holte-Stukenbrock,1255,16.08.
Steinhagen,736,16.08.
Verl,1441,16.08.
Versmold,879,16.08.
Werther (Westf.),417,16.08.
Langenberg,392,17.08.
Rheda-Wiedenbrück,3858,17.08.
Rietberg,1742,17.08.
Schloß Holte-Stukenbrock,1256,17.08.
Steinhagen,738,17.08.
Verl,1445,17.08.
Versmold,879,17.08.
Werther (Westf.),417,17.08.
Langenberg,392,18.08.
Rheda-Wiedenbrück,3867,18.08.
Rietberg,1752,18.08.
Schloß Holte-Stukenbrock,1266,18.08.
Steinhagen,743,18.08.
Verl,1458,18.08.
Versmold,883,18.08.
Werther (Westf.),420,18.08.
Langenberg,393,19.08.
Rheda-Wiedenbrück,3884,19.08.
Rietberg,1756,19.08.
Schloß Holte-Stukenbrock,1277,19.08.
Steinhagen,747,19.08.
Verl,1461,19.08.
Versmold,890,19.08.
Werther (Westf.),421,19.08.
Langenberg,393,20.08.
Rheda-Wiedenbrück,3904,20.08.
Rietberg,1757,20.08.
Schloß Holte-Stukenbrock,1288,20.08.
Steinhagen,755,20.08.
Verl,1463,20.08.
Versmold,892,20.08.
Werther (Westf.),425,20.08.
Langenberg,394,21.08.
Rheda-Wiedenbrück,3935,21.08.
Rietberg,1759,21.08.
Schloß Holte-Stukenbrock,1292,21.08.
Steinhagen,758,21.08.
Verl,1473,21.08.
Versmold,894,21.08.
Werther (Westf.),426,21.08.
Langenberg,396,22.08.
Rheda-Wiedenbrück,3942,22.08.
Rietberg,1761,22.08.
Schloß Holte-Stukenbrock,1299,22.08.
Steinhagen,764,22.08.
Verl,1477,22.08.
Versmold,898,22.08.
Werther (Westf.),428,22.08.
Langenberg,397,23.08.
Rheda-Wiedenbrück,3948,23.08.
Rietberg,1763,23.08.
Schloß Holte-Stukenbrock,1299,23.08.
Steinhagen,766,23.08.
Verl,1482,23.08.
Versmold,902,23.08.
Werther (Westf.),429,23.08.
Langenberg,398,24.08.
Rheda-Wiedenbrück,3953,24.08.
Rietberg,1772,24.08.
Schloß Holte-Stukenbrock,1308,24.08.
Steinhagen,767,24.08.
Verl,1482,24.08.
Versmold,903,24.08.
Werther (Westf.),429,24.08.
Langenberg,398,25.08.
Rheda-Wiedenbrück,3971,25.08.
Rietberg,1777,25.08.
Schloß Holte-Stukenbrock,1318,25.08.
Steinhagen,775,25.08.
Verl,1499,25.08.
Versmold,908,25.08.
Werther (Westf.),431,25.08.
Langenberg,406,26.08.
Rheda-Wiedenbrück,3999,26.08.
Rietberg,1786,26.08.
Schloß Holte-Stukenbrock,1332,26.08.
Steinhagen,779,26.08.
Verl,1505,26.08.
Versmold,914,26.08.
Werther (Westf.),432,26.08.
Langenberg,406,27.08.
Rheda-Wiedenbrück,4014,27.08.
Rietberg,1788,27.08.
Schloß Holte-Stukenbrock,1341,27.08.
Steinhagen,788,27.08.
Verl,1506,27.08.
Versmold,920,27.08.
Werther (Westf.),433,27.08.
Langenberg,407,28.08.
Rheda-Wiedenbrück,4037,28.08.
Rietberg,1801,28.08.
Schloß Holte-Stukenbrock,1352,28.08.
Steinhagen,791,28.08.
Verl,1507,28.08.
Versmold,923,28.08.
Werther (Westf.),433,28.08.
Langenberg,409,29.08.
Rheda-Wiedenbrück,4055,29.08.
Rietberg,1804,29.08.
Schloß Holte-Stukenbrock,1355,29.08.
Steinhagen,795,29.08.
Verl,1510,29.08.
Versmold,936,29.08.
Werther (Westf.),433,29.08.
Langenberg,409,30.08.
Rheda-Wiedenbrück,4056,30.08.
Rietberg,1804,30.08.
Schloß Holte-Stukenbrock,1356,30.08.
Steinhagen,795,30.08.
Verl,1511,30.08.
Versmold,939,30.08.
Werther (Westf.),433,30.08.
Langenberg,411,31.08.
Rheda-Wiedenbrück,4056,31.08.
Rietberg,1809,31.08.
Schloß Holte-Stukenbrock,1359,31.08.
Steinhagen,796,31.08.
Verl,1514,31.08.
Versmold,940,31.08.
Werther (Westf.),433,31.08.
Langenberg,413,01.09.
Rheda-Wiedenbrück,4065,01.09.
Rietberg,1812,01.09.
Schloß Holte-Stukenbrock,1366,01.09.
Steinhagen,803,01.09.
Verl,1522,01.09.
Versmold,940,01.09.
Werther (Westf.),436,01.09.
Langenberg,415,02.09.
Rheda-Wiedenbrück,4096,02.09.
Rietberg,1822,02.09.
Schloß Holte-Stukenbrock,1383,02.09.
Steinhagen,808,02.09.
Verl,1528,02.09.
Versmold,946,02.09.
Werther (Westf.),436,02.09.
