,"""summe_bestaetigt""",datum
Borgholzhausen,361,19.07.
Gütersloh,6058,19.07.
Halle (Westf.),808,19.07.
Harsewinkel,1508,19.07.
Herzebrock-Clarholz,883,19.07.
Kreis gesamt,20094,19.07.
Borgholzhausen,361,20.07.
Gütersloh,6058,20.07.
Halle (Westf.),808,20.07.
Harsewinkel,1508,20.07.
Herzebrock-Clarholz,883,20.07.
Kreis gesamt,20095,20.07.
Borgholzhausen,361,21.07.
Gütersloh,6060,21.07.
Halle (Westf.),810,21.07.
Harsewinkel,1508,21.07.
Herzebrock-Clarholz,883,21.07.
Kreis gesamt,20102,21.07.
Borgholzhausen,361,22.07.
Gütersloh,6066,22.07.
Halle (Westf.),812,22.07.
Harsewinkel,1508,22.07.
Herzebrock-Clarholz,882,22.07.
Kreis gesamt,20116,22.07.
Borgholzhausen,361,23.07.
Gütersloh,6073,23.07.
Halle (Westf.),812,23.07.
Harsewinkel,1508,23.07.
Herzebrock-Clarholz,884,23.07.
Kreis gesamt,20122,23.07.
Borgholzhausen,361,24.07.
Gütersloh,6076,24.07.
Halle (Westf.),812,24.07.
Harsewinkel,1508,24.07.
Herzebrock-Clarholz,884,24.07.
Kreis gesamt,20131,24.07.
Borgholzhausen,361,25.07.
Gütersloh,6077,25.07.
Halle (Westf.),812,25.07.
Harsewinkel,1508,25.07.
Herzebrock-Clarholz,886,25.07.
Kreis gesamt,20138,25.07.
Borgholzhausen,361,26.07.
Gütersloh,6079,26.07.
Halle (Westf.),813,26.07.
Harsewinkel,1508,26.07.
Herzebrock-Clarholz,886,26.07.
Kreis gesamt,20144,26.07.
Borgholzhausen,361,27.07.
Gütersloh,6081,27.07.
Halle (Westf.),813,27.07.
Harsewinkel,1508,27.07.
Herzebrock-Clarholz,886,27.07.
Kreis gesamt,20151,27.07.
Borgholzhausen,361,28.07.
Gütersloh,6090,28.07.
Halle (Westf.),815,28.07.
Harsewinkel,1510,28.07.
Herzebrock-Clarholz,886,28.07.
Kreis gesamt,20172,28.07.
Borgholzhausen,361,29.07.
Halle (Westf.),817,29.07.
Harsewinkel,1510,29.07.
Herzebrock-Clarholz,886,29.07.
Gütersloh,6095,29.07.
Kreis gesamt,20184,29.07.
Borgholzhausen,361,30.07.
Gütersloh,6105,30.07.
Halle (Westf.),818,30.07.
Harsewinkel,1516,30.07.
Herzebrock-Clarholz,886,30.07.
Kreis gesamt,20212,30.07.
Borgholzhausen,361,31.07.
Gütersloh,6117,31.07.
Halle (Westf.),818,31.07.
Harsewinkel,1517,31.07.
Herzebrock-Clarholz,887,31.07.
Kreis gesamt,20237,31.07.
Borgholzhausen,361,01.08.
Borgholzhausen,361,02.08.
Gütersloh,6130,01.08.
Gütersloh,6133,02.08.
Halle (Westf.),819,01.08.
Halle (Westf.),819,02.08.
Harsewinkel,1518,01.08.
Harsewinkel,1519,02.08.
Herzebrock-Clarholz,887,01.08.
Herzebrock-Clarholz,887,02.08.
Kreis gesamt,20255,01.08.
Kreis gesamt,20266,02.08.
Steinhagen,712,02.08.
Verl,1418,01.08.
Verl,1420,02.08.
Versmold,860,01.08.
Versmold,862,02.08.
Werther (Westf.),417,01.08.
Werther (Westf.),416,02.08.
Borgholzhausen,362,03.08.
Gütersloh,6134,03.08.
Halle (Westf.),819,03.08.
Harsewinkel,1520,03.08.
Herzebrock-Clarholz,886,03.08.
Kreis gesamt,20271,03.08.
Borgholzhausen,362,04.08.
Gütersloh,6148,04.08.
Halle (Westf.),820,04.08.
Harsewinkel,1521,04.08.
Herzebrock-Clarholz,888,04.08.
Kreis gesamt,20306,04.08.
Borgholzhausen,362,05.08.
Gütersloh,6155,05.08.
Halle (Westf.),821,05.08.
Harsewinkel,1522,05.08.
Herzebrock-Clarholz,890,05.08.
Kreis gesamt,20325,05.08.
Borgholzhausen,362,06.08.
Gütersloh,6171,06.08.
Halle (Westf.),823,06.08.
Harsewinkel,1525,06.08.
Herzebrock-Clarholz,890,06.08.
Kreis gesamt,20361,06.08.
Borgholzhausen,362,07.08.
Gütersloh,6182,07.08.
Halle (Westf.),821,07.08.
Harsewinkel,1527,07.08.
Herzebrock-Clarholz,892,07.08.
Kreis gesamt,20379,07.08.
Borgholzhausen,364,08.08.
Gütersloh,6192,08.08.
Halle (Westf.),824,08.08.
Harsewinkel,1527,08.08.
Herzebrock-Clarholz,892,08.08.
Kreis gesamt,20414,08.08.
Borgholzhausen,364,09.08.
Gütersloh,6195,09.08.
Halle (Westf.),824,09.08.
Harsewinkel,1529,09.08.
Herzebrock-Clarholz,893,09.08.
Kreis gesamt,20425,09.08.
Borgholzhausen,364,10.08.
Gütersloh,6195,10.08.
Halle (Westf.),827,10.08.
Harsewinkel,1529,10.08.
Herzebrock-Clarholz,894,10.08.
Kreis gesamt,20437,10.08.
Borgholzhausen,364,11.08.
Gütersloh,6206,11.08.
Halle (Westf.),827,11.08.
Harsewinkel,1529,11.08.
Herzebrock-Clarholz,899,11.08.
Kreis gesamt,20471,11.08.
Borgholzhausen,364,12.08.
Gütersloh,6215,12.08.
Halle (Westf.),827,12.08.
Harsewinkel,1534,12.08.
Herzebrock-Clarholz,899,12.08.
Kreis gesamt,20504,12.08.
Borgholzhausen,364,13.08.
Gütersloh,6245,13.08.
Halle (Westf.),829,13.08.
Harsewinkel,1538,13.08.
Herzebrock-Clarholz,905,13.08.
Kreis gesamt,20557,13.08.
Borgholzhausen,365,14.08.
Gütersloh,6261,14.08.
Halle (Westf.),829,14.08.
Harsewinkel,1539,14.08.
Herzebrock-Clarholz,905,14.08.
Kreis gesamt,20601,14.08.
Borgholzhausen,365,15.08.
Gütersloh,6266,15.08.
Halle (Westf.),830,15.08.
Harsewinkel,1539,15.08.
Herzebrock-Clarholz,907,15.08.
Kreis gesamt,20617,15.08.
Borgholzhausen,365,16.08.
Gütersloh,6272,16.08.
Halle (Westf.),831,16.08.
Harsewinkel,1540,16.08.
Herzebrock-Clarholz,907,16.08.
Kreis gesamt,20629,16.08.
Borgholzhausen,365,17.08.
Gütersloh,6284,17.08.
Halle (Westf.),834,17.08.
Harsewinkel,1542,17.08.
Herzebrock-Clarholz,908,17.08.
Kreis gesamt,20660,17.08.
Langenberg,383,19.07.
Rheda-Wiedenbrück,3788,19.07.
Rietberg,1708,19.07.
Schloß Holte-Stukenbrock,1229,19.07.
Steinhagen,703,19.07.
Verl,1399,19.07.
Versmold,855,19.07.
Werther (Westf.),411,19.07.
Langenberg,383,20.07.
Rheda-Wiedenbrück,3788,20.07.
Rietberg,1708,20.07.
Schloß Holte-Stukenbrock,1231,20.07.
Steinhagen,703,20.07.
Verl,1398,20.07.
Versmold,855,20.07.
Werther (Westf.),411,20.07.
Langenberg,383,21.07.
Rheda-Wiedenbrück,3788,21.07.
Rietberg,1709,21.07.
Schloß Holte-Stukenbrock,1231,21.07.
Steinhagen,703,21.07.
Verl,1400,21.07.
Versmold,855,21.07.
Werther (Westf.),411,21.07.
Langenberg,383,22.07.
Rheda-Wiedenbrück,3788,22.07.
Rietberg,1711,22.07.
Schloß Holte-Stukenbrock,1231,22.07.
Steinhagen,703,22.07.
Verl,1405,22.07.
Versmold,855,22.07.
Werther (Westf.),411,22.07.
