,"""summe_bestaetigt""",datum
Borgholzhausen,400,03.10.
Gütersloh,7081,03.10.
Halle (Westf.),911,03.10.
Harsewinkel,1777,03.10.
Herzebrock-Clarholz,980,03.10.
Kreis gesamt,23271,03.10.
Borgholzhausen,400,04.10.
Gütersloh,7081,04.10.
Halle (Westf.),912,04.10.
Harsewinkel,1777,04.10.
Herzebrock-Clarholz,982,04.10.
Kreis gesamt,23277,04.10.
Borgholzhausen,400,05.10.
Gütersloh,7083,05.10.
Halle (Westf.),913,05.10.
Harsewinkel,1777,05.10.
Herzebrock-Clarholz,983,05.10.
Kreis gesamt,23285,05.10.
Borgholzhausen,402,06.10.
Gütersloh,7105,06.10.
Halle (Westf.),919,06.10.
Harsewinkel,1784,06.10.
Herzebrock-Clarholz,983,06.10.
Kreis gesamt,23360,06.10.
Borgholzhausen,402,07.10.
Gütersloh,7112,07.10.
Halle (Westf.),920,07.10.
Harsewinkel,1799,07.10.
Herzebrock-Clarholz,983,07.10.
Kreis gesamt,23399,07.10.
Borgholzhausen,402,08.10.
Gütersloh,7128,08.10.
Halle (Westf.),922,08.10.
Harsewinkel,1809,08.10.
Herzebrock-Clarholz,985,08.10.
Kreis gesamt,23440,08.10.
Borgholzhausen,402,09.10.
Gütersloh,7135,09.10.
Halle (Westf.),924,09.10.
Harsewinkel,1823,09.10.
Herzebrock-Clarholz,985,09.10.
Kreis gesamt,23484,09.10.
Borgholzhausen,402,10.10.
Gütersloh,7143,10.10.
Halle (Westf.),930,10.10.
Harsewinkel,1841,10.10.
Herzebrock-Clarholz,985,10.10.
Kreis gesamt,23526,10.10.
Borgholzhausen,402,11.10.
Gütersloh,7149,11.10.
Halle (Westf.),929,11.10.
Harsewinkel,1843,11.10.
Herzebrock-Clarholz,985,11.10.
Kreis gesamt,23539,11.10.
Borgholzhausen,403,12.10.
Gütersloh,7158,12.10.
Halle (Westf.),929,12.10.
Harsewinkel,1846,12.10.
Herzebrock-Clarholz,986,12.10.
Kreis gesamt,23555,12.10.
Borgholzhausen,404,13.10.
Gütersloh,7165,13.10.
Halle (Westf.),935,13.10.
Harsewinkel,1858,13.10.
Herzebrock-Clarholz,986,13.10.
Kreis gesamt,23611,13.10.
Borgholzhausen,410,14.10.
Gütersloh,7188,14.10.
Halle (Westf.),940,14.10.
Harsewinkel,1866,14.10.
Herzebrock-Clarholz,987,14.10.
Kreis gesamt,23686,14.10.
Borgholzhausen,406,15.10.
Gütersloh,7195,15.10.
Halle (Westf.),941,15.10.
Harsewinkel,1874,15.10.
Herzebrock-Clarholz,989,15.10.
Kreis gesamt,23713,15.10.
Borgholzhausen,408,16.10.
Gütersloh,7211,16.10.
Halle (Westf.),946,16.10.
Harsewinkel,1885,16.10.
Herzebrock-Clarholz,989,16.10.
Kreis gesamt,23765,16.10.
Borgholzhausen,408,17.10.
Gütersloh,7222,17.10.
Halle (Westf.),946,17.10.
Harsewinkel,1891,17.10.
Herzebrock-Clarholz,994,17.10.
Kreis gesamt,23796,17.10.
Borgholzhausen,408,18.10.
Gütersloh,7228,18.10.
Halle (Westf.),947,18.10.
Harsewinkel,1894,18.10.
Herzebrock-Clarholz,994,18.10.
Kreis gesamt,23810,18.10.
Borgholzhausen,408,19.10.
Gütersloh,7228,19.10.
Halle (Westf.),949,19.10.
Harsewinkel,1894,19.10.
Herzebrock-Clarholz,995,19.10.
Kreis gesamt,23813,19.10.
Borgholzhausen,408,20.10.
Gütersloh,7243,20.10.
Halle (Westf.),951,20.10.
Harsewinkel,1906,20.10.
Herzebrock-Clarholz,999,20.10.
Kreis gesamt,23897,20.10.
Borgholzhausen,408,21.10.
Gütersloh,7260,21.10.
Halle (Westf.),956,21.10.
Harsewinkel,1911,21.10.
Herzebrock-Clarholz,999,21.10.
Kreis gesamt,23958,21.10.
Borgholzhausen,409,22.10.
Gütersloh,7270,22.10.
Halle (Westf.),958,22.10.
Harsewinkel,1917,22.10.
Herzebrock-Clarholz,1011,22.10.
Kreis gesamt,24013,22.10.
Borgholzhausen,409,23.10.
Gütersloh,7286,23.10.
Halle (Westf.),959,23.10.
Harsewinkel,1929,23.10.
Herzebrock-Clarholz,1015,23.10.
Kreis gesamt,24077,23.10.
Borgholzhausen,410,24.10.
Gütersloh,7299,24.10.
Halle (Westf.),960,24.10.
Harsewinkel,1938,24.10.
Herzebrock-Clarholz,1018,24.10.
Kreis gesamt,24122,24.10.
Borgholzhausen,410,25.10.
Gütersloh,7304,25.10.
Halle (Westf.),960,25.10.
Harsewinkel,1939,25.10.
Herzebrock-Clarholz,1018,25.10.
Kreis gesamt,24133,25.10.
Borgholzhausen,409,26.10.
Gütersloh,7313,26.10.
Halle (Westf.),961,26.10.
Harsewinkel,1938,26.10.
Herzebrock-Clarholz,1019,26.10.
Kreis gesamt,24150,26.10.
Borgholzhausen,409,27.10.
Gütersloh,7334,27.10.
Halle (Westf.),961,27.10.
Harsewinkel,1945,27.10.
Herzebrock-Clarholz,1021,27.10.
Kreis gesamt,24220,27.10.
Borgholzhausen,414,28.10.
Gütersloh,7384,28.10.
Halle (Westf.),964,28.10.
Harsewinkel,1966,28.10.
Herzebrock-Clarholz,1022,28.10.
Kreis gesamt,24366,28.10.
Borgholzhausen,417,29.10.
Gütersloh,7416,29.10.
Halle (Westf.),970,29.10.
Harsewinkel,1974,29.10.
Herzebrock-Clarholz,1024,29.10.
Kreis gesamt,24450,29.10.
Borgholzhausen,420,30.10.
Gütersloh,7449,30.10.
Halle (Westf.),973,30.10.
Harsewinkel,1981,30.10.
Herzebrock-Clarholz,1026,30.10.
Kreis gesamt,24536,30.10.
Borgholzhausen,422,31.10.
Gütersloh,7479,31.10.
Halle (Westf.),975,31.10.
Harsewinkel,1991,31.10.
Herzebrock-Clarholz,1031,31.10.
Kreis gesamt,24635,31.10.
Borgholzhausen,422,01.11.
Gütersloh,7488,01.11.
Halle (Westf.),975,01.11.
Harsewinkel,1993,01.11.
Herzebrock-Clarholz,1032,01.11.
Kreis gesamt,24661,01.11.
Langenberg,450,03.10.
Rheda-Wiedenbrück,4265,03.10.
Rietberg,1943,03.10.
Schloß Holte-Stukenbrock,1506,03.10.
Steinhagen,858,03.10.
Verl,1619,03.10.
Versmold,1018,03.10.
Werther (Westf.),463,03.10.
Langenberg,450,04.10.
Rheda-Wiedenbrück,4266,04.10.
Rietberg,1943,04.10.
Schloß Holte-Stukenbrock,1506,04.10.
Steinhagen,858,04.10.
Verl,1620,04.10.
Versmold,1019,04.10.
Werther (Westf.),463,04.10.
Langenberg,450,05.10.
