,"""summe_bestaetigt""",datum
Borgholzhausen,352,12.05.
Gütersloh,5659,12.05.
Halle (Westf.),765,12.05.
Harsewinkel,1395,12.05.
Herzebrock-Clarholz,839,12.05.
Kreis gesamt,18737,12.05.
Borgholzhausen,351,13.05.
Gütersloh,5689,13.05.
Halle (Westf.),769,13.05.
Harsewinkel,1410,13.05.
Herzebrock-Clarholz,840,13.05.
Kreis gesamt,18840,13.05.
Borgholzhausen,352,14.05.
Gütersloh,5710,14.05.
Halle (Westf.),771,14.05.
Harsewinkel,1414,14.05.
Herzebrock-Clarholz,843,14.05.
Kreis gesamt,18914,14.05.
Borgholzhausen,352,15.05.
Gütersloh,5727,15.05.
Halle (Westf.),774,15.05.
Harsewinkel,1419,15.05.
Herzebrock-Clarholz,844,15.05.
Kreis gesamt,18964,15.05.
Borgholzhausen,352,16.05.
Gütersloh,5746,16.05.
Halle (Westf.),775,16.05.
Harsewinkel,1425,16.05.
Herzebrock-Clarholz,848,16.05.
Kreis gesamt,19021,16.05.
Borgholzhausen,352,17.05.
Gütersloh,5754,17.05.
Halle (Westf.),775,17.05.
Harsewinkel,1425,17.05.
Herzebrock-Clarholz,850,17.05.
Kreis gesamt,19042,17.05.
Borgholzhausen,352,18.05.
Gütersloh,5763,18.05.
Halle (Westf.),777,18.05.
Harsewinkel,1427,18.05.
Herzebrock-Clarholz,850,18.05.
Kreis gesamt,19060,18.05.
Borgholzhausen,352,19.05.
Gütersloh,5803,19.05.
Halle (Westf.),784,19.05.
Harsewinkel,1437,19.05.
Herzebrock-Clarholz,853,19.05.
Kreis gesamt,19175,19.05.
Borgholzhausen,353,20.05.
Gütersloh,5824,20.05.
Halle (Westf.),790,20.05.
Harsewinkel,1439,20.05.
Herzebrock-Clarholz,855,20.05.
Kreis gesamt,19246,20.05.
Borgholzhausen,353,21.05.
Gütersloh,5849,21.05.
Halle (Westf.),793,21.05.
Harsewinkel,1444,21.05.
Herzebrock-Clarholz,856,21.05.
Kreis gesamt,19304,21.05.
Borgholzhausen,353,22.05.
Gütersloh,5861,22.05.
Halle (Westf.),793,22.05.
Harsewinkel,1445,22.05.
Herzebrock-Clarholz,858,22.05.
Langenberg,369,12.05.
Rheda-Wiedenbrück,3394,12.05.
Rietberg,1584,12.05.
Schloß Holte-Stukenbrock,1165,12.05.
Steinhagen,670,12.05.
Verl,1344,12.05.
Versmold,823,12.05.
Werther (Westf.),378,12.05.
Langenberg,370,13.05.
Rheda-Wiedenbrück,3416,13.05.
Rietberg,1591,13.05.
Schloß Holte-Stukenbrock,1170,13.05.
Steinhagen,674,13.05.
Verl,1348,13.05.
Versmold,830,13.05.
Werther (Westf.),382,13.05.
Langenberg,372,14.05.
Rheda-Wiedenbrück,3439,14.05.
Rietberg,1594,14.05.
Schloß Holte-Stukenbrock,1171,14.05.
Steinhagen,676,14.05.
Verl,1355,14.05.
Versmold,832,14.05.
Werther (Westf.),385,14.05.
Langenberg,374,15.05.
Rheda-Wiedenbrück,3449,15.05.
Rietberg,1597,15.05.
Schloß Holte-Stukenbrock,1173,15.05.
Steinhagen,676,15.05.
Verl,1361,15.05.
Versmold,832,15.05.
Werther (Westf.),386,15.05.
Langenberg,374,16.05.
Rheda-Wiedenbrück,3461,16.05.
Rietberg,1599,16.05.
Schloß Holte-Stukenbrock,1175,16.05.
Steinhagen,677,16.05.
Verl,1362,16.05.
Versmold,835,16.05.
Werther (Westf.),392,16.05.
Langenberg,375,17.05.
Rheda-Wiedenbrück,3467,17.05.
Rietberg,1599,17.05.
Schloß Holte-Stukenbrock,1176,17.05.
Steinhagen,677,17.05.
Verl,1363,17.05.
Versmold,837,17.05.
Werther (Westf.),392,17.05.
Langenberg,375,18.05.
Rheda-Wiedenbrück,3468,18.05.
Rietberg,1599,18.05.
Schloß Holte-Stukenbrock,1178,18.05.
Steinhagen,678,18.05.
Verl,1364,18.05.
Versmold,837,18.05.
Werther (Westf.),392,18.05.
Langenberg,377,19.05.
Rheda-Wiedenbrück,3495,19.05.
Rietberg,1606,19.05.
Schloß Holte-Stukenbrock,1183,19.05.
Steinhagen,687,19.05.
Verl,1367,19.05.
Versmold,838,19.05.
Werther (Westf.),393,19.05.
Langenberg,377,20.05.
Rheda-Wiedenbrück,3518,20.05.
Rietberg,1610,20.05.
Schloß Holte-Stukenbrock,1188,20.05.
Steinhagen,690,20.05.
Verl,1371,20.05.
Versmold,838,20.05.
Werther (Westf.),393,20.05.
Langenberg,378,21.05.
Rheda-Wiedenbrück,3531,21.05.
Rietberg,1611,21.05.
Schloß Holte-Stukenbrock,1194,21.05.
Steinhagen,691,21.05.
Verl,1372,21.05.
Versmold,839,21.05.
Werther (Westf.),393,21.05.
Kreis gesamt,19339,22.05.
Langenberg,379,22.05.
Rheda-Wiedenbrück,3541,22.05.
Rietberg,1615,22.05.
Schloß Holte-Stukenbrock,1196,22.05.
