,"""summe_bestaetigt""",datum
Gütersloh,9653,16.12.
Halle (Westf.),1356,16.12.
Harsewinkel,2862,16.12.
Herzebrock-Clarholz,1501,16.12.
Borgholzhausen,491,25.11.
Gütersloh,8506,25.11.
Halle (Westf.),1172,25.11.
Harsewinkel,2414,25.11.
Herzebrock-Clarholz,1229,25.11.
Kreis gesamt,28297,25.11.
Borgholzhausen,495,26.11.
Gütersloh,8592,26.11.
Halle (Westf.),1183,26.11.
Harsewinkel,2446,26.11.
Kreis gesamt,28600,26.11.
Kreis gesamt,28846,27.11.
Borgholzhausen,507,28.11.
Gütersloh,8718,28.11.
Harsewinkel,2484,28.11.
Kreis gesamt,32568,16.12.
Herzebrock-Clarholz,1241,26.11.
Borgholzhausen,502,27.11.
Gütersloh,8675,27.11.
Halle (Westf.),1193,27.11.
Harsewinkel,2459,27.11.
Herzebrock-Clarholz,1258,27.11.
Halle (Westf.),1195,28.11.
Herzebrock-Clarholz,1267,28.11.
Kreis gesamt,28984,28.11.
Borgholzhausen,509,29.11.
Gütersloh,8730,29.11.
Halle (Westf.),1197,29.11.
Harsewinkel,2490,29.11.
Herzebrock-Clarholz,1273,29.11.
Kreis gesamt,29064,29.11.
Borgholzhausen,509,30.11.
Gütersloh,8760,30.11.
Halle (Westf.),1199,30.11.
Harsewinkel,2502,30.11.
Herzebrock-Clarholz,1280,30.11.
Kreis gesamt,29182,30.11.
Borgholzhausen,516,01.12.
Gütersloh,8844,01.12.
Halle (Westf.),1213,01.12.
Harsewinkel,2531,01.12.
Herzebrock-Clarholz,1286,01.12.
Kreis gesamt,29444,01.12.
Borgholzhausen,519,02.12.
Gütersloh,8922,02.12.
Halle (Westf.),1222,02.12.
Harsewinkel,2558,02.12.
Herzebrock-Clarholz,1317,02.12.
Kreis gesamt,29730,02.12.
Borgholzhausen,527,03.12.
Gütersloh,8995,03.12.
Halle (Westf.),1236,03.12.
Harsewinkel,2577,03.12.
Herzebrock-Clarholz,1339,03.12.
Kreis gesamt,30019,03.12.
Borgholzhausen,529,04.12.
Gütersloh,9062,04.12.
Halle (Westf.),1245,04.12.
Harsewinkel,2603,04.12.
Herzebrock-Clarholz,1349,04.12.
Kreis gesamt,30263,04.12.
Borgholzhausen,534,05.12.
Gütersloh,9108,05.12.
Halle (Westf.),1251,05.12.
Harsewinkel,2615,05.12.
Herzebrock-Clarholz,1358,05.12.
Kreis gesamt,30425,05.12.
Borgholzhausen,535,06.12.
Gütersloh,9145,06.12.
Halle (Westf.),1254,06.12.
Harsewinkel,2618,06.12.
Herzebrock-Clarholz,1368,06.12.
Kreis gesamt,30544,06.12.
Borgholzhausen,537,07.12.
Gütersloh,9165,07.12.
Halle (Westf.),1256,07.12.
Harsewinkel,2620,07.12.
Herzebrock-Clarholz,1371,07.12.
Kreis gesamt,30606,07.12.
Borgholzhausen,543,08.12.
Gütersloh,9221,08.12.
Halle (Westf.),1269,08.12.
Harsewinkel,2640,08.12.
Herzebrock-Clarholz,1390,08.12.
Kreis gesamt,30837,08.12.
Borgholzhausen,551,09.12.
Gütersloh,9311,09.12.
Halle (Westf.),1283,09.12.
Harsewinkel,2662,09.12.
Herzebrock-Clarholz,1404,09.12.
Kreis gesamt,31155,09.12.
Borgholzhausen,555,10.12.
Gütersloh,9362,10.12.
Halle (Westf.),1292,10.12.
Harsewinkel,2694,10.12.
Herzebrock-Clarholz,1416,10.12.
Kreis gesamt,31385,10.12.
Borgholzhausen,560,11.12.
Gütersloh,9433,11.12.
Halle (Westf.),1308,11.12.
Harsewinkel,2723,11.12.
Herzebrock-Clarholz,1438,11.12.
Kreis gesamt,31672,11.12.
Borgholzhausen,562,12.12.
Gütersloh,9461,12.12.
Halle (Westf.),1317,12.12.
Harsewinkel,2732,12.12.
Herzebrock-Clarholz,1450,12.12.
Kreis gesamt,31802,12.12.
Borgholzhausen,562,13.12.
Gütersloh,9489,13.12.
Halle (Westf.),1328,13.12.
Harsewinkel,2764,13.12.
Herzebrock-Clarholz,1458,13.12.
Kreis gesamt,31925,13.12.
Borgholzhausen,563,14.12.
Gütersloh,9525,14.12.
Halle (Westf.),1331,14.12.
Harsewinkel,2778,14.12.
Herzebrock-Clarholz,1468,14.12.
Kreis gesamt,32050,14.12.
Borgholzhausen,570,15.12.
Gütersloh,9571,15.12.
Halle (Westf.),1344,15.12.
Harsewinkel,2815,15.12.
