Gemeinde,Neuzugänge letzten 7 Tage
Neukirch,20
Oßling,21
Spreetal,16
"Bernsdorf, Stadt (Landkreis Bautzen)",40
Großnaundorf,6
Neukirch/Lausitz,30
Rammenau,8
Lichtenberg (Landkreis Bautzen),9
Schmölln-Putzkau,16
Schwepnitz,13
"Bischofswerda, Stadt",52
"Großröhrsdorf, Stadt",45
Malschwitz,21
Kubschütz,11
Laußnitz,7
Neschwitz,9
Steinigtwolmsdorf,10
"Pulsnitz, Stadt",25
Doberschau-Gaußig,14
"Bautzen, Stadt",125
Lohsa,17
Haselbachtal,13
Radibor,10
"Lauta, Stadt",25
"Hoyerswerda, Stadt",94
"Wilthen, Stadt",14
"Schirgiswalde-Kirschau, Stadt",18
Ralbitz-Rosenthal,5
Arnsdorf,14
"Kamenz, Stadt",47
Göda,8
Elsterheide,9
Wachau,11
Puschwitz,2
"Wittichenau, Stadt",14
Panschwitz-Kuckau,5
Großharthau,7
Steina,4
Obergurig,5
Ottendorf-Okrilla,23
Demitz-Thumitz,6
"Radeberg, Stadt",41
Frankenthal,2
Großdubrau,9
Cunewalde,9
Crostwitz,2
Burkau,5
"Elstra, Stadt",5
"Königsbrück, Stadt",8
"Weißenberg, Stadt",5
Großpostwitz/O.L.,4
Königswartha,4
Sohland a. d. Spree,7
Hochkirch,2
Räckelwitz,1
Ohorn,2
Nebelschütz,0
Zschorlau,26
Bockau,11
Tannenberg,5
Gelenau/Erzgeb.,19
Hohndorf,15
"Schlettau, Stadt",10
"Zschopau, Stadt",37
Thermalbad Wiesenbad,13
"Pockau-Lengefeld, Stadt",30
Burkhardtsdorf,24
Großrückerswalde,13
Neukirchen/Erzgeb.,26
Gornsdorf,7
Amtsberg,13
"Thalheim/Erzgeb., Stadt",21
"Seiffen/Erzgeb., Kurort",7
Königswalde,7
Niederdorf,4
"Lößnitz, Stadt",24
"Zwönitz, Stadt",32
"Lugau/Erzgeb., Stadt",21
Bärenstein,6
Stützengrün,8
"Annaberg-Buchholz, Stadt",50
"Stollberg/Erzgeb., Stadt",28
"Aue-Bad Schlema, Stadt",49
Gornau/Erzgeb.,9
Grünhainichen,8
"Oelsnitz/Erzgeb., Stadt",26
"Olbernhau, Stadt",24
Sehmatal,14
"Lauter-Bernsbach, Stadt",19
Jahnsdorf/Erzgeb.,12
Drebach,11
"Schwarzenberg/Erzgeb., Stadt",35
"Elterlein, Stadt",6
Deutschneudorf,2
"Wolkenstein, Stadt",8
Börnichen/Erzgeb.,2
Schönheide,8
"Eibenstock, Stadt",12
Raschau-Markersbach,8
"Schneeberg, Stadt",22
"Thum, Stadt",8
"Scheibenberg, Stadt",3
Mildenau,5
Großolbersdorf,4
"Grünhain-Beierfeld, Stadt",8
"Marienberg, Stadt",22
"Jöhstadt, Stadt",3
Breitenbrunn/Erzgeb.,6
Niederwürschnitz,3
"Ehrenfriedersdorf, Stadt",5
"Johanngeorgenstadt, Stadt",4
"Oberwiesenthal, Kurort, Stadt",2
Auerbach (Erzgebirgskreis),2
"Geyer, Stadt",2
Crottendorf,0
Heidersdorf,0
Trebendorf,8
Leutersdorf,24
Königshain,8
Rietschen,16
"Herrnhut, Stadt",34
"Seifhennersdorf, Stadt",21
Gablenz,9
Beiersdorf,6
Oderwitz,26
Krauschwitz i.d. O.L.,17
Vierkirchen,7
Dürrhennersdorf,4
Großschönau,22
Hainewalde,6
Neißeaue,6
"Bernstadt a. d. Eigen, Stadt",11
Schöpstal,8
Waldhufen,8
Hähnichen,4
"Zittau, Stadt",78
"Rothenburg/O.L., Stadt",14
Mücka,3
Oppach,7
Oybin,4
"Weißwasser/O.L., Stadt",46
Kodersdorf,7
"Görlitz, Stadt",154
Kottmar,19
"Löbau, Stadt",38
Olbersdorf,12
Rosenbach,4
Mittelherwigsdorf,9
"Bad Muskau, Stadt",9
Markersdorf,9
Lawalde,4
Hohendubrau,4
Schleife,5
Bertsdorf-Hörnitz,4
"Ebersbach-Neugersdorf, Stadt",22
Boxberg/O.L.,8
"Ostritz, Stadt",4
"Reichenbach/O.L., Stadt",8
Weißkeißel,2
"Niesky, Stadt",13
Horka,2
Kreba-Neudorf,1
Groß Düben,1
"Neusalza-Spremberg, Stadt",3
Schönbach,1
Quitzdorf am See,1
"Jonsdorf, Kurort",1
Großschweidnitz,0
Schönau-Berzdorf a. d. Eigen,0
Bennewitz,25
Großpösna,27
Thallwitz,17
Belgershain,15
Otterwisch,6
"Kitzscher, Stadt",22
"Borna, Stadt",80
Lossatal,25
"Pegau, Stadt",27
"Naunhof, Stadt",33
"Wurzen, Stadt",61
"Trebsen/Mulde, Stadt",13
"Bad Lausick, Stadt",27
"Brandis, Stadt",31
"Frohburg, Stadt",39
Elstertrebnitz,4
Machern,20
"Colditz, Stadt",24
"Markkleeberg, Stadt",69
"Geithain, Stadt",19
"Markranstädt, Stadt",43
"Zwenkau, Stadt",24
"Groitzsch, Stadt",19
"Regis-Breitingen, Stadt",9
Parthenstein,8
"Grimma, Stadt",63
"Böhlen, Stadt",14
Neukieritzsch,14
Borsdorf,16
"Rötha, Stadt",10
Niederau,39
Käbschütztal,24
"Meißen, Stadt",168
Weinböhla,59
"Lommatzsch, Stadt",27
"Gröditz, Stadt",38
Diera-Zehren,17
Moritzburg,42
"Radebeul, Stadt",149
"Coswig, Stadt",85
Zeithain,21
Klipphausen,39
"Nossen, Stadt",38
"Riesa, Stadt",104
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,15
Ebersbach (Landkreis Meißen),15
"Strehla, Stadt",12
"Radeburg, Stadt",23
"Großenhain, Stadt",52
Stauchitz,8
Verwaltungsgemeinschaft Nünchritz/Glaubitz,16
Verwaltungsgemeinschaft Röderaue/Wülknitz,9
Priestewitz,5
Hirschstein,3
Thiendorf,5
Taura,20
Striegistal,36
Zettlitz,5
Neuhausen/Erzgeb.,18
Königsfeld,9
Mulda/Sa.,16
Weißenborn/Erzgeb.,16
Reinsberg,17
Großhartmannsdorf,14
Dorfchemnitz,8
"Sayda, Stadt",9
Halsbrücke,25
Leubsdorf,16
Eppendorf,19
"Großschirma, Stadt",23
"Leisnig, Stadt",34
"Waldheim, Stadt",37
"Brand-Erbisdorf, Stadt",37
Rechenberg-Bienenmühle,7
Altmittweida,7
"Frankenberg/Sa., Stadt",50
"Geringswalde, Stadt",15
Bobritzsch-Hilbersdorf,18
Ostrau,11
Seelitz,5
"Penig, Stadt",25
"Döbeln, Stadt",67
Mühlau,6
"Hartha, Stadt",19
"Freiberg, Stadt, Universitätsstadt",105
Rossau,9
"Hainichen, Stadt",21
Oberschöna,8
"Mittweida, Stadt, Hochschulstadt",33
"Rochlitz, Stadt",13
Zschaitz-Ottewig,3
Lichtenberg/Erzgeb.,6
"Lunzenau, Stadt",9
"Flöha, Stadt",23
"Oederan, Stadt",16
Lichtenau,14
"Frauenstein, Stadt",5
"Burgstädt, Stadt",19
"Roßwein, Stadt",12
Erlau,5
"Augustusburg, Stadt",6
Königshain-Wiederau,3
Claußnitz,3
Kriebstein,2
Niederwiesa,4
Großweitzschen,2
Hartmannsdorf (Landkreis Mittelsachsen),3
Wechselburg,1
Liebschützberg,20
Krostitz,24
"Bad Düben, Stadt",43
"Eilenburg, Stadt",81
Zschepplin,12
Laußig,15
Rackwitz,22
"Dahlen, Stadt",17
Wiedemar,21
"Torgau, Stadt",77
"Belgern-Schildau, Stadt",29
Arzberg,7
Beilrode,15
Wermsdorf,19
"Mügeln, Stadt",21
Elsnig,5
Jesewitz,11
Doberschütz,14
"Delitzsch, Stadt",84
Dreiheide,7
"Taucha, Stadt",48
"Dommitzsch, Stadt",7
"Schkeuditz, Stadt",52
Löbnitz,5
"Oschatz, Stadt",32
Trossin,2
Naundorf,3
Cavertitz,3
Schönwölkau,3
Mockrehna,4
Müglitztal,22
Hermsdorf/Erzgeb.,8
Hartmannsdorf-Reichenau,9
Reinhardtsdorf-Schöna,8
Gohrisch,11
"Rathen, Kurort",2
"Hohnstein, Stadt",19
Dürrröhrsdorf-Dittersbach,24
Bahretal,12
Dohma,11
"Neustadt in Sachsen, Stadt",64
"Stadt Wehlen, Stadt",8
"Sebnitz, Stadt",45
"Wilsdruff, Stadt",69
"Stolpen, Stadt",26
"Freital, Stadt",179
"Rabenau, Stadt",20
"Heidenau, Stadt",75
"Bad Gottleuba-Berggießhübel, Stadt",25
"Glashütte, Stadt",30
"Dohna, Stadt",27
"Altenberg, Stadt",33
Struppen,10
"Pirna, Stadt",143
"Königstein/Sächs. Schw., Stadt",7
Klingenberg,22
Bannewitz,35
Kreischa,13
"Dippoldiswalde, Stadt",40
"Bad Schandau, Stadt",9
Rosenthal-Bielatal,4
"Tharandt, Stadt",13
Lohmen,7
Rathmannsdorf,2
"Liebstadt, Stadt",2
Dorfhain,1
Rosenbach/Vogtl.,32
Neustadt/Vogtl.,6
Pöhl,14
"Markneukirchen, Stadt",41
"Schöneck/Vogtl., Stadt",17
Tirpersdorf,7
"Klingenthal, Stadt",36
Bösenbrunn,5
"Oelsnitz/Vogtl., Stadt",44
"Adorf/Vogtl., Stadt",21
"Lengenfeld, Stadt",30
"Rodewisch, Stadt",24
Steinberg,10
"Netzschkau, Stadt",14
"Falkenstein/Vogtl., Stadt",26
"Auerbach/Vogtl., Stadt",56
Grünbach,5
"Treuen, Stadt",23
"Elsterberg, Stadt",11
Limbach,4
"Plauen, Stadt",180
"Bad Elster, Stadt",10
Werda,4
Eichigt,3
Mühlental,3
Neumark,7
"Reichenbach im Vogtland, Stadt",42
Bergen,2
Heinsdorfergrund,4
Theuma,2
Weischlitz,11
Muldenhammer,5
Ellefeld,4
Neuensalz,3
Bad Brambach,2
"Pausa-Mühltroff, Stadt",5
Triebel/Vogtl.,1
Oberwiera,13
"Hartenstein, Stadt",55
Remse,13
St. Egidien,19
Niederfrohna,13
Hartmannsdorf b. Kirchberg,7
Gersdorf,20
"Oberlungwitz, Stadt",30
Langenweißbach,12
Lichtentanne,30
Dennheritz,6
"Waldenburg, Stadt",18
"Werdau, Stadt",87
Callenberg,20
"Limbach-Oberfrohna, Stadt",95
"Wildenfels, Stadt",14
"Wilkau-Haßlau, Stadt",37
"Hohenstein-Ernstthal, Stadt",55
Reinsdorf,27
"Crimmitschau, Stadt",57
Neukirchen/Pleiße,12
"Zwickau, Stadt",256
"Kirchberg, Stadt",23
Langenbernsdorf,10
"Lichtenstein/Sa., Stadt",31
"Glauchau, Stadt",61
Bernsdorf (Landkreis Zwickau),6
