Gemeinde,Neuzugänge letzten 7 Tage
Großharthau,15
Großnaundorf,4
Ohorn,9
Haselbachtal,14
"Weißenberg, Stadt",8
Wachau,11
Königswartha,8
"Wittichenau, Stadt",13
Hochkirch,4
"Radeberg, Stadt",31
Göda,5
Burkau,4
Arnsdorf,7
Neukirch,2
Ralbitz-Rosenthal,2
"Elstra, Stadt",3
"Königsbrück, Stadt",5
Spreetal,2
Frankenthal,1
Laußnitz,2
"Pulsnitz, Stadt",8
"Hoyerswerda, Stadt",33
Schmölln-Putzkau,3
Obergurig,2
"Großröhrsdorf, Stadt",9
"Bernsdorf,  Stadt (Landkreis Bautzen)",6
"Kamenz, Stadt",15
Räckelwitz,1
Neschwitz,2
"Bischofswerda, Stadt",9
Demitz-Thumitz,2
"Lauta, Stadt",6
Steinigtwolmsdorf,2
Großdubrau,3
Ottendorf-Okrilla,7
Steina,1
Elsterheide,2
Oßling,1
"Bautzen, Stadt",16
Neukirch/Lausitz,2
"Wilthen, Stadt",2
Kubschütz,1
Großpostwitz/O.L.,1
Lohsa,1
"Schirgiswalde-Kirschau, Stadt",1
Sohland a. d. Spree,1
Crostwitz,0
Cunewalde,0
Doberschau-Gaußig,0
Lichtenberg (Landkreis Bautzen),0
Malschwitz,0
Nebelschütz,0
Panschwitz-Kuckau,0
Puschwitz,0
Radibor,0
Rammenau,0
Schwepnitz,0
Heidersdorf,6
Tannenberg,5
"Olbernhau, Stadt",47
Deutschneudorf,4
"Scheibenberg, Stadt",7
Bärenstein,7
Zschorlau,16
"Seiffen/Erzgeb., Kurort",5
"Jöhstadt, Stadt",6
"Eibenstock, Stadt",15
Gornau/Erzgeb.,7
Schönheide,8
"Elterlein, Stadt",5
Drebach,8
Thermalbad Wiesenbad,5
"Johanngeorgenstadt, Stadt",6
"Annaberg-Buchholz, Stadt",29
"Oberwiesenthal, Kurort, Stadt",3
"Stollberg/Erzgeb., Stadt",16
"Thum, Stadt",7
"Pockau-Lengefeld, Stadt",10
"Zschopau, Stadt",12
"Ehrenfriedersdorf, Stadt",6
"Oelsnitz/Erzgeb., Stadt",14
Stützengrün,4
Großrückerswalde,4
Mildenau,4
Hohndorf,4
Börnichen/Erzgeb.,1
Breitenbrunn/Erzgeb.,5
Königswalde,2
"Grünhain-Beierfeld, Stadt",5
"Schlettau, Stadt",2
"Thalheim/Erzgeb., Stadt",5
Auerbach (Erzgebirgskreis),2
Raschau-Markersbach,4
Sehmatal,5
"Marienberg, Stadt",13
Jahnsdorf/Erzgeb.,4
"Schneeberg, Stadt",10
"Aue-Bad Schlema, Stadt",12
"Lauter-Bernsbach, Stadt",5
"Wolkenstein, Stadt",2
"Lugau/Erzgeb., Stadt",4
Crottendorf,2
Burkhardtsdorf,3
Gelenau/Erzgeb.,2
Bockau,1
Großolbersdorf,1
"Zwönitz, Stadt",4
Grünhainichen,1
"Geyer, Stadt",1
"Schwarzenberg/Erzgeb., Stadt",4
"Lößnitz, Stadt",1
Amtsberg,0
Gornsdorf,0
Neukirchen/Erzgeb.,0
Niederdorf,0
Niederwürschnitz,0
Thallwitz,8
Bennewitz,9
"Kitzscher, Stadt",9
"Trebsen/Mulde, Stadt",6
Elstertrebnitz,2
Lossatal,9
"Pegau, Stadt",8
"Wurzen, Stadt",20
"Markranstädt, Stadt",17
"Geithain, Stadt",6
"Colditz, Stadt",7
"Naunhof, Stadt",7
"Groitzsch, Stadt",6
"Markkleeberg, Stadt",15
Neukieritzsch,4
"Borna, Stadt",11
"Grimma, Stadt",14
Borsdorf,4
"Frohburg, Stadt",6
"Böhlen, Stadt",3
Machern,3
"Bad Lausick, Stadt",3
Großpösna,2
"Rötha, Stadt",2
Belgershain,1
"Regis-Breitingen, Stadt",1
"Brandis, Stadt",2
"Zwenkau, Stadt",1
Otterwisch,0
Parthenstein,0
Thallwitz,8
Bennewitz,9
"Kitzscher, Stadt",9
"Trebsen/Mulde, Stadt",6
Elstertrebnitz,2
Lossatal,9
"Pegau, Stadt",8
"Wurzen, Stadt",20
"Markranstädt, Stadt",17
"Geithain, Stadt",6
"Colditz, Stadt",7
"Naunhof, Stadt",7
"Groitzsch, Stadt",6
"Markkleeberg, Stadt",15
Neukieritzsch,4
