Gemeinde,Neuzugänge letzten 7 Tage
Demitz-Thumitz,37
Neukirch,15
Burkau,17
Frankenthal,5
Schmölln-Putzkau,16
Hochkirch,12
Rammenau,7
Großdubrau,21
Steina,8
Arnsdorf,23
Malschwitz,20
Steinigtwolmsdorf,12
Großnaundorf,4
"Schirgiswalde-Kirschau, Stadt",24
"Königsbrück, Stadt",17
Sohland a. d. Spree,25
Ottendorf-Okrilla,37
Räckelwitz,4
"Bautzen, Stadt",133
Großpostwitz/O.L.,9
Kubschütz,8
"Weißenberg, Stadt",9
Ohorn,7
Laußnitz,5
"Wilthen, Stadt",13
"Bischofswerda, Stadt",28
"Radeberg, Stadt",47
Lichtenberg (Landkreis Bautzen),4
Nebelschütz,3
"Bernsdorf, Stadt (Landkreis Bautzen)",15
"Kamenz, Stadt",38
Oßling,5
Doberschau-Gaußig,9
"Großröhrsdorf, Stadt",20
Obergurig,4
Radibor,6
"Wittichenau, Stadt",11
Großharthau,5
Cunewalde,8
Neschwitz,4
Wachau,7
Spreetal,3
Haselbachtal,6
"Hoyerswerda, Stadt",47
Elsterheide,5
Panschwitz-Kuckau,3
"Pulsnitz, Stadt",10
Göda,4
Puschwitz,1
Ralbitz-Rosenthal,2
"Elstra, Stadt",3
Lohsa,5
Königswartha,3
"Lauta, Stadt",7
Neukirch/Lausitz,4
Schwepnitz,2
Crostwitz,0
Bockau,18
Großolbersdorf,20
Deutschneudorf,7
"Scheibenberg, Stadt",13
Stützengrün,19
"Johanngeorgenstadt, Stadt",21
Gornau/Erzgeb.,20
"Oberwiesenthal, Kurort, Stadt",11
Burkhardtsdorf,31
Großrückerswalde,17
"Schwarzenberg/Erzgeb., Stadt",80
Drebach,24
Jahnsdorf/Erzgeb.,25
Grünhainichen,15
Auerbach (Erzgebirgskreis),11
"Grünhain-Beierfeld, Stadt",26
"Wolkenstein, Stadt",17
Schönheide,19
Zschorlau,22
"Lauter-Bernsbach, Stadt",36
"Zschopau, Stadt",38
Neukirchen/Erzgeb.,28
"Thalheim/Erzgeb., Stadt",24
Hohndorf,14
Raschau-Markersbach,20
"Lugau/Erzgeb., Stadt",32
"Oelsnitz/Erzgeb., Stadt",43
Niederwürschnitz,10
Gornsdorf,7
Gelenau/Erzgeb.,15
"Olbernhau, Stadt",37
"Marienberg, Stadt",57
Mildenau,11
"Schneeberg, Stadt",44
"Zwönitz, Stadt",37
"Aue-Bad Schlema, Stadt",62
Börnichen/Erzgeb.,3
Sehmatal,19
"Schlettau, Stadt",7
"Eibenstock, Stadt",21
"Lößnitz, Stadt",23
"Thum, Stadt",14
Amtsberg,10
"Pockau-Lengefeld, Stadt",20
"Annaberg-Buchholz, Stadt",52
"Geyer, Stadt",9
"Ehrenfriedersdorf, Stadt",12
Crottendorf,10
"Stollberg/Erzgeb., Stadt",27
Niederdorf,3
Thermalbad Wiesenbad,7
"Seiffen/Erzgeb., Kurort",4
"Elterlein, Stadt",5
Bärenstein,4
Breitenbrunn/Erzgeb.,9
Heidersdorf,1
Tannenberg,1
"Jöhstadt, Stadt",2
Königswalde,1
Lawalde,21
Schönbach,10
Hähnichen,10
Königshain,8
Schönau-Berzdorf a. d. Eigen,9
Dürrhennersdorf,6
Groß Düben,5
Schöpstal,11
Leutersdorf,15
Horka,7
"Ostritz, Stadt",9
Oppach,9
"Seifhennersdorf, Stadt",14
Waldhufen,9
Kodersdorf,9
"Bernstadt a. d. Eigen, Stadt",11
"Niesky, Stadt",30
Hohendubrau,6
"Löbau, Stadt",46
Weißkeißel,4
Kottmar,22
"Ebersbach-Neugersdorf, Stadt",36
"Rothenburg/O.L., Stadt",13
Krauschwitz i.d. O.L.,9
"Jonsdorf, Kurort",4
Markersdorf,10
"Reichenbach/O.L., Stadt",12
Quitzdorf am See,3
Vierkirchen,4
"Görlitz, Stadt",123
"Neusalza-Spremberg, Stadt",7
"Zittau, Stadt",50
Gablenz,3
Neißeaue,3
Beiersdorf,2
Schleife,4
"Bad Muskau, Stadt",6
Großschweidnitz,2
Bertsdorf-Hörnitz,3
Hainewalde,2
Olbersdorf,6
"Weißwasser/O.L., Stadt",18
Großschönau,6
Mücka,1
"Herrnhut, Stadt",6
Boxberg/O.L.,4
Rietschen,2
Oybin,1
Oderwitz,3
Mittelherwigsdorf,2
Kreba-Neudorf,0
Rosenbach,0
Trebendorf,0
Machern,34
"Rötha, Stadt",27
"Regis-Breitingen, Stadt",17
"Frohburg, Stadt",42
"Borna, Stadt",60
Parthenstein,11
Lossatal,16
"Böhlen, Stadt",17
"Zwenkau, Stadt",21
"Markkleeberg, Stadt",55
Otterwisch,3
"Trebsen/Mulde, Stadt",8
"Brandis, Stadt",19
