Gemeinde,Neuzugänge letzten 7 Tage
Neukirch,13
Malschwitz,28
Lichtenberg (Landkreis Bautzen),10
Rammenau,8
Arnsdorf,27
Spreetal,10
Steinigtwolmsdorf,13
"Bernsdorf, Stadt (Landkreis Bautzen)",28
Neukirch/Lausitz,20
Großharthau,12
Radibor,13
Kubschütz,10
Laußnitz,7
"Schirgiswalde-Kirschau, Stadt",23
"Großröhrsdorf, Stadt",36
Oßling,8
Lohsa,18
"Bischofswerda, Stadt",36
Göda,10
Haselbachtal,13
Schwepnitz,8
Doberschau-Gaußig,13
Ralbitz-Rosenthal,5
"Bautzen, Stadt",108
Schmölln-Putzkau,8
Demitz-Thumitz,7
Wachau,11
"Wilthen, Stadt",12
Puschwitz,2
"Lauta, Stadt",20
"Pulsnitz, Stadt",18
Ottendorf-Okrilla,24
Königswartha,8
Cunewalde,10
Großdubrau,9
Großnaundorf,2
Ohorn,5
"Hoyerswerda, Stadt",63
"Königsbrück, Stadt",9
Panschwitz-Kuckau,4
Crostwitz,2
"Kamenz, Stadt",33
"Wittichenau, Stadt",11
"Radeberg, Stadt",35
Nebelschütz,2
Großpostwitz/O.L.,4
Hochkirch,3
Sohland a. d. Spree,8
Steina,2
Elsterheide,4
Burkau,3
Frankenthal,1
"Weißenberg, Stadt",3
Räckelwitz,1
Neschwitz,2
"Elstra, Stadt",2
Obergurig,1
"Thalheim/Erzgeb., Stadt",26
"Zschopau, Stadt",39
Zschorlau,22
Gelenau/Erzgeb.,17
Bärenstein,9
"Pockau-Lengefeld, Stadt",28
Gornsdorf,7
Tannenberg,4
Königswalde,8
Thermalbad Wiesenbad,11
Amtsberg,12
"Schlettau, Stadt",7
"Seiffen/Erzgeb., Kurort",6
"Jöhstadt, Stadt",7
Stützengrün,8
"Lugau/Erzgeb., Stadt",20
"Annaberg-Buchholz, Stadt",48
Burkhardtsdorf,15
Neukirchen/Erzgeb.,17
"Wolkenstein, Stadt",9
"Eibenstock, Stadt",15
Großrückerswalde,7
"Zwönitz, Stadt",24
Jahnsdorf/Erzgeb.,11
"Oelsnitz/Erzgeb., Stadt",22
"Lauter-Bernsbach, Stadt",17
"Schneeberg, Stadt",27
Niederwürschnitz,5
Sehmatal,12
Gornau/Erzgeb.,7
"Stollberg/Erzgeb., Stadt",21
Grünhainichen,6
"Aue-Bad Schlema, Stadt",36
"Thum, Stadt",9
Drebach,9
Mildenau,6
"Schwarzenberg/Erzgeb., Stadt",28
"Olbernhau, Stadt",18
Auerbach (Erzgebirgskreis),4
"Lößnitz, Stadt",13
"Grünhain-Beierfeld, Stadt",9
"Oberwiesenthal, Kurort, Stadt",3
Hohndorf,5
Raschau-Markersbach,7
Bockau,3
Großolbersdorf,3
"Marienberg, Stadt",18
"Elterlein, Stadt",3
"Johanngeorgenstadt, Stadt",4
Börnichen/Erzgeb.,1
"Scheibenberg, Stadt",2
Schönheide,4
Niederdorf,1
"Ehrenfriedersdorf, Stadt",3
Breitenbrunn/Erzgeb.,2
"Geyer, Stadt",1
Crottendorf,0
Deutschneudorf,0
Heidersdorf,0
Leutersdorf,22
"Seifhennersdorf, Stadt",22
Rietschen,15
Krauschwitz i.d. O.L.,19
Mücka,5
Gablenz,8
Oderwitz,23
Waldhufen,11
Markersdorf,17
"Weißwasser/O.L., Stadt",67
Königshain,5
Dürrhennersdorf,4
Schöpstal,10
"Rothenburg/O.L., Stadt",17
Hohendubrau,7
Trebendorf,3
Vierkirchen,6
Neißeaue,6
Bertsdorf-Hörnitz,7
"Bernstadt a. d. Eigen, Stadt",11
"Görlitz, Stadt",177
Schleife,7
"Zittau, Stadt",69
Olbersdorf,12
Hainewalde,4
"Löbau, Stadt",37
Quitzdorf am See,3
Weißkeißel,3
"Niesky, Stadt",22
Kottmar,17
Großschönau,12
Mittelherwigsdorf,8
Oybin,3
Lawalde,4
"Bad Muskau, Stadt",8
Kodersdorf,5
"Herrnhut, Stadt",12
Rosenbach,3
Groß Düben,2
"Reichenbach/O.L., Stadt",9
"Ostritz, Stadt",4
Beiersdorf,2
Hähnichen,2
"Ebersbach-Neugersdorf, Stadt",15
"Neusalza-Spremberg, Stadt",4
Kreba-Neudorf,1
Boxberg/O.L.,4
Oppach,2
"Jonsdorf, Kurort",1
Großschweidnitz,0
Horka,0
Schönau-Berzdorf a. d. Eigen,0
Schönbach,0
Otterwisch,10
Belgershain,19
Großpösna,27
"Wurzen, Stadt",76
"Bad Lausick, Stadt",36
Borsdorf,36
"Kitzscher, Stadt",19
"Pegau, Stadt",24
"Naunhof, Stadt",32
Thallwitz,13
"Böhlen, Stadt",23
"Trebsen/Mulde, Stadt",13
"Zwenkau, Stadt",30
"Colditz, Stadt",26
"Borna, Stadt",59
"Groitzsch, Stadt",23
"Markranstädt, Stadt",48
"Markkleeberg, Stadt",74
Bennewitz,15
"Grimma, Stadt",83
"Brandis, Stadt",25
Machern,17
"Frohburg, Stadt",29
"Regis-Breitingen, Stadt",9
Elstertrebnitz,3
"Geithain, Stadt",15
Lossatal,13
"Rötha, Stadt",13
Parthenstein,7
Neukieritzsch,10
Käbschütztal,20
Weinböhla,60
"Gröditz, Stadt",38
"Meißen, Stadt",145
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,20
"Radebeul, Stadt",151
Diera-Zehren,14
Moritzburg,35
Niederau,17
"Lommatzsch, Stadt",20
Zeithain,22
Stauchitz,12
"Strehla, Stadt",14
"Nossen, Stadt",37
"Riesa, Stadt",102
"Coswig, Stadt",68
Klipphausen,30
Hirschstein,5
"Radeburg, Stadt",17
"Großenhain, Stadt",37
Verwaltungsgemeinschaft Röderaue/Wülknitz,8
Verwaltungsgemeinschaft Nünchritz/Glaubitz,14
Ebersbach (Landkreis Meißen),8
Priestewitz,4
Thiendorf,2
Zettlitz,7
