Gemeinde,Neuzugänge letzten 7 Tage
Neukirch,24
Rammenau,16
Burkau,22
Demitz-Thumitz,22
Schmölln-Putzkau,22
Frankenthal,5
Großnaundorf,5
"Königsbrück, Stadt",22
Hochkirch,10
Doberschau-Gaußig,16
Ohorn,9
Großpostwitz/O.L.,10
"Wilthen, Stadt",17
"Bautzen, Stadt",127
Cunewalde,15
Göda,10
"Schirgiswalde-Kirschau, Stadt",20
"Weißenberg, Stadt",10
Kubschütz,8
Lichtenberg (Landkreis Bautzen),5
Steina,5
"Bischofswerda, Stadt",33
Radibor,9
Arnsdorf,14
Malschwitz,13
Laußnitz,5
Oßling,6
Räckelwitz,3
Wachau,11
Sohland a. d. Spree,17
Steinigtwolmsdorf,7
"Pulsnitz, Stadt",18
Ottendorf-Okrilla,24
Panschwitz-Kuckau,5
Großdubrau,10
"Großröhrsdorf, Stadt",20
"Kamenz, Stadt",35
"Radeberg, Stadt",38
"Bernsdorf, Stadt (Landkreis Bautzen)",13
Crostwitz,2
"Wittichenau, Stadt",11
Neukirch/Lausitz,9
"Elstra, Stadt",5
Großharthau,5
Haselbachtal,7
"Hoyerswerda, Stadt",53
Nebelschütz,2
"Lauta, Stadt",11
Spreetal,2
Obergurig,2
Königswartha,3
Elsterheide,3
Neschwitz,2
Lohsa,4
Schwepnitz,1
Puschwitz,0
Ralbitz-Rosenthal,0
"Scheibenberg, Stadt",21
Burkhardtsdorf,47
Raschau-Markersbach,32
Bockau,14
Gornsdorf,11
Stützengrün,18
Drebach,29
"Thum, Stadt",28
Großrückerswalde,18
Deutschneudorf,5
Niederwürschnitz,13
Breitenbrunn/Erzgeb.,26
Grünhainichen,16
"Johanngeorgenstadt, Stadt",18
Tannenberg,5
"Thalheim/Erzgeb., Stadt",27
Sehmatal,28
"Schwarzenberg/Erzgeb., Stadt",72
Gelenau/Erzgeb.,18
Schönheide,19
Großolbersdorf,12
"Schlettau, Stadt",10
Jahnsdorf/Erzgeb.,23
"Wolkenstein, Stadt",16
"Lauter-Bernsbach, Stadt",35
Bärenstein,9
"Grünhain-Beierfeld, Stadt",23
"Eibenstock, Stadt",28
Zschorlau,20
"Marienberg, Stadt",64
"Zwönitz, Stadt",45
Neukirchen/Erzgeb.,26
Auerbach (Erzgebirgskreis),9
"Zschopau, Stadt",33
"Aue-Bad Schlema, Stadt",71
"Schneeberg, Stadt",48
"Oberwiesenthal, Kurort, Stadt",7
Amtsberg,12
Mildenau,11
Hohndorf,11
Börnichen/Erzgeb.,3
"Lugau/Erzgeb., Stadt",24
"Pockau-Lengefeld, Stadt",22
"Olbernhau, Stadt",31
"Oelsnitz/Erzgeb., Stadt",30
Gornau/Erzgeb.,10
"Annaberg-Buchholz, Stadt",51
"Stollberg/Erzgeb., Stadt",29
"Ehrenfriedersdorf, Stadt",12
Heidersdorf,2
"Elterlein, Stadt",7
"Geyer, Stadt",8
Niederdorf,3
"Lößnitz, Stadt",18
"Jöhstadt, Stadt",5
