Gemeinde,Neuzugänge letzten 7 Tage
Demitz-Thumitz,19
Neschwitz,13
Rammenau,7
Neukirch/Lausitz,20
Burkau,10
Räckelwitz,4
"Wilthen, Stadt",17
Doberschau-Gaußig,12
Malschwitz,12
Steinigtwolmsdorf,7
Puschwitz,2
Obergurig,5
Ottendorf-Okrilla,23
"Bischofswerda, Stadt",25
"Weißenberg, Stadt",7
Radibor,7
Hochkirch,5
Frankenthal,2
Großnaundorf,2
Crostwitz,2
Arnsdorf,9
"Schirgiswalde-Kirschau, Stadt",11
"Radeberg, Stadt",31
Schmölln-Putzkau,5
Göda,5
Laußnitz,3
"Elstra, Stadt",4
Elsterheide,5
Panschwitz-Kuckau,3
Großdubrau,6
Haselbachtal,5
Lichtenberg (Landkreis Bautzen),2
Steina,2
Sohland a. d. Spree,8
Ralbitz-Rosenthal,2
"Bautzen, Stadt",45
Spreetal,2
Großharthau,3
"Kamenz, Stadt",16
"Pulsnitz, Stadt",7
"Bernsdorf, Stadt (Landkreis Bautzen)",6
"Königsbrück, Stadt",4
Nebelschütz,1
Ohorn,2
Großpostwitz/O.L.,2
Wachau,3
"Wittichenau, Stadt",4
Cunewalde,3
"Großröhrsdorf, Stadt",6
Neukirch,1
"Lauta, Stadt",5
Königswartha,2
"Hoyerswerda, Stadt",15
Oßling,1
Schwepnitz,1
Lohsa,2
Kubschütz,0
Drebach,41
Gelenau/Erzgeb.,30
"Oberwiesenthal, Kurort, Stadt",15
Niederwürschnitz,16
Gornau/Erzgeb.,23
Deutschneudorf,6
"Eibenstock, Stadt",43
Gornsdorf,11
Burkhardtsdorf,34
"Seiffen/Erzgeb., Kurort",11
"Oelsnitz/Erzgeb., Stadt",57
"Zwönitz, Stadt",60
Crottendorf,20
"Wolkenstein, Stadt",19
"Thalheim/Erzgeb., Stadt",29
Niederdorf,6
"Lößnitz, Stadt",38
Neukirchen/Erzgeb.,32
Zschorlau,24
Breitenbrunn/Erzgeb.,23
"Schneeberg, Stadt",60
Großolbersdorf,12
Schönheide,18
Auerbach (Erzgebirgskreis),10
Börnichen/Erzgeb.,4
Jahnsdorf/Erzgeb.,22
"Thum, Stadt",20
"Scheibenberg, Stadt",8
Grünhainichen,12
Stützengrün,11
"Grünhain-Beierfeld, Stadt",20
"Stollberg/Erzgeb., Stadt",37
"Ehrenfriedersdorf, Stadt",15
Raschau-Markersbach,16
"Annaberg-Buchholz, Stadt",62
Bockau,7
"Lauter-Bernsbach, Stadt",26
Amtsberg,11
"Aue-Bad Schlema, Stadt",59
"Schwarzenberg/Erzgeb., Stadt",47
"Elterlein, Stadt",8
"Zschopau, Stadt",25
"Marienberg, Stadt",46
"Jöhstadt, Stadt",6
Bärenstein,5
"Schlettau, Stadt",5
Königswalde,4
Mildenau,6
"Pockau-Lengefeld, Stadt",13
Hohndorf,6
Großrückerswalde,5
Sehmatal,9
"Lugau/Erzgeb., Stadt",11
"Olbernhau, Stadt",14
Thermalbad Wiesenbad,4
"Johanngeorgenstadt, Stadt",4
Tannenberg,1
"Geyer, Stadt",2
Heidersdorf,0
Hohendubrau,11
"Neusalza-Spremberg, Stadt",18
Kodersdorf,13
Dürrhennersdorf,5
Vierkirchen,8
"Seifhennersdorf, Stadt",16
"Bernstadt a. d. Eigen, Stadt",13
Markersdorf,15
Lawalde,7
Oybin,5
Rosenbach,5
Großschweidnitz,4
"Niesky, Stadt",28
Groß Düben,3
Schönau-Berzdorf a. d. Eigen,4
Beiersdorf,3
"Herrnhut, Stadt",15
"Löbau, Stadt",36
Großschönau,13
Quitzdorf am See,3
Neißeaue,4
"Ebersbach-Neugersdorf, Stadt",26
Waldhufen,5
Mücka,2
"Zittau, Stadt",52
Schönbach,2
Horka,3
"Görlitz, Stadt",95
Schleife,4
Kottmar,12
Hähnichen,2
Rietschen,4
Weißkeißel,2
Olbersdorf,7
Krauschwitz i.d. O.L.,5
"Reichenbach/O.L., Stadt",7
Oderwitz,7
Mittelherwigsdorf,5
"Jonsdorf, Kurort",2
Schöpstal,3
Trebendorf,1
Leutersdorf,4
Boxberg/O.L.,5
"Weißwasser/O.L., Stadt",18
"Bad Muskau, Stadt",4
Bertsdorf-Hörnitz,2
"Rothenburg/O.L., Stadt",4
"Ostritz, Stadt",1
Oppach,1
Gablenz,0
Hainewalde,0
Königshain,0
Kreba-Neudorf,0
"Frohburg, Stadt",36
Thallwitz,10
"Zwenkau, Stadt",25
"Borna, Stadt",50
Belgershain,7
"Geithain, Stadt",14
"Grimma, Stadt",57
"Brandis, Stadt",19
"Wurzen, Stadt",31
Neukieritzsch,13
"Bad Lausick, Stadt",14
Parthenstein,6
Machern,11
"Groitzsch, Stadt",12
Otterwisch,2
Bennewitz,7
Lossatal,8
"Pegau, Stadt",8
"Naunhof, Stadt",10
Großpösna,6
"Böhlen, Stadt",7
"Markkleeberg, Stadt",26
Borsdorf,8
"Colditz, Stadt",8
"Regis-Breitingen, Stadt",3
"Markranstädt, Stadt",12
"Rötha, Stadt",4
"Kitzscher, Stadt",3
"Trebsen/Mulde, Stadt",1
Elstertrebnitz,0
Thiendorf,19
Klipphausen,39
Ebersbach (Landkreis Meißen),15
"Nossen, Stadt",35
"Gröditz, Stadt",22
"Lommatzsch, Stadt",15
"Radeburg, Stadt",20
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,12
Priestewitz,7
Diera-Zehren,7
"Coswig, Stadt",40
Käbschütztal,5
"Großenhain, Stadt",33
Zeithain,10
"Meißen, Stadt",49
Stauchitz,5
Weinböhla,16
Hirschstein,3
"Riesa, Stadt",36
Moritzburg,10
"Radebeul, Stadt",39
"Strehla, Stadt",4
Verwaltungsgemeinschaft Nünchritz/Glaubitz,7
Verwaltungsgemeinschaft Röderaue/Wülknitz,3
Niederau,1
"Frauenstein, Stadt",15
Leubsdorf,16
Mühlau,10
Zettlitz,3
Ostrau,14
"Brand-Erbisdorf, Stadt",35
Weißenborn/Erzgeb.,9
Königsfeld,5
Taura,8
"Augustusburg, Stadt",15
Dorfchemnitz,5
Eppendorf,13
Niederwiesa,15
"Oederan, Stadt",24
Hartmannsdorf (Landkreis Mittelsachsen),13
Striegistal,13
Oberschöna,9
Lichtenau,18
Bobritzsch-Hilbersdorf,14
Großhartmannsdorf,6
"Großschirma, Stadt",13
Lichtenberg/Erzgeb.,6
"Freiberg, Stadt, Universitätsstadt",88
"Hainichen, Stadt",18
"Burgstädt, Stadt",22
"Flöha, Stadt",22
"Frankenberg/Sa., Stadt",28
"Roßwein, Stadt",15
Halsbrücke,10
Kriebstein,4
Königshain-Wiederau,5
"Penig, Stadt",15
Rossau,6
"Leisnig, Stadt",12
"Lunzenau, Stadt",6
"Döbeln, Stadt",34
"Hartha, Stadt",10
"Rochlitz, Stadt",8
Mulda/Sa.,3
Großweitzschen,3
Rechenberg-Bienenmühle,2
Altmittweida,2
"Mittweida, Stadt, Hochschulstadt",15
Claußnitz,3
"Geringswalde, Stadt",4
"Waldheim, Stadt",7
Neuhausen/Erzgeb.,2
Zschaitz-Ottewig,1
Reinsberg,2
Erlau,2
Seelitz,1
"Sayda, Stadt",1
Wechselburg,0
Naundorf,10
Jesewitz,13
Zschepplin,11
"Oschatz, Stadt",51
"Mügeln, Stadt",20
Trossin,4
Krostitz,12
Elsnig,4
Doberschütz,11
Löbnitz,5
"Dahlen, Stadt",10
Rackwitz,11
"Delitzsch, Stadt",52
Mockrehna,10
"Eilenburg, Stadt",27
Wiedemar,9
"Bad Düben, Stadt",13
Dreiheide,3
Wermsdorf,7
"Schkeuditz, Stadt",21
"Taucha, Stadt",17
Arzberg,2
"Torgau, Stadt",20
Beilrode,4
"Belgern-Schildau, Stadt",7
Cavertitz,1
Liebschützberg,1
"Dommitzsch, Stadt",0
Laußig,0
Schönwölkau,0
Reinhardtsdorf-Schöna,8
"Rabenau, Stadt",25
Hermsdorf/Erzgeb.,4
Hartmannsdorf-Reichenau,5
"Königstein/Sächs. Schw., Stadt",10
Gohrisch,8
"Glashütte, Stadt",26
Klingenberg,25
Müglitztal,7
"Neustadt in Sachsen, Stadt",44
"Sebnitz, Stadt",34
"Tharandt, Stadt",19
"Heidenau, Stadt",48
"Wilsdruff, Stadt",36
"Hohnstein, Stadt",8
"Dippoldiswalde, Stadt",34
"Bad Schandau, Stadt",8
Kreischa,10
Rathmannsdorf,2
"Pirna, Stadt",82
"Freital, Stadt",75
Dorfhain,2
Lohmen,5
"Stolpen, Stadt",9
Rosenthal-Bielatal,2
Struppen,3
Bannewitz,13
"Altenberg, Stadt",9
Bahretal,2
"Bad Gottleuba-Berggießhübel, Stadt",5
"Dohna, Stadt",5
Dürrröhrsdorf-Dittersbach,3
Dohma,0
"Liebstadt, Stadt",0
"Rathen, Kurort",0
"Stadt Wehlen, Stadt",0
"Schöneck/Vogtl., Stadt",14
Eichigt,5
Tirpersdorf,5
Grünbach,6
Rosenbach/Vogtl.,14
Neustadt/Vogtl.,3
"Elsterberg, Stadt",12
Steinberg,8
"Pausa-Mühltroff, Stadt",13
Bösenbrunn,3
"Plauen, Stadt",164
"Treuen, Stadt",19
Weischlitz,13
Bad Brambach,4
Bergen,2
Heinsdorfergrund,4
"Falkenstein/Vogtl., Stadt",16
Theuma,2
"Auerbach/Vogtl., Stadt",32
"Klingenthal, Stadt",14
Neumark,5
"Oelsnitz/Vogtl., Stadt",17
Muldenhammer,5
Triebel/Vogtl.,2
"Rodewisch, Stadt",10
Mühlental,2
"Adorf/Vogtl., Stadt",7
Neuensalz,3
Pöhl,3
"Markneukirchen, Stadt",8
"Reichenbach im Vogtland, Stadt",21
"Lengenfeld, Stadt",7
Ellefeld,2
Limbach,1
Werda,1
"Bad Elster, Stadt",2
"Netzschkau, Stadt",2
"Oberlungwitz, Stadt",51
"Limbach-Oberfrohna, Stadt",134
"Hohenstein-Ernstthal, Stadt",61
Niederfrohna,9
Mülsen,40
"Wildenfels, Stadt",12
Langenweißbach,8
Callenberg,15
Reinsdorf,22
Oberwiera,3
Hartmannsdorf b. Kirchberg,4
Fraureuth,13
"Zwickau, Stadt",225
"Hartenstein, Stadt",11
"Lichtenstein/Sa., Stadt",27
"Wilkau-Haßlau, Stadt",23
