,Gemeinde,Unnamed: 0,Neuzugänge letzten 7 Tage_x,Einwohner,7-Tages-Inzidenz,Landkreis,Neuzugänge letzten 7 Tage_y,Neuzugänge letzten 14 Tage
144,Gablenz,25,2.0,1.595,0,Görlitz,0,0
145,Großschönau,25,6.0,5.3629999999999995,0,Görlitz,2,2
146,Großschweidnitz,25,2.0,1.2590000000000001,0,Görlitz,0,0
147,Hainewalde,25,2.0,1.511,0,Görlitz,0,0
148,Jonsdorf,25,6.0,1.548,0,Görlitz,1,1
149,Kodersdorf,25,6.0,2.4219999999999997,0,Görlitz,4,4
150,Königshain,25,6.0,1.179,0,Görlitz,2,2
151,Krauschwitz i.d. O.L.,25,6.0,3.469,0,Görlitz,1,1
152,Kreba-Neudorf,25,2.0,856.0,0,Görlitz,0,0
153,Markersdorf,25,6.0,3.9010000000000002,0,Görlitz,2,2
154,Mittelherwigsdorf,25,6.0,3.634,0,Görlitz,2,2
155,Mücka,25,2.0,959.0,0,Görlitz,0,0
156,Neißeaue,25,2.0,1.706,0,Görlitz,0,0
157,Neusalza-Spremberg,25,6.0,3.3,0,Görlitz,3,3
158,Olbersdorf,25,2.0,4.663,0,Görlitz,0,0
159,Ostritz,25,2.0,2.241,0,Görlitz,0,0
160,Quitzdorf am See,25,2.0,1.24,0,Görlitz,0,0
161,Rietschen,25,6.0,2.529,0,Görlitz,6,6
162,Rosenbach,25,6.0,1.571,0,Görlitz,1,1
163,Schleife,25,2.0,2.4,0,Görlitz,0,0
164,Schönau-Berzdorf a.d. Eigen,25,2.0,1.46,0,Görlitz,0,0
165,Schönbach,25,6.0,1.09,0,Görlitz,3,3
166,Schöpstal,25,2.0,2.396,0,Görlitz,0,0
167,Trebendorf,25,2.0,854.0,0,Görlitz,0,0
168,Vierkirchen,25,6.0,1.663,0,Görlitz,3,3
169,Thallwitz,1,40.0,3.5580000000000003,1124,Leipzig,5,9
170,Markranstädt,2,150.0,15.780999999999999,951,Leipzig,7,22
171,Kitzscher,3,30.0,5.0,60,Leipzig,0,3
172,Borsdorf,4,40.0,8.23,486,Leipzig,9,13
173,Böhlen,5,30.0,6.651,451,Leipzig,5,8
174,Naunhof,6,30.0,8.774,342,Leipzig,8,11
175,Lossatal,7,20.0,6.0489999999999995,331,Leipzig,1,3
176,Pegau,8,20.0,6.325,316,Leipzig,0,2
177,Belgershain,9,10.0,3.3539999999999996,298,Leipzig,6,7
178,Neukieritzsch,10,20.0,6.885,29,Leipzig,0,2
179,Colditz,11,20.0,8.422,237,Leipzig,5,7
180,Wurzen,12,30.0,16.209,185,Leipzig,6,9
181,Grimma,13,50.0,28.173000000000002,177,Leipzig,6,11
182,Bad Lausick,14,10.0,7.984,125,Leipzig,6,7
183,Zwenkau,15,10.0,9.28,108,Leipzig,0,1
184,Frohburg,16,10.0,12.443,8,Leipzig,11,12
185,Markkleeberg,17,10.0,24.748,4,Leipzig,9,10
186,Bennewitz,18,6.0,4.962,0,Leipzig,1,1
187,Borna,18,6.0,19.118,0,Leipzig,6,6
188,Brandis,18,6.0,9.624,0,Leipzig,2,2
189,Elstertrebnitz,18,2.0,1.291,0,Leipzig,0,0
190,Geithain,18,6.0,6.858,0,Leipzig,1,1
191,Groitzsch,18,6.0,7.586,0,Leipzig,2,2
192,Großpösna,18,6.0,5.371,0,Leipzig,2,2
193,Machern,18,6.0,6.723,0,Leipzig,2,2
194,Otterwisch,18,6.0,1.381,0,Leipzig,2,2
195,Parthenstein,18,2.0,3.517,0,Leipzig,0,0
196,Regis-Breitingen,18,6.0,3.897,0,Leipzig,4,4
197,Rötha,18,6.0,6.127999999999999,0,Leipzig,1,1
198,Trebsen/Mulde,18,6.0,3.8169999999999997,0,Leipzig,1,1
199,Gröditz,1,50.0,6.978,717,Meißen,3,8
200,Ebersbach,2,30.0,4.3839999999999995,684,Meißen,3,6
201,Diera-Zehren,3,20.0,3.24,617,Meißen,3,5
202,Thiendorf,4,20.0,3.76,532,Meißen,3,5
203,Glaubitz,5,40.0,7.725,518,Meißen,4,8
204,Hirschstein,6,10.0,1.95,513,Meißen,0,1
205,Klipphausen,7,50.0,10.349,483,Meißen,6,11
206,Wülknitz,8,20.0,4.341,461,Meißen,2,4
207,Meißen,9,120.0,28.281999999999996,424,Meißen,20,32
208,Lommatzsch,10,20.0,4.848,413,Meißen,4,6
209,Riesa,11,110.0,29.754,37,Meißen,10,21
210,Käbschütztal,12,10.0,2.738,365,Meißen,0,1
211,Coswig,13,60.0,20.739,289,Meißen,13,19
212,Niederau,14,10.0,4.044,247,Meißen,3,4
213,Nossen,15,20.0,10.513,19,Meißen,7,9
214,Radebeul,16,60.0,33.894,177,Meißen,24,30
215,Radeburg,17,10.0,7.317,137,Meißen,0,1
216,Großenhain,18,20.0,18.199,11,Meißen,7,9
217,Weinböhla,19,10.0,10.342,97,Meißen,1,2
218,Moritzburg,20,6.0,8.326,0,Meißen,3,3
219,Priestewitz,20,6.0,3.181,0,Meißen,2,2
220,Lampertswalde,20,6.0,4.417,0,Meißen,4,4
221,Stauchitz,20,6.0,3.093,0,Meißen,2,2
222,Strehla,20,6.0,3.721,0,Meißen,4,4
223,Zeithain,20,6.0,5.582000000000001,0,Meißen,1,1
224,Zschaitz-Ottewig,1,80.0,1.298,6163,Mittelsachsen,3,11
225,Neuhausen/Erzgeb.,2,90.0,2.592,3472,Mittelsachsen,3,12
226,Halsbrücke,3,100.0,5.0569999999999995,1977,Mittelsachsen,6,16
227,Rossau,4,60.0,3.502,1713,Mittelsachsen,2,8
228,Bobritzsch-Hilbersdorf,5,90.0,5.7139999999999995,1575,Mittelsachsen,16,25
229,Lichtenau,6,100.0,7.0760000000000005,1413,Mittelsachsen,8,18
230,Oberschöna,7,40.0,3.265,1225,Mittelsachsen,4,8
231,Augustusburg,8,50.0,4.512,1108,Mittelsachsen,0,5
232,Großweitzschen,9,30.0,2.741,1094,Mittelsachsen,0,3
233,Altmittweida,10,20.0,1.9140000000000001,1045,Mittelsachsen,0,2
234,Niederwiesa,11,50.0,4.862,1028,Mittelsachsen,3,8
235,Eppendorf,12,40.0,4.075,982,Mittelsachsen,1,5
236,Döbeln,13,230.0,23.583000000000002,975,Mittelsachsen,21,44
237,Flöha,14,100.0,10.696,935,Mittelsachsen,9,19
238,Mulda/Sa.,15,20.0,2.464,812,Mittelsachsen,0,2
239,Weißenborn/Erzgeb.,16,20.0,2.468,81,Mittelsachsen,11,13
240,Großschirma,17,40.0,5.596,715,Mittelsachsen,4,8
241,Striegistal,18,30.0,4.601,652,Mittelsachsen,4,7
242,Oederan,19,50.0,7.934,63,Mittelsachsen,10,15
243,Hartha,20,40.0,6.949,576,Mittelsachsen,6,10
244,Penig,21,50.0,8.715,574,Mittelsachsen,1,6
245,Sayda,22,10.0,1.75,571,Mittelsachsen,3,4
246,Wechselburg,23,10.0,1.778,562,Mittelsachsen,1,2
247,Waldheim,24,50.0,8.951,559,Mittelsachsen,1,6
248,Freiberg,25,210.0,40.657,517,Mittelsachsen,35,56
249,Kriebstein,26,10.0,2.083,48,Mittelsachsen,0,1
250,Geringswalde,27,20.0,4.183,478,Mittelsachsen,1,3
251,Taura,28,10.0,2.37,422,Mittelsachsen,3,4
252,Großhartmannsdorf,29,10.0,2.474,404,Mittelsachsen,0,1
253,Roßwein,30,30.0,7.502000000000001,40,Mittelsachsen,6,9
254,Lichtenberg/Erzgeb.,31,10.0,2.6919999999999997,371,Mittelsachsen,2,3
255,Frauenstein,32,10.0,2.772,361,Mittelsachsen,6,7
256,Mittweida,33,50.0,14.475,345,Mittelsachsen,7,12
257,Claußnitz,34,10.0,3.0269999999999997,33,Mittelsachsen,3,4
258,Frankenberg/Sa.,35,40.0,13.94,287,Mittelsachsen,2,6
259,Ostrau,36,10.0,3.5469999999999997,282,Mittelsachsen,0,1
260,Leisnig,37,20.0,8.243,243,Mittelsachsen,7,9
261,Lunzenau,38,10.0,4.147,241,Mittelsachsen,1,2
262,Hartmannsdorf,39,10.0,4.493,223,Mittelsachsen,5,6
263,Rochlitz,40,10.0,5.71,175,Mittelsachsen,1,2
264,Brand-Erbisdorf,41,10.0,9.337,107,Mittelsachsen,4,5
265,Burgstädt,42,10.0,10.642999999999999,94,Mittelsachsen,4,5
266,Dorfchemnitz,43,2.0,1.5390000000000001,0,Mittelsachsen,0,0
267,Erlau,43,6.0,3.178,0,Mittelsachsen,3,3
268,Hainichen,43,6.0,8.558,0,Mittelsachsen,5,5
269,Königsfeld,43,6.0,1.391,0,Mittelsachsen,2,2
270,Königshain-Wiederau,43,6.0,2.613,0,Mittelsachsen,3,3
271,Leubsdorf,43,6.0,3.298,0,Mittelsachsen,5,5
272,Mühlau,43,2.0,2.117,0,Mittelsachsen,0,0
273,Rechenberg-Bienenmühle,43,6.0,1.835,0,Mittelsachsen,1,1
274,Reinsberg,43,6.0,2.8339999999999996,0,Mittelsachsen,3,3
275,Seelitz,43,2.0,1.663,0,Mittelsachsen,0,0
276,Zettlitz,43,2.0,685.0,0,Mittelsachsen,0,0
277,Krostitz,1,40.0,4.033,992,Nordsachsen,1,5
278,Dreiheide,2,20.0,2.102,951,Nordsachsen,0,2
279,Liebschützberg,3,20.0,2.975,672,Nordsachsen,1,3
280,Belgern-Schildau,4,40.0,7.718999999999999,518,Nordsachsen,2,6
281,Löbnitz,5,10.0,2.086,479,Nordsachsen,0,1
282,Naundorf,6,10.0,2.247,445,Nordsachsen,0,1
283,Wiedemar,7,20.0,5.267,38,Nordsachsen,4,6
284,Mügeln,8,20.0,5.872000000000001,341,Nordsachsen,6,8
285,Oschatz,9,40.0,14.097999999999999,284,Nordsachsen,13,17
286,Schkeuditz,10,50.0,18.312,273,Nordsachsen,6,11
287,Bad Düben,11,20.0,7.83,255,Nordsachsen,0,2
288,Doberschütz,12,10.0,4.093999999999999,244,Nordsachsen,1,2
289,Eilenburg,13,30.0,15.557,193,Nordsachsen,3,6
290,Wermsdorf,14,10.0,5.2010000000000005,192,Nordsachsen,1,2
291,Taucha,15,30.0,15.745,191,Nordsachsen,6,9
292,Delitzsch,16,10.0,24.823,4,Nordsachsen,14,15
293,Arzberg,17,2.0,1.879,0,Nordsachsen,0,0
294,Beilrode,17,2.0,4.154,0,Nordsachsen,0,0
295,Cavertitz,17,6.0,2.214,0,Nordsachsen,1,1
296,Dahlen,17,2.0,4.245,0,Nordsachsen,0,0
297,Dommitzsch,17,2.0,2.458,0,Nordsachsen,0,0
298,Elsnig,17,2.0,1.3940000000000001,0,Nordsachsen,0,0
299,Jesewitz,17,6.0,3.09,0,Nordsachsen,3,3
300,Laußig,17,6.0,3.6439999999999997,0,Nordsachsen,1,1
301,Mockrehna,17,2.0,5.041,0,Nordsachsen,0,0
302,Rackwitz,17,6.0,5.135,0,Nordsachsen,1,1
303,Schönwölkau,17,6.0,2.551,0,Nordsachsen,1,1
304,Torgau,17,6.0,19.883,0,Nordsachsen,6,6
305,Trossin,17,2.0,1.2429999999999999,0,Nordsachsen,0,0
306,Zschepplin,17,6.0,2.8489999999999998,0,Nordsachsen,1,1
307,Hartmannsdorf-Reichenau,1,60.0,1.0170000000000001,590,Sächsische Schweiz-Osterzgebirge,2,8
308,Rosenthal-Bielatal,2,40.0,1.5859999999999999,2522,Sächsische Schweiz-Osterzgebirge,1,5
309,Müglitztal,3,40.0,1.91,2094,Sächsische Schweiz-Osterzgebirge,2,6
310,Reinhardtsdorf-Schöna,4,20.0,1.325,1509,Sächsische Schweiz-Osterzgebirge,1,3
311,Rathmannsdorf,5,10.0,912.0,1096,Sächsische Schweiz-Osterzgebirge,0,1
312,Bad Gottleuba-Berggießhübel,6,50.0,5.624,889,Sächsische Schweiz-Osterzgebirge,3,8
313,Dippoldiswalde,7,100.0,14.31,699,Sächsische Schweiz-Osterzgebirge,8,18
314,Lohmen,8,20.0,3.0839999999999996,649,Sächsische Schweiz-Osterzgebirge,0,2
315,Bad Schandau,9,20.0,3.6039999999999996,555,Sächsische Schweiz-Osterzgebirge,0,2
316,Stolpen,10,30.0,5.579,538,Sächsische Schweiz-Osterzgebirge,12,15
317,Dohma,11,10.0,1.954,512,Sächsische Schweiz-Osterzgebirge,0,1
318,Altenberg,12,40.0,7.934,504,Sächsische Schweiz-Osterzgebirge,3,7
319,Neustadt in Sachsen,13,60.0,12.097000000000001,496,Sächsische Schweiz-Osterzgebirge,14,20
320,Freital,14,190.0,39.703,479,Sächsische Schweiz-Osterzgebirge,18,37
321,Klingenberg,15,30.0,6.781000000000001,442,Sächsische Schweiz-Osterzgebirge,5,8
322,Kreischa,16,20.0,4.532,441,Sächsische Schweiz-Osterzgebirge,2,4
323,Wilsdruff,17,50.0,14.237,351,Sächsische Schweiz-Osterzgebirge,5,10
324,Hohnstein,18,10.0,3.282,305,Sächsische Schweiz-Osterzgebirge,3,4
325,Bannewitz,19,30.0,11.104000000000001,27,Sächsische Schweiz-Osterzgebirge,4,7
326,Pirna,20,100.0,38.422,26,Sächsische Schweiz-Osterzgebirge,22,32
327,Dürrröhrsdorf-Dittersbach,21,10.0,4.239,236,Sächsische Schweiz-Osterzgebirge,3,4
328,Rabenau,22,10.0,4.42,226,Sächsische Schweiz-Osterzgebirge,2,3
329,Sebnitz,23,20.0,9.461,211,Sächsische Schweiz-Osterzgebirge,1,3
330,Dohna,24,10.0,6.183,162,Sächsische Schweiz-Osterzgebirge,0,1
331,Glashütte,25,10.0,6.689,149,Sächsische Schweiz-Osterzgebirge,11,12
332,Heidenau,26,10.0,16.54,6,Sächsische Schweiz-Osterzgebirge,7,8
333,Bahretal,27,6.0,2.1590000000000003,0,Sächsische Schweiz-Osterzgebirge,3,3
334,Dorfhain,27,2.0,1.0959999999999999,0,Sächsische Schweiz-Osterzgebirge,0,0
335,Gohrisch,27,2.0,1.806,0,Sächsische Schweiz-Osterzgebirge,0,0
336,Hermsdorf/Erzgeb.,27,2.0,768.0,0,Sächsische Schweiz-Osterzgebirge,0,0
337,Königstein/Sächs. Schw.,27,6.0,2.0869999999999997,0,Sächsische Schweiz-Osterzgebirge,2,2
338,Liebstadt,27,2.0,1.27,0,Sächsische Schweiz-Osterzgebirge,0,0
339,Rathen,27,2.0,349.0,0,Sächsische Schweiz-Osterzgebirge,0,0
340,Stadt Wehlen,27,6.0,1.571,0,Sächsische Schweiz-Osterzgebirge,2,2
341,Struppen,27,6.0,2.512,0,Sächsische Schweiz-Osterzgebirge,2,2
342,Tharandt,27,6.0,5.439,0,Sächsische Schweiz-Osterzgebirge,1,1
343,Limbach,1,20.0,1.4269999999999998,1402,Vogtlandkreis,0,2
344,Bösenbrunn,2,10.0,1.1420000000000001,876,Vogtlandkreis,0,1
345,Pausa-Mühltroff,3,40.0,4.919,813,Vogtlandkreis,1,5
346,Heinsdorfergrund,4,10.0,1.9680000000000002,508,Vogtlandkreis,0,1
347,Muldenhammer,5,10.0,3.025,331,Vogtlandkreis,0,1
348,Oelsnitz/Vogtl.,6,30.0,10.142999999999999,296,Vogtlandkreis,2,5
349,Elsterberg,7,10.0,3.925,255,Vogtlandkreis,3,4
350,Falkenstein/Vogtl.,8,20.0,7.947,252,Vogtlandkreis,2,4
351,Reichenbach im Vogtland,9,40.0,20.487,195,Vogtlandkreis,12,16
352,Plauen,10,110.0,64.597,17,Vogtlandkreis,8,19
353,Rodewisch,11,10.0,6.372999999999999,157,Vogtlandkreis,0,1
354,Lengenfeld,12,10.0,7.124,14,Vogtlandkreis,2,3
355,Adorf/Vogtl.,13,6.0,4.843999999999999,0,Vogtlandkreis,3,3
356,Auerbach/Vogtl.,13,6.0,18.237000000000002,0,Vogtlandkreis,11,11
357,Bad Brambach,13,2.0,1.8330000000000002,0,Vogtlandkreis,0,0
358,Bad Elster,13,2.0,3.675,0,Vogtlandkreis,0,0
359,Bergen,13,6.0,958.0,0,Vogtlandkreis,1,1
360,Eichigt,13,2.0,1.192,0,Vogtlandkreis,0,0
361,Ellefeld,13,6.0,2.546,0,Vogtlandkreis,2,2
362,Grünbach,13,2.0,1.643,0,Vogtlandkreis,0,0
363,Klingenthal,13,6.0,8.184,0,Vogtlandkreis,2,2
364,Markneukirchen,13,6.0,7.47,0,Vogtlandkreis,2,2
365,Mühlental,13,2.0,1.276,0,Vogtlandkreis,0,0
366,Netzschkau,13,6.0,3.8539999999999996,0,Vogtlandkreis,1,1
367,Neuensalz,13,2.0,2.106,0,Vogtlandkreis,0,0
368,Neumark,13,2.0,2.964,0,Vogtlandkreis,0,0
369,Neustadt/Vogtl.,13,6.0,959.0,0,Vogtlandkreis,1,1
370,Pöhl,13,2.0,2.4819999999999998,0,Vogtlandkreis,0,0
371,Rosenbach/Vogtl.,13,2.0,4.133,0,Vogtlandkreis,0,0
372,Schöneck/Vogtl.,13,6.0,3.142,0,Vogtlandkreis,1,1
373,Steinberg,13,6.0,2.7430000000000003,0,Vogtlandkreis,3,3
