Gemeinde,Neuzugänge letzten 7 Tage
"Weißenberg, Stadt",19
Haselbachtal,24
Frankenthal,4
Hochkirch,7
"Lauta, Stadt",23
Steina,4
Schwepnitz,6
Sohland a. d. Spree,16
Ralbitz-Rosenthal,4
Großharthau,6
Großpostwitz/O.L.,5
Kubschütz,4
"Pulsnitz, Stadt",10
Radibor,4
"Kamenz, Stadt",20
"Großröhrsdorf, Stadt",11
Ottendorf-Okrilla,11
Laußnitz,2
Doberschau-Gaußig,4
Großdubrau,4
"Königsbrück, Stadt",4
Königswartha,3
Neschwitz,2
"Bautzen, Stadt",32
Arnsdorf,4
"Radeberg, Stadt",15
Demitz-Thumitz,2
Rammenau,1
Göda,2
"Schirgiswalde-Kirschau, Stadt",4
"Bischofswerda, Stadt",7
"Bernsdorf,  Stadt (Landkreis Bautzen)",4
Lichtenberg (Landkreis Bautzen),1
Neukirch,1
Elsterheide,2
Obergurig,1
Malschwitz,2
Ohorn,1
Lohsa,2
"Elstra, Stadt",1
Steinigtwolmsdorf,1
"Wittichenau, Stadt",2
Schmölln-Putzkau,1
"Hoyerswerda, Stadt",9
Wachau,1
Cunewalde,1
Neukirch/Lausitz,1
"Wilthen, Stadt",1
Burkau,0
Crostwitz,0
Großnaundorf,0
Nebelschütz,0
Oßling,0
Panschwitz-Kuckau,0
Puschwitz,0
Räckelwitz,0
Spreetal,0
"Johanngeorgenstadt, Stadt",46
Bockau,16
Heidersdorf,4
"Marienberg, Stadt",85
Gornau/Erzgeb.,18
"Geyer, Stadt",16
Breitenbrunn/Erzgeb.,24
"Olbernhau, Stadt",48
"Thum, Stadt",22
"Ehrenfriedersdorf, Stadt",18
Bärenstein,8
"Pockau-Lengefeld, Stadt",26
Zschorlau,18
Gelenau/Erzgeb.,14
Drebach,17
"Wolkenstein, Stadt",12
"Schlettau, Stadt",7
"Seiffen/Erzgeb., Kurort",6
"Lößnitz, Stadt",23
"Eibenstock, Stadt",20
"Grünhain-Beierfeld, Stadt",16
"Schneeberg, Stadt",36
Stützengrün,8
"Oberwiesenthal, Kurort, Stadt",5
"Zschopau, Stadt",22
Amtsberg,8
"Oelsnitz/Erzgeb., Stadt",23
Niederwürschnitz,5
"Scheibenberg, Stadt",4
Tannenberg,2
Großolbersdorf,5
Mildenau,6
"Lugau/Erzgeb., Stadt",14
Hohndorf,6
Jahnsdorf/Erzgeb.,9
Burkhardtsdorf,10
Auerbach (Erzgebirgskreis),4
Raschau-Markersbach,8
Thermalbad Wiesenbad,5
"Jöhstadt, Stadt",4
Neukirchen/Erzgeb.,10
"Annaberg-Buchholz, Stadt",28
"Stollberg/Erzgeb., Stadt",16
Schönheide,5
"Aue-Bad Schlema, Stadt",23
Gornsdorf,2
Deutschneudorf,1
"Schwarzenberg/Erzgeb., Stadt",15
Grünhainichen,3
"Thalheim/Erzgeb., Stadt",5
"Lauter-Bernsbach, Stadt",7
Niederdorf,1
"Zwönitz, Stadt",9
"Elterlein, Stadt",2
Crottendorf,2
Sehmatal,3
Königswalde,1
Großrückerswalde,1
Börnichen/Erzgeb.,0
Kodersdorf,34
Weißkeißel,8
"Neusalza-Spremberg, Stadt",19
Markersdorf,22
Königshain,6
Schleife,10
"Bad Muskau, Stadt",14
Schönbach,4
Rosenbach,5
Großschweidnitz,4
"Seifhennersdorf, Stadt",11
Olbersdorf,12
"Löbau, Stadt",37
Gablenz,4
Quitzdorf am See,3
"Bernstadt a. d. Eigen, Stadt",8
"Weißwasser/O.L., Stadt",35
"Ebersbach-Neugersdorf, Stadt",26
Kottmar,15
"Reichenbach/O.L., Stadt",10
Rietschen,5
Groß Düben,2
Neißeaue,3
Leutersdorf,6
Schöpstal,4
Oybin,2
Bertsdorf-Hörnitz,3
Mittelherwigsdorf,5
"Görlitz, Stadt",77
Schönau-Berzdorf a. d. Eigen,2
"Ostritz, Stadt",3
"Jonsdorf, Kurort",2
Trebendorf,1
Krauschwitz i.d. O.L.,4
Hohendubrau,2
Dürrhennersdorf,1
Oppach,2
"Zittau, Stadt",20
Großschönau,4
"Herrnhut, Stadt",4
Horka,1
Lawalde,1
Boxberg/O.L.,2
"Niesky, Stadt",4
Waldhufen,1
"Rothenburg/O.L., Stadt",1
Oderwitz,1
Beiersdorf,0
Hähnichen,0
Hainewalde,0
Kreba-Neudorf,0
Mücka,0
Vierkirchen,0
"Rötha, Stadt",41
"Geithain, Stadt",38
"Regis-Breitingen, Stadt",14
"Zwenkau, Stadt",28
Lossatal,13
Bennewitz,9
Elstertrebnitz,2
"Borna, Stadt",29
"Böhlen, Stadt",10
Borsdorf,12
Thallwitz,5
"Bad Lausick, Stadt",11
"Frohburg, Stadt",17
"Wurzen, Stadt",20
Belgershain,4
Neukieritzsch,8
"Groitzsch, Stadt",8
Machern,7
"Colditz, Stadt",8
"Pegau, Stadt",6
"Brandis, Stadt",7
Otterwisch,1
"Markkleeberg, Stadt",17
"Naunhof, Stadt",6
"Kitzscher, Stadt",3
"Trebsen/Mulde, Stadt",2
"Grimma, Stadt",12
"Markranstädt, Stadt",6
Parthenstein,1
Großpösna,1
Käbschütztal,10
"Radeburg, Stadt",23
