Gemeinde,Neuzugänge letzten 7 Tage
Rammenau,8
Demitz-Thumitz,14
Neschwitz,12
"Wilthen, Stadt",24
Doberschau-Gaußig,15
Radibor,11
Neukirch/Lausitz,17
Ottendorf-Okrilla,35
Panschwitz-Kuckau,7
Nebelschütz,4
Frankenthal,3
Steinigtwolmsdorf,9
Crostwitz,3
Großdubrau,11
"Weißenberg, Stadt",8
Lichtenberg (Landkreis Bautzen),4
Göda,7
"Schirgiswalde-Kirschau, Stadt",14
"Bischofswerda, Stadt",24
Großnaundorf,2
Malschwitz,9
Burkau,5
Steina,3
Großharthau,5
Räckelwitz,2
Königswartha,6
Schmölln-Putzkau,5
Arnsdorf,8
Sohland a. d. Spree,10
"Radeberg, Stadt",27
Obergurig,3
"Pulsnitz, Stadt",10
Haselbachtal,5
Puschwitz,1
Großpostwitz/O.L.,3
Cunewalde,5
Spreetal,2
"Kamenz, Stadt",18
"Großröhrsdorf, Stadt",10
"Bautzen, Stadt",36
Elsterheide,3
Lohsa,4
"Elstra, Stadt",2
"Königsbrück, Stadt",3
"Bernsdorf, Stadt (Landkreis Bautzen)",4
Ralbitz-Rosenthal,1
"Hoyerswerda, Stadt",18
Laußnitz,1
"Wittichenau, Stadt",3
Hochkirch,1
Ohorn,1
"Lauta, Stadt",3
Wachau,1
Kubschütz,0
Neukirch,0
Oßling,0
Schwepnitz,0
Deutschneudorf,9
"Seiffen/Erzgeb., Kurort",16
Gornsdorf,13
Gornau/Erzgeb.,25
Drebach,33
"Wolkenstein, Stadt",23
"Oberwiesenthal, Kurort, Stadt",12
"Eibenstock, Stadt",41
Niederdorf,7
"Thalheim/Erzgeb., Stadt",32
"Oelsnitz/Erzgeb., Stadt",58
Auerbach (Erzgebirgskreis),13
"Zwönitz, Stadt",62
Gelenau/Erzgeb.,21
Börnichen/Erzgeb.,5
Großolbersdorf,14
Breitenbrunn/Erzgeb.,26
Niederwürschnitz,12
"Thum, Stadt",23
Burkhardtsdorf,27
Schönheide,19
Jahnsdorf/Erzgeb.,22
Raschau-Markersbach,20
"Grünhain-Beierfeld, Stadt",22
"Lößnitz, Stadt",29
Crottendorf,14
"Annaberg-Buchholz, Stadt",66
"Lauter-Bernsbach, Stadt",28
"Schneeberg, Stadt",43
Grünhainichen,10
"Zschopau, Stadt",26
"Aue-Bad Schlema, Stadt",57
"Pockau-Lengefeld, Stadt",21
Tannenberg,3
Neukirchen/Erzgeb.,18
"Stollberg/Erzgeb., Stadt",29
"Schlettau, Stadt",6
"Lugau/Erzgeb., Stadt",19
"Schwarzenberg/Erzgeb., Stadt",39
Mildenau,8
Königswalde,5
Bockau,5
Stützengrün,7
Bärenstein,5
"Marienberg, Stadt",37
Sehmatal,13
"Scheibenberg, Stadt",4
Zschorlau,10
"Jöhstadt, Stadt",5
"Ehrenfriedersdorf, Stadt",8
Amtsberg,6
Großrückerswalde,5
"Geyer, Stadt",5
Hohndorf,5
Thermalbad Wiesenbad,4
"Elterlein, Stadt",3
"Johanngeorgenstadt, Stadt",4
"Olbernhau, Stadt",8
Heidersdorf,0
Dürrhennersdorf,9
"Neusalza-Spremberg, Stadt",20
Lawalde,11
"Bernstadt a. d. Eigen, Stadt",18
Rietschen,13
Rosenbach,8
Hähnichen,6
Vierkirchen,8
Schönau-Berzdorf a. d. Eigen,7
Hohendubrau,9
Horka,7
Beiersdorf,4
"Herrnhut, Stadt",20
"Niesky, Stadt",31
Kodersdorf,8
"Seifhennersdorf, Stadt",12
Schöpstal,7
Groß Düben,3
"Löbau, Stadt",40
Mittelherwigsdorf,10
Quitzdorf am See,3
Trebendorf,2
Oybin,3
Waldhufen,5
"Ebersbach-Neugersdorf, Stadt",25
Mücka,2
Kottmar,15
Markersdorf,8
Schönbach,2
"Ostritz, Stadt",4
Leutersdorf,6
Schleife,4
"Zittau, Stadt",41
Oderwitz,8
Boxberg/O.L.,7
Großschweidnitz,2
Großschönau,8
Krauschwitz i.d. O.L.,5
Bertsdorf-Hörnitz,3
"Görlitz, Stadt",80
"Reichenbach/O.L., Stadt",7
Kreba-Neudorf,1
"Bad Muskau, Stadt",4
Olbersdorf,5
"Weißwasser/O.L., Stadt",14
Weißkeißel,1
"Rothenburg/O.L., Stadt",3
Hainewalde,1
"Jonsdorf, Kurort",1
Oppach,1
Gablenz,0
Königshain,0
Neißeaue,0
Belgershain,15
"Frohburg, Stadt",37
Neukieritzsch,20
"Zwenkau, Stadt",25
"Geithain, Stadt",18
"Borna, Stadt",49
"Bad Lausick, Stadt",17
Bennewitz,10
Lossatal,12
"Wurzen, Stadt",32
"Grimma, Stadt",54
"Regis-Breitingen, Stadt",7
Machern,12
"Colditz, Stadt",15
Großpösna,9
"Brandis, Stadt",16
Borsdorf,13
Otterwisch,2
"Kitzscher, Stadt",7
"Markkleeberg, Stadt",34
"Groitzsch, Stadt",10
Parthenstein,4
Thallwitz,4
"Pegau, Stadt",6
"Naunhof, Stadt",7
"Markranstädt, Stadt",12
"Böhlen, Stadt",4
"Rötha, Stadt",3
"Trebsen/Mulde, Stadt",1
Elstertrebnitz,0
Thiendorf,23
"Nossen, Stadt",53
Ebersbach (Landkreis Meißen),19
Klipphausen,38
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,15
"Gröditz, Stadt",22
Stauchitz,9
Priestewitz,9
Diera-Zehren,9
"Großenhain, Stadt",44
"Radeburg, Stadt",17
"Lommatzsch, Stadt",10
"Coswig, Stadt",39
Käbschütztal,5
Hirschstein,3
"Riesa, Stadt",44
"Meißen, Stadt",36
Zeithain,7
"Radebeul, Stadt",40
Weinböhla,11
Moritzburg,8
Verwaltungsgemeinschaft Röderaue/Wülknitz,4
Verwaltungsgemeinschaft Nünchritz/Glaubitz,7
"Strehla, Stadt",3
Niederau,1
"Frauenstein, Stadt",28
Mühlau,16
Leubsdorf,21
Eppendorf,23
"Oederan, Stadt",43
"Brand-Erbisdorf, Stadt",46
Weißenborn/Erzgeb.,12
Zettlitz,3
Taura,10
"Augustusburg, Stadt",19
Halsbrücke,21
Striegistal,19
Dorfchemnitz,6
Zschaitz-Ottewig,5
Oberschöna,12
Königsfeld,5
"Großschirma, Stadt",20
Niederwiesa,17
"Roßwein, Stadt",26
Hartmannsdorf (Landkreis Mittelsachsen),15
Bobritzsch-Hilbersdorf,19
"Flöha, Stadt",35
"Hainichen, Stadt",27
Lichtenau,22
Ostrau,11
Lichtenberg/Erzgeb.,8
Großhartmannsdorf,7
"Freiberg, Stadt, Universitätsstadt",115
"Burgstädt, Stadt",28
"Frankenberg/Sa., Stadt",36
"Leisnig, Stadt",20
"Hartha, Stadt",15
"Penig, Stadt",18
"Rochlitz, Stadt",11
Kriebstein,4
"Döbeln, Stadt",45
Großweitzschen,5
Reinsberg,5
Rossau,6
Neuhausen/Erzgeb.,4
"Lunzenau, Stadt",6
"Geringswalde, Stadt",6
"Waldheim, Stadt",12
Claußnitz,4
"Mittweida, Stadt, Hochschulstadt",19
Mulda/Sa.,3
Königshain-Wiederau,3
Wechselburg,2
Rechenberg-Bienenmühle,2
Seelitz,1
"Sayda, Stadt",1
Altmittweida,1
Erlau,1
Naundorf,15
Trossin,6
Jesewitz,13
"Mügeln, Stadt",23
Wermsdorf,18
Löbnitz,7
Doberschütz,13
"Oschatz, Stadt",41
Zschepplin,8
Wiedemar,9
"Delitzsch, Stadt",41
Rackwitz,8
Elsnig,2
"Eilenburg, Stadt",22
"Torgau, Stadt",27
Liebschützberg,4
Krostitz,5
"Dahlen, Stadt",5
"Taucha, Stadt",17
Arzberg,2
"Belgern-Schildau, Stadt",8
Beilrode,4
Dreiheide,2
"Bad Düben, Stadt",7
"Schkeuditz, Stadt",15
Mockrehna,4
Cavertitz,1
"Dommitzsch, Stadt",1
Schönwölkau,1
Laußig,0
Hermsdorf/Erzgeb.,5
Hartmannsdorf-Reichenau,6
Müglitztal,8
Klingenberg,28
"Sebnitz, Stadt",35
"Königstein/Sächs. Schw., Stadt",7
"Rabenau, Stadt",14
"Hohnstein, Stadt",10
"Glashütte, Stadt",17
"Bad Schandau, Stadt",9
"Tharandt, Stadt",13
"Wilsdruff, Stadt",34
Reinhardtsdorf-Schöna,3
"Neustadt in Sachsen, Stadt",27
Gohrisch,4
Kreischa,10
Rathmannsdorf,2
"Heidenau, Stadt",35
Lohmen,6
"Freital, Stadt",76
"Stolpen, Stadt",10
Struppen,4
"Dippoldiswalde, Stadt",22
Rosenthal-Bielatal,2
"Pirna, Stadt",47
Dorfhain,1
Bannewitz,9
"Dohna, Stadt",5
Bahretal,1
"Altenberg, Stadt",3
Dürrröhrsdorf-Dittersbach,1
"Bad Gottleuba-Berggießhübel, Stadt",1
Dohma,0
"Liebstadt, Stadt",0
"Rathen, Kurort",0
"Stadt Wehlen, Stadt",0
Heinsdorfergrund,10
Eichigt,5
"Schöneck/Vogtl., Stadt",13
Steinberg,10
Bösenbrunn,4
"Elsterberg, Stadt",12
Grünbach,5
Tirpersdorf,4
Neuensalz,5
Muldenhammer,7
Rosenbach/Vogtl.,9
Limbach,3
Bergen,2
Neustadt/Vogtl.,2
"Oelsnitz/Vogtl., Stadt",20
Theuma,2
"Klingenthal, Stadt",16
"Falkenstein/Vogtl., Stadt",15
"Treuen, Stadt",14
"Plauen, Stadt",109
"Adorf/Vogtl., Stadt",8
"Auerbach/Vogtl., Stadt",30
Bad Brambach,3
"Pausa-Mühltroff, Stadt",8
Ellefeld,4
"Rodewisch, Stadt",10
Neumark,4
"Reichenbach im Vogtland, Stadt",26
Pöhl,3
Weischlitz,7
"Bad Elster, Stadt",4
"Lengenfeld, Stadt",7
Triebel/Vogtl.,1
Mühlental,1
Werda,1
"Markneukirchen, Stadt",4
"Netzschkau, Stadt",1
"Oberlungwitz, Stadt",54
"Hohenstein-Ernstthal, Stadt",74
"Limbach-Oberfrohna, Stadt",119
Niederfrohna,9
St. Egidien,13
"Wildenfels, Stadt",13
Hartmannsdorf b. Kirchberg,5
Hirschfeld,4
"Glauchau, Stadt",64
Callenberg,14
Reinsdorf,21
Bernsdorf (Landkreis Zwickau),6
Crinitzberg,5
"Crimmitschau, Stadt",47
Fraureuth,13
Mülsen,28
Langenbernsdorf,9
Langenweißbach,6
"Zwickau, Stadt",213
Dennheritz,3
"Hartenstein, Stadt",10
"Werdau, Stadt",45
"Lichtenstein/Sa., Stadt",24
Oberwiera,2
"Meerane, Stadt",26
Remse,3
Gersdorf,7
"Wilkau-Haßlau, Stadt",17
Lichtentanne,11
"Kirchberg, Stadt",13
"Waldenburg, Stadt",4
Neukirchen/Pleiße,3
Schönberg,0
Dresden,626
Leipzig,577
Chemnitz,542
