Gemeinde,Neuzugänge letzten 7 Tage
Arnsdorf,28
Malschwitz,25
Spreetal,9
Schwepnitz,12
Laußnitz,9
"Bernsdorf, Stadt (Landkreis Bautzen)",29
Rammenau,6
Radibor,13
Göda,12
Kubschütz,10
Haselbachtal,13
Ohorn,8
Königswartha,11
Steinigtwolmsdorf,9
Wachau,13
Neukirch/Lausitz,14
Großdubrau,12
Lohsa,14
"Lauta, Stadt",22
"Schirgiswalde-Kirschau, Stadt",16
"Großröhrsdorf, Stadt",25
Cunewalde,11
Doberschau-Gaußig,10
"Wilthen, Stadt",11
Demitz-Thumitz,6
Oßling,5
Hochkirch,5
Großharthau,6
"Bautzen, Stadt",78
"Pulsnitz, Stadt",15
Schmölln-Putzkau,6
Ottendorf-Okrilla,20
"Wittichenau, Stadt",11
Burkau,5
Neukirch,3
Großpostwitz/O.L.,5
"Bischofswerda, Stadt",19
"Kamenz, Stadt",29
Nebelschütz,2
"Weißenberg, Stadt",5
"Radeberg, Stadt",30
"Hoyerswerda, Stadt",46
"Königsbrück, Stadt",6
Puschwitz,1
Steina,2
Lichtenberg (Landkreis Bautzen),2
Elsterheide,4
"Elstra, Stadt",3
Frankenthal,1
Sohland a. d. Spree,7
Großnaundorf,1
Panschwitz-Kuckau,2
Crostwitz,1
Obergurig,2
Räckelwitz,1
Neschwitz,2
Ralbitz-Rosenthal,1
Stützengrün,11
"Jöhstadt, Stadt",9
"Thalheim/Erzgeb., Stadt",20
Tannenberg,3
Königswalde,6
Bärenstein,6
Heidersdorf,2
Zschorlau,13
"Annaberg-Buchholz, Stadt",48
Gornau/Erzgeb.,9
"Zschopau, Stadt",21
Hohndorf,8
"Lugau/Erzgeb., Stadt",18
"Schneeberg, Stadt",31
Mildenau,7
"Pockau-Lengefeld, Stadt",15
"Seiffen/Erzgeb., Kurort",4
"Oelsnitz/Erzgeb., Stadt",21
"Johanngeorgenstadt, Stadt",7
Grünhainichen,6
"Ehrenfriedersdorf, Stadt",8
Burkhardtsdorf,10
Thermalbad Wiesenbad,5
"Wolkenstein, Stadt",6
"Eibenstock, Stadt",11
Großrückerswalde,5
"Aue-Bad Schlema, Stadt",29
Sehmatal,9
Neukirchen/Erzgeb.,10
"Stollberg/Erzgeb., Stadt",16
Schönheide,6
"Grünhain-Beierfeld, Stadt",8
"Thum, Stadt",7
Bockau,3
Gelenau/Erzgeb.,5
Raschau-Markersbach,6
"Schwarzenberg/Erzgeb., Stadt",19
"Lauter-Bernsbach, Stadt",10
Niederwürschnitz,3
"Zwönitz, Stadt",13
"Elterlein, Stadt",3
Gornsdorf,2
"Scheibenberg, Stadt",2
"Lößnitz, Stadt",7
"Schlettau, Stadt",2
Auerbach (Erzgebirgskreis),2
Amtsberg,3
Drebach,4
"Olbernhau, Stadt",8
Niederdorf,1
"Marienberg, Stadt",11
"Geyer, Stadt",2
Breitenbrunn/Erzgeb.,3
Jahnsdorf/Erzgeb.,3
"Oberwiesenthal, Kurort, Stadt",1
Großolbersdorf,1
Börnichen/Erzgeb.,0
Crottendorf,0
Deutschneudorf,0
Mücka,7
Leutersdorf,20
Dürrhennersdorf,5
Schleife,11
"Weißwasser/O.L., Stadt",70
Rietschen,11
"Rothenburg/O.L., Stadt",19
Königshain,5
Schöpstal,10
Waldhufen,10
"Seifhennersdorf, Stadt",15
Krauschwitz i.d. O.L.,14
Markersdorf,16
Groß Düben,4
Trebendorf,3
Bertsdorf-Hörnitz,7
"Niesky, Stadt",30
"Ostritz, Stadt",7
"Görlitz, Stadt",161
Oderwitz,14
"Bernstadt a. d. Eigen, Stadt",9
Hohendubrau,5
Beiersdorf,3
Kottmar,19
Rosenbach,4
Quitzdorf am See,3
Neißeaue,4
"Löbau, Stadt",30
"Herrnhut, Stadt",12
Olbersdorf,9
Gablenz,3
"Zittau, Stadt",45
Mittelherwigsdorf,6
Großschweidnitz,2
Oybin,2
"Ebersbach-Neugersdorf, Stadt",16
"Bad Muskau, Stadt",5
Großschönau,7
Oppach,3
Kodersdorf,3
"Neusalza-Spremberg, Stadt",4
Vierkirchen,2
Kreba-Neudorf,1
Hähnichen,1
Weißkeißel,1
"Jonsdorf, Kurort",1
Hainewalde,1
Lawalde,1
"Reichenbach/O.L., Stadt",2
Boxberg/O.L.,1
Horka,0
Schönau-Berzdorf a. d. Eigen,0
Schönbach,0
Borsdorf,50
Belgershain,18
"Bad Lausick, Stadt",38
"Zwenkau, Stadt",40
"Böhlen, Stadt",25
Otterwisch,5
