Gemeinde,Neuzugänge letzten 7 Tage
Großharthau,12
Großnaundorf,3
Ohorn,6
Frankenthal,2
Haselbachtal,8
"Weißenberg, Stadt",6
Ralbitz-Rosenthal,3
Göda,5
"Radeberg, Stadt",29
Burkau,4
Wachau,6
"Wittichenau, Stadt",8
Hochkirch,3
Neukirch,2
Kubschütz,3
"Elstra, Stadt",3
Spreetal,2
Laußnitz,2
Steinigtwolmsdorf,3
Arnsdorf,5
Obergurig,2
"Lauta, Stadt",7
"Großröhrsdorf, Stadt",8
"Wilthen, Stadt",4
"Hoyerswerda, Stadt",25
Demitz-Thumitz,2
"Bischofswerda, Stadt",8
Großpostwitz/O.L.,2
Ottendorf-Okrilla,7
"Königsbrück, Stadt",3
"Bernsdorf,  Stadt (Landkreis Bautzen)",4
Steina,1
Königswartha,2
"Pulsnitz, Stadt",4
Oßling,1
"Kamenz, Stadt",7
"Bautzen, Stadt",13
Radibor,1
Cunewalde,1
Lohsa,1
"Schirgiswalde-Kirschau, Stadt",1
Sohland a. d. Spree,1
Crostwitz,0
Doberschau-Gaußig,0
Elsterheide,0
Großdubrau,0
Lichtenberg (Landkreis Bautzen),0
Malschwitz,0
Nebelschütz,0
Neschwitz,0
Neukirch/Lausitz,0
Panschwitz-Kuckau,0
Puschwitz,0
Räckelwitz,0
Rammenau,0
Schmölln-Putzkau,0
Schwepnitz,0
Heidersdorf,6
Deutschneudorf,6
Tannenberg,5
"Olbernhau, Stadt",46
"Scheibenberg, Stadt",7
Zschorlau,16
"Seiffen/Erzgeb., Kurort",5
"Jöhstadt, Stadt",6
Gornau/Erzgeb.,7
Schönheide,8
Drebach,9
Bärenstein,4
Thermalbad Wiesenbad,5
"Zschopau, Stadt",14
"Oberwiesenthal, Kurort, Stadt",3
Hohndorf,5
"Annaberg-Buchholz, Stadt",28
"Stollberg/Erzgeb., Stadt",16
"Elterlein, Stadt",4
"Eibenstock, Stadt",10
Stützengrün,4
"Schlettau, Stadt",3
"Pockau-Lengefeld, Stadt",9
Mildenau,4
"Thum, Stadt",6
"Oelsnitz/Erzgeb., Stadt",12
"Ehrenfriedersdorf, Stadt",5
"Grünhain-Beierfeld, Stadt",6
Börnichen/Erzgeb.,1
"Thalheim/Erzgeb., Stadt",6
"Marienberg, Stadt",16
"Schneeberg, Stadt",13
Königswalde,2
Großrückerswalde,3
Auerbach (Erzgebirgskreis),2
Raschau-Markersbach,4
Sehmatal,5
"Johanngeorgenstadt, Stadt",3
Breitenbrunn/Erzgeb.,4
"Lugau/Erzgeb., Stadt",6
Crottendorf,3
Jahnsdorf/Erzgeb.,4
Gelenau/Erzgeb.,3
Großolbersdorf,2
"Aue-Bad Schlema, Stadt",13
"Lauter-Bernsbach, Stadt",5
Gornsdorf,1
"Wolkenstein, Stadt",2
Bockau,1
Niederwürschnitz,1
"Schwarzenberg/Erzgeb., Stadt",6
"Zwönitz, Stadt",4
Burkhardtsdorf,2
Grünhainichen,1
"Geyer, Stadt",1
"Lößnitz, Stadt",1
Amtsberg,0
Neukirchen/Erzgeb.,0
Niederdorf,0
Gablenz,35
Kodersdorf,8
Vierkirchen,4
"Ebersbach-Neugersdorf, Stadt",24
"Jonsdorf, Kurort",3
Großschönau,10
Kottmar,12
Oppach,3
"Neusalza-Spremberg, Stadt",4
"Herrnhut, Stadt",7
"Weißwasser/O.L., Stadt",19
Neißeaue,2
Kreba-Neudorf,1
Krauschwitz i.d. O.L.,4
"Seifhennersdorf, Stadt",4
"Bad Muskau, Stadt",4
Hohendubrau,2
Groß Düben,1
Oderwitz,4
