Gemeinde,Neuzugänge letzten 7 Tage
"Wilthen, Stadt",23
Göda,14
Rammenau,6
Demitz-Thumitz,9
Panschwitz-Kuckau,7
Nebelschütz,4
Steinigtwolmsdorf,8
Hochkirch,6
Radibor,8
Ottendorf-Okrilla,25
Doberschau-Gaußig,10
Burkau,6
Neukirch/Lausitz,11
"Weißenberg, Stadt",7
Großharthau,6
"Schirgiswalde-Kirschau, Stadt",13
Sohland a. d. Spree,14
Kubschütz,5
Crostwitz,2
Malschwitz,9
Arnsdorf,9
Räckelwitz,2
Haselbachtal,7
Königswartha,6
Neschwitz,4
Großdubrau,7
"Bischofswerda, Stadt",18
Spreetal,3
Großpostwitz/O.L.,4
Obergurig,3
"Pulsnitz, Stadt",10
Lichtenberg (Landkreis Bautzen),2
Lohsa,6
Cunewalde,5
Frankenthal,1
"Bautzen, Stadt",40
"Großröhrsdorf, Stadt",10
Schmölln-Putzkau,3
"Radeberg, Stadt",17
Elsterheide,3
"Hoyerswerda, Stadt",25
"Kamenz, Stadt",11
Steina,1
"Wittichenau, Stadt",3
Wachau,2
"Bernsdorf, Stadt (Landkreis Bautzen)",1
"Lauta, Stadt",1
"Elstra, Stadt",0
Großnaundorf,0
"Königsbrück, Stadt",0
Laußnitz,0
Neukirch,0
Ohorn,0
Oßling,0
Puschwitz,0
Ralbitz-Rosenthal,0
Schwepnitz,0
Deutschneudorf,14
Gornsdorf,14
"Oberwiesenthal, Kurort, Stadt",14
"Seiffen/Erzgeb., Kurort",13
Großolbersdorf,17
"Thalheim/Erzgeb., Stadt",35
"Grünhain-Beierfeld, Stadt",33
Gornau/Erzgeb.,21
Schönheide,24
Tannenberg,6
Breitenbrunn/Erzgeb.,26
Auerbach (Erzgebirgskreis),12
"Thum, Stadt",25
"Zwönitz, Stadt",58
"Scheibenberg, Stadt",10
Niederwürschnitz,12
"Lößnitz, Stadt",37
Raschau-Markersbach,22
Börnichen/Erzgeb.,4
