Gemeinde,Neuzugänge letzten 7 Tage
Demitz-Thumitz,23
Neukirch,11
Hochkirch,12
Großdubrau,19
Frankenthal,4
Malschwitz,20
"Weißenberg, Stadt",13
Großpostwitz/O.L.,11
Ottendorf-Okrilla,39
Obergurig,8
Arnsdorf,18
"Königsbrück, Stadt",16
"Schirgiswalde-Kirschau, Stadt",21
Oßling,7
"Bautzen, Stadt",105
Göda,8
Steina,4
Ohorn,6
Doberschau-Gaußig,10
Kubschütz,6
Schmölln-Putzkau,7
"Wilthen, Stadt",11
Rammenau,3
Radibor,6
Steinigtwolmsdorf,5
Räckelwitz,2
Nebelschütz,2
Sohland a. d. Spree,11
Laußnitz,3
"Radeberg, Stadt",29
"Großröhrsdorf, Stadt",15
Cunewalde,7
"Elstra, Stadt",4
Panschwitz-Kuckau,3
Großharthau,4
"Kamenz, Stadt",24
Haselbachtal,5
Lichtenberg (Landkreis Bautzen),2
Puschwitz,1
Schwepnitz,3
"Bischofswerda, Stadt",13
Ralbitz-Rosenthal,2
Elsterheide,4
Spreetal,2
Großnaundorf,1
Lohsa,5
Wachau,4
"Bernsdorf,  Stadt (Landkreis Bautzen)",6
"Wittichenau, Stadt",5
Königswartha,3
Neschwitz,2
Neukirch/Lausitz,4
Burkau,2
"Hoyerswerda, Stadt",21
"Pulsnitz, Stadt",3
"Lauta, Stadt",3
Crostwitz,0
Gornau/Erzgeb.,29
Bockau,17
"Johanngeorgenstadt, Stadt",26
Großolbersdorf,17
Auerbach (Erzgebirgskreis),14
Burkhardtsdorf,30
"Lauter-Bernsbach, Stadt",42
Gornsdorf,9
Drebach,24
"Wolkenstein, Stadt",17
Schönheide,19
"Zschopau, Stadt",36
Großrückerswalde,13
"Oberwiesenthal, Kurort, Stadt",8
Mildenau,13
"Schwarzenberg/Erzgeb., Stadt",61
Gelenau/Erzgeb.,15
Amtsberg,13
"Elterlein, Stadt",10
Zschorlau,18
"Marienberg, Stadt",58
"Oelsnitz/Erzgeb., Stadt",37
"Schlettau, Stadt",8
Jahnsdorf/Erzgeb.,17
Niederwürschnitz,8
"Grünhain-Beierfeld, Stadt",18
Neukirchen/Erzgeb.,20
Hohndorf,10
"Thum, Stadt",14
Grünhainichen,9
"Thalheim/Erzgeb., Stadt",16
"Zwönitz, Stadt",32
"Schneeberg, Stadt",37
"Pockau-Lengefeld, Stadt",20
Stützengrün,8
"Lugau/Erzgeb., Stadt",20
"Olbernhau, Stadt",27
"Scheibenberg, Stadt",5
Sehmatal,15
"Lößnitz, Stadt",19
"Stollberg/Erzgeb., Stadt",26
"Aue-Bad Schlema, Stadt",46
Raschau-Markersbach,11
"Annaberg-Buchholz, Stadt",43
"Ehrenfriedersdorf, Stadt",10
"Geyer, Stadt",7
Börnichen/Erzgeb.,2
Deutschneudorf,2
Thermalbad Wiesenbad,6
"Eibenstock, Stadt",13
"Jöhstadt, Stadt",4
Breitenbrunn/Erzgeb.,7
Heidersdorf,1
Crottendorf,5
"Seiffen/Erzgeb., Kurort",2
Tannenberg,1
Königswalde,2
Bärenstein,2
Niederdorf,1
Schönbach,8
Dürrhennersdorf,6
Schönau-Berzdorf a. d. Eigen,8
Lawalde,10
Königshain,6
Hohendubrau,6
"Ostritz, Stadt",7
Oppach,7
Schöpstal,7
Markersdorf,11
"Niesky, Stadt",26
"Seifhennersdorf, Stadt",10
"Jonsdorf, Kurort",4
Hähnichen,3
"Bernstadt a. d. Eigen, Stadt",8
Horka,4
Leutersdorf,8
"Löbau, Stadt",32
Kottmar,16
"Ebersbach-Neugersdorf, Stadt",24
Hainewalde,3
"Neusalza-Spremberg, Stadt",6
"Rothenburg/O.L., Stadt",8
Kodersdorf,4
"Bad Muskau, Stadt",6
Quitzdorf am See,2
"Zittau, Stadt",40
Großschweidnitz,2
"Görlitz, Stadt",88
Weißkeißel,2
Oybin,2
"Weißwasser/O.L., Stadt",23
Krauschwitz i.d. O.L.,5
Bertsdorf-Hörnitz,3
Waldhufen,3
Gablenz,2
Schleife,3
Mücka,1
"Reichenbach/O.L., Stadt",5
Großschönau,5
Boxberg/O.L.,4
Beiersdorf,1
Rosenbach,1
Vierkirchen,1
Neißeaue,1
Olbersdorf,2
Oderwitz,2
Rietschen,1
"Herrnhut, Stadt",2
Mittelherwigsdorf,1
Groß Düben,0
Kreba-Neudorf,0
Trebendorf,0
Machern,26
"Rötha, Stadt",19
"Regis-Breitingen, Stadt",12
"Borna, Stadt",58
"Geithain, Stadt",18
"Frohburg, Stadt",31
Lossatal,15
"Böhlen, Stadt",15
Otterwisch,3
"Trebsen/Mulde, Stadt",8
"Zwenkau, Stadt",19
Parthenstein,6
"Grimma, Stadt",48
"Kitzscher, Stadt",8
"Groitzsch, Stadt",10
Neukieritzsch,9
Großpösna,7
"Markkleeberg, Stadt",27
"Colditz, Stadt",9
"Bad Lausick, Stadt",8
"Wurzen, Stadt",16
Borsdorf,8
Bennewitz,4
"Brandis, Stadt",7
Belgershain,2
"Markranstädt, Stadt",9
"Naunhof, Stadt",5
Thallwitz,2
"Pegau, Stadt",3
Elstertrebnitz,0
"Nossen, Stadt",33
Hirschstein,5
Thiendorf,9
"Coswig, Stadt",47
"Großenhain, Stadt",36
Moritzburg,16
"Radeburg, Stadt",14
Priestewitz,6
"Radebeul, Stadt",62
Käbschütztal,5
Klipphausen,18
Zeithain,9
"Meißen, Stadt",44
Diera-Zehren,5
