Gemeinde,Neuzugänge letzten 7 Tage
Spreetal,3
Puschwitz,1
Frankenthal,1
Steinigtwolmsdorf,3
"Schirgiswalde-Kirschau, Stadt",6
Panschwitz-Kuckau,2
Räckelwitz,1
Neschwitz,2
Rammenau,1
Schmölln-Putzkau,2
"Lauta, Stadt",4
Malschwitz,2
"Großröhrsdorf, Stadt",4
Kubschütz,1
Burkau,1
"Radeberg, Stadt",7
"Bischofswerda, Stadt",4
"Weißenberg, Stadt",1
Ottendorf-Okrilla,3
Königswartha,1
"Pulsnitz, Stadt",2
Doberschau-Gaußig,1
Wachau,1
"Königsbrück, Stadt",1
Cunewalde,1
Neukirch/Lausitz,1
"Wilthen, Stadt",1
"Kamenz, Stadt",3
"Bautzen, Stadt",6
"Bernsdorf, Stadt (Landkreis Bautzen)",1
"Hoyerswerda, Stadt",5
Arnsdorf,0
Crostwitz,0
Demitz-Thumitz,0
Elsterheide,0
"Elstra, Stadt",0
Göda,0
Großdubrau,0
Großharthau,0
Großnaundorf,0
Großpostwitz/O.L.,0
Haselbachtal,0
Hochkirch,0
Laußnitz,0
Lichtenberg (Landkreis Bautzen),0
Lohsa,0
Nebelschütz,0
Neukirch,0
Obergurig,0
Ohorn,0
Oßling,0
Radibor,0
Ralbitz-Rosenthal,0
Schwepnitz,0
Sohland a. d. Spree,0
Steina,0
"Wittichenau, Stadt",0
Tannenberg,6
Sehmatal,27
"Jöhstadt, Stadt",8
Breitenbrunn/Erzgeb.,15
Burkhardtsdorf,16
"Scheibenberg, Stadt",5
"Grünhain-Beierfeld, Stadt",14
"Seiffen/Erzgeb., Kurort",5
Niederwürschnitz,6
Gornau/Erzgeb.,8
Gornsdorf,4
Auerbach (Erzgebirgskreis),5
Raschau-Markersbach,10
"Ehrenfriedersdorf, Stadt",9
Großolbersdorf,5
"Geyer, Stadt",6
"Thalheim/Erzgeb., Stadt",10
"Annaberg-Buchholz, Stadt",32
"Olbernhau, Stadt",17
"Thum, Stadt",8
"Wolkenstein, Stadt",6
Mildenau,5
Hohndorf,5
"Zschopau, Stadt",13
Schönheide,6
"Zwönitz, Stadt",16
Bärenstein,3
Neukirchen/Erzgeb.,9
"Lugau/Erzgeb., Stadt",10
Crottendorf,5
"Oelsnitz/Erzgeb., Stadt",13
"Aue-Bad Schlema, Stadt",24
"Schneeberg, Stadt",15
"Elterlein, Stadt",3
Deutschneudorf,1
"Lößnitz, Stadt",8
"Eibenstock, Stadt",7
Königswalde,2
Großrückerswalde,3
Gelenau/Erzgeb.,3
"Pockau-Lengefeld, Stadt",5
Zschorlau,3
Amtsberg,2
"Johanngeorgenstadt, Stadt",2
"Schwarzenberg/Erzgeb., Stadt",8
"Schlettau, Stadt",1
Jahnsdorf/Erzgeb.,2
Stützengrün,1
Thermalbad Wiesenbad,1
Grünhainichen,1
Bockau,0
Börnichen/Erzgeb.,0
Drebach,0
Heidersdorf,0
"Lauter-Bernsbach, Stadt",0
"Marienberg, Stadt",0
Niederdorf,0
"Oberwiesenthal, Kurort, Stadt",0
"Stollberg/Erzgeb., Stadt",0
Weißkeißel,4
Waldhufen,5
Groß Düben,2
Horka,3
Hähnichen,2
Oppach,3
"Bernstadt a. d. Eigen, Stadt",4
"Rothenburg/O.L., Stadt",5
Hohendubrau,2
Dürrhennersdorf,1
Kodersdorf,2
"Reichenbach/O.L., Stadt",4
Oybin,1
"Niesky, Stadt",6
Lawalde,1
"Ebersbach-Neugersdorf, Stadt",6
Boxberg/O.L.,2
Oderwitz,2
"Weißwasser/O.L., Stadt",6
"Löbau, Stadt",5
"Herrnhut, Stadt",2
Leutersdorf,1
Kottmar,2
"Seifhennersdorf, Stadt",1
Markersdorf,1
"Görlitz, Stadt",12
"Zittau, Stadt",4
"Bad Muskau, Stadt",0
Beiersdorf,0
Bertsdorf-Hörnitz,0
Gablenz,0
Großschönau,0
Großschweidnitz,0
Hainewalde,0
"Jonsdorf, Kurort",0
Königshain,0
Krauschwitz i.d. O.L.,0
Kreba-Neudorf,0
Mittelherwigsdorf,0
Mücka,0
Neißeaue,0
"Neusalza-Spremberg, Stadt",0
Olbersdorf,0
"Ostritz, Stadt",0
Quitzdorf am See,0
Rietschen,0
Rosenbach,0
Schleife,0
Schönau-Berzdorf a. d. Eigen,0
Schönbach,0
Schöpstal,0
Trebendorf,0
Vierkirchen,0
"Markranstädt, Stadt",15
Thallwitz,3
"Rötha, Stadt",4
Borsdorf,4
"Böhlen, Stadt",3
"Kitzscher, Stadt",2
"Colditz, Stadt",3
"Naunhof, Stadt",3
"Zwenkau, Stadt",3
"Pegau, Stadt",2
