Gemeinde,Neuzugänge letzten 7 Tage
Puschwitz,5
Steina,7
Spreetal,7
Haselbachtal,12
Frankenthal,2
"Radeberg, Stadt",38
Ohorn,5
Burkau,5
"Königsbrück, Stadt",8
Königswartha,6
Demitz-Thumitz,4
Elsterheide,5
Schmölln-Putzkau,4
Göda,4
Neschwitz,3
Ottendorf-Okrilla,12
Ralbitz-Rosenthal,2
"Bernsdorf,  Stadt (Landkreis Bautzen)",7
Cunewalde,5
Großnaundorf,1
"Weißenberg, Stadt",3
Lohsa,5
Räckelwitz,1
Arnsdorf,4
Nebelschütz,1
Rammenau,1
Großpostwitz/O.L.,2
"Hoyerswerda, Stadt",23
"Kamenz, Stadt",12
Großdubrau,3
"Wittichenau, Stadt",4
Radibor,2
Neukirch/Lausitz,3
Neukirch,1
"Wilthen, Stadt",3
Sohland a. d. Spree,4
"Bischofswerda, Stadt",6
"Pulsnitz, Stadt",4
"Schirgiswalde-Kirschau, Stadt",3
Doberschau-Gaußig,2
Obergurig,1
"Lauta, Stadt",4
Wachau,2
Oßling,1
Malschwitz,2
"Bautzen, Stadt",16
"Großröhrsdorf, Stadt",3
Crostwitz,0
"Elstra, Stadt",0
Großharthau,0
Hochkirch,0
Kubschütz,0
Laußnitz,0
Lichtenberg (Landkreis Bautzen),0
Panschwitz-Kuckau,0
Schwepnitz,0
Steinigtwolmsdorf,0
Deutschneudorf,6
Heidersdorf,4
"Scheibenberg, Stadt",8
"Seiffen/Erzgeb., Kurort",7
Bärenstein,6
"Annaberg-Buchholz, Stadt",50
Grünhainichen,7
"Ehrenfriedersdorf, Stadt",8
Drebach,8
Breitenbrunn/Erzgeb.,8
"Stollberg/Erzgeb., Stadt",17
Crottendorf,6
"Olbernhau, Stadt",16
"Elterlein, Stadt",4
"Lauter-Bernsbach, Stadt",12
Neukirchen/Erzgeb.,9
Stützengrün,4
"Schlettau, Stadt",3
Thermalbad Wiesenbad,4
Raschau-Markersbach,6
"Oelsnitz/Erzgeb., Stadt",11
Sehmatal,6
Jahnsdorf/Erzgeb.,5
Tannenberg,1
Königswalde,2
"Grünhain-Beierfeld, Stadt",5
"Eibenstock, Stadt",6
Niederwürschnitz,2
"Jöhstadt, Stadt",2
"Schwarzenberg/Erzgeb., Stadt",10
Großrückerswalde,2
