Gemeinde,Neuzugänge letzten 7 Tage
Demitz-Thumitz,31
Neukirch,11
Hochkirch,13
Frankenthal,5
Großdubrau,23
Malschwitz,22
"Weißenberg, Stadt",14
Großpostwitz/O.L.,12
Arnsdorf,21
Ottendorf-Okrilla,43
"Schirgiswalde-Kirschau, Stadt",26
Obergurig,8
Räckelwitz,4
"Königsbrück, Stadt",16
"Bautzen, Stadt",135
Steinigtwolmsdorf,9
Oßling,7
Schmölln-Putzkau,9
Rammenau,4
Radibor,9
Ohorn,7
"Wilthen, Stadt",13
Doberschau-Gaußig,11
Göda,8
Lichtenberg (Landkreis Bautzen),4
Steina,4
Nebelschütz,3
Kubschütz,6
Sohland a. d. Spree,15
"Radeberg, Stadt",40
"Großröhrsdorf, Stadt",19
"Bischofswerda, Stadt",21
"Kamenz, Stadt",30
Cunewalde,8
Neschwitz,4
Laußnitz,3
Burkau,4
Haselbachtal,6
"Elstra, Stadt",4
Königswartha,5
Elsterheide,5
Panschwitz-Kuckau,3
"Bernsdorf,  Stadt (Landkreis Bautzen)",9
Puschwitz,1
Schwepnitz,3
Ralbitz-Rosenthal,2
Spreetal,2
Großharthau,3
"Wittichenau, Stadt",6
Großnaundorf,1
Lohsa,5
"Hoyerswerda, Stadt",28
Neukirch/Lausitz,4
"Pulsnitz, Stadt",6
Wachau,2
"Lauta, Stadt",3
Crostwitz,0
Bockau,14
Großolbersdorf,17
Gornau/Erzgeb.,21
"Johanngeorgenstadt, Stadt",20
Auerbach (Erzgebirgskreis),11
Burkhardtsdorf,27
"Lauter-Bernsbach, Stadt",38
Drebach,21
Großrückerswalde,13
"Schwarzenberg/Erzgeb., Stadt",61
Schönheide,16
Gornsdorf,7
"Zschopau, Stadt",32
Hohndorf,11
Niederwürschnitz,8
Zschorlau,16
Börnichen/Erzgeb.,3
Amtsberg,11
Mildenau,10
"Marienberg, Stadt",49
"Oberwiesenthal, Kurort, Stadt",6
Stützengrün,9
"Oelsnitz/Erzgeb., Stadt",31
Neukirchen/Erzgeb.,19
Jahnsdorf/Erzgeb.,15
"Schneeberg, Stadt",38
Crottendorf,11
"Thalheim/Erzgeb., Stadt",16
Gelenau/Erzgeb.,11
"Wolkenstein, Stadt",10
"Schlettau, Stadt",6
"Zwönitz, Stadt",30
"Olbernhau, Stadt",26
"Grünhain-Beierfeld, Stadt",14
Grünhainichen,8
"Lugau/Erzgeb., Stadt",19
Sehmatal,15
"Stollberg/Erzgeb., Stadt",26
"Aue-Bad Schlema, Stadt",46
"Thum, Stadt",11
"Ehrenfriedersdorf, Stadt",10
"Lößnitz, Stadt",17
Deutschneudorf,2
"Annaberg-Buchholz, Stadt",38
Thermalbad Wiesenbad,6
Raschau-Markersbach,9
"Eibenstock, Stadt",13
"Elterlein, Stadt",5
Niederdorf,2
"Pockau-Lengefeld, Stadt",11
"Scheibenberg, Stadt",3
Heidersdorf,1
"Geyer, Stadt",4
Breitenbrunn/Erzgeb.,5
"Seiffen/Erzgeb., Kurort",2
Tannenberg,1
"Jöhstadt, Stadt",2
Königswalde,1
Bärenstein,1
Schönbach,8
Dürrhennersdorf,6
Schönau-Berzdorf a. d. Eigen,8
Lawalde,10
Oppach,8
Königshain,4
Schöpstal,8
"Seifhennersdorf, Stadt",12
"Ostritz, Stadt",7
"Niesky, Stadt",25
Hohendubrau,5
Hähnichen,3
"Bernstadt a. d. Eigen, Stadt",8
Horka,4
Kottmar,17
Leutersdorf,8
"Löbau, Stadt",33
"Neusalza-Spremberg, Stadt",7
Waldhufen,5
"Ebersbach-Neugersdorf, Stadt",25
Kodersdorf,5
"Rothenburg/O.L., Stadt",9
Hainewalde,3
"Jonsdorf, Kurort",3
"Bad Muskau, Stadt",6
Quitzdorf am See,2
"Görlitz, Stadt",89
Großschweidnitz,2
Weißkeißel,2
"Zittau, Stadt",39
Oybin,2
Krauschwitz i.d. O.L.,5
Bertsdorf-Hörnitz,3
Markersdorf,5
Gablenz,2
Schleife,3
Mücka,1
"Reichenbach/O.L., Stadt",5
"Weißwasser/O.L., Stadt",16
Groß Düben,1
Großschönau,5
Boxberg/O.L.,4
Beiersdorf,1
Vierkirchen,1
Neißeaue,1
"Herrnhut, Stadt",3
Olbersdorf,2
Rietschen,1
Mittelherwigsdorf,1
Oderwitz,1
Kreba-Neudorf,0
Rosenbach,0
Trebendorf,0
"Regis-Breitingen, Stadt",14
Machern,23
"Borna, Stadt",62
"Rötha, Stadt",19
"Trebsen/Mulde, Stadt",10
"Frohburg, Stadt",32
Lossatal,15
"Böhlen, Stadt",15
"Geithain, Stadt",15
Otterwisch,3
"Zwenkau, Stadt",19
"Grimma, Stadt",52
Parthenstein,6
"Kitzscher, Stadt",8
Neukieritzsch,11
Großpösna,7
"Markkleeberg, Stadt",28
"Colditz, Stadt",9
"Groitzsch, Stadt",8
"Bad Lausick, Stadt",8
"Wurzen, Stadt",15
Belgershain,3
"Brandis, Stadt",8
Bennewitz,4
"Naunhof, Stadt",7
Borsdorf,6
"Markranstädt, Stadt",10
Thallwitz,2
"Pegau, Stadt",3
Elstertrebnitz,0
Thiendorf,9
"Nossen, Stadt",25
"Coswig, Stadt",39
Moritzburg,14
Priestewitz,5
Klipphausen,16
Diera-Zehren,5
"Großenhain, Stadt",27
"Radebeul, Stadt",50
Käbschütztal,4
Zeithain,8
Ebersbach (Landkreis Meißen),6
"Radeburg, Stadt",10
"Meißen, Stadt",35
"Gröditz, Stadt",8
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,5
"Strehla, Stadt",4
"Lommatzsch, Stadt",5
Hirschstein,2
Weinböhla,10
Verwaltungsgemeinschaft Nünchritz/Glaubitz,7
"Riesa, Stadt",24
Verwaltungsgemeinschaft Röderaue/Wülknitz,2
Niederau,0
Stauchitz,0
"Sayda, Stadt",11
Weißenborn/Erzgeb.,15
"Brand-Erbisdorf, Stadt",56
"Frauenstein, Stadt",16
"Lunzenau, Stadt",23
Eppendorf,20
Striegistal,19
Ostrau,14
Hartmannsdorf (Landkreis Mittelsachsen),16
Neuhausen/Erzgeb.,9
Erlau,11
Wechselburg,6
Lichtenberg/Erzgeb.,9
Leubsdorf,11
"Augustusburg, Stadt",15
Dorfchemnitz,5
"Roßwein, Stadt",24
"Flöha, Stadt",33
Claußnitz,9
