Gemeinde,Neuzugänge letzten 7 Tage
Ralbitz-Rosenthal,85
Frankenthal,25
Göda,81
Großdubrau,102
Malschwitz,111
Räckelwitz,27
Kubschütz,59
Neschwitz,54
Arnsdorf,108
Ottendorf-Okrilla,207
"Pulsnitz, Stadt",149
"Wittichenau, Stadt",111
Großpostwitz/O.L.,53
Lichtenberg (Landkreis Bautzen),32
"Königsbrück, Stadt",85
Panschwitz-Kuckau,38
Crostwitz,19
"Kamenz, Stadt",312
"Bernsdorf, Stadt (Landkreis Bautzen)",113
Cunewalde,81
Haselbachtal,70
Laußnitz,32
Steina,28
"Großröhrsdorf, Stadt",163
"Elstra, Stadt",45
Radibor,52
Oßling,37
Burkau,42
Großharthau,44
Schwepnitz,37
"Lauta, Stadt",122
Wachau,62
Schmölln-Putzkau,43
Neukirch,23
"Bautzen, Stadt",530
Puschwitz,11
Obergurig,29
"Schirgiswalde-Kirschau, Stadt",83
"Bischofswerda, Stadt",141
"Weißenberg, Stadt",38
Steinigtwolmsdorf,35
"Radeberg, Stadt",227
Doberschau-Gaußig,50
Neukirch/Lausitz,57
Elsterheide,41
Rammenau,16
Königswartha,40
Großnaundorf,11
Sohland a. d. Spree,76
Demitz-Thumitz,30
Lohsa,53
Hochkirch,21
Nebelschütz,11
Ohorn,20
"Hoyerswerda, Stadt",242
Spreetal,11
"Wilthen, Stadt",24
Gornsdorf,54
"Scheibenberg, Stadt",56
"Lauter-Bernsbach, Stadt",227
"Geyer, Stadt",89
"Schlettau, Stadt",61
"Lugau/Erzgeb., Stadt",200
"Grünhain-Beierfeld, Stadt",138
Zschorlau,121
"Annaberg-Buchholz, Stadt",446
Auerbach (Erzgebirgskreis),54
Mildenau,76
Thermalbad Wiesenbad,71
Crottendorf,87
"Zwönitz, Stadt",247
Stützengrün,62
Niederwürschnitz,50
Königswalde,38
Jahnsdorf/Erzgeb.,92
"Aue-Bad Schlema, Stadt",338
Tannenberg,18
"Schwarzenberg/Erzgeb., Stadt",267
Bockau,35
"Ehrenfriedersdorf, Stadt",73
Großrückerswalde,53
"Wolkenstein, Stadt",60
Bärenstein,35
"Schneeberg, Stadt",207
Breitenbrunn/Erzgeb.,76
"Thalheim/Erzgeb., Stadt",87
"Marienberg, Stadt",236
"Thum, Stadt",70
Schönheide,59
Deutschneudorf,13
Raschau-Markersbach,66
Grünhainichen,44
Burkhardtsdorf,79
"Pockau-Lengefeld, Stadt",92
Drebach,62
"Elterlein, Stadt",34
Gornau/Erzgeb.,45
"Oelsnitz/Erzgeb., Stadt",129
Sehmatal,73
"Seiffen/Erzgeb., Kurort",24
Niederdorf,15
"Eibenstock, Stadt",77
"Jöhstadt, Stadt",27
Neukirchen/Erzgeb.,74
"Lößnitz, Stadt",84
"Olbernhau, Stadt",111
"Stollberg/Erzgeb., Stadt",111
Gelenau/Erzgeb.,40
Amtsberg,35
"Zschopau, Stadt",84
"Johanngeorgenstadt, Stadt",36
Hohndorf,29
"Oberwiesenthal, Kurort, Stadt",16
Heidersdorf,6
Großolbersdorf,17
Börnichen/Erzgeb.,3
Mücka,21
Großschweidnitz,26
Oppach,46
"Ostritz, Stadt",41
Vierkirchen,27
Waldhufen,38
Trebendorf,13
Königshain,18
"Reichenbach/O.L., Stadt",75
Markersdorf,58
Rosenbach,23
Kottmar,105
Lawalde,25
Schöpstal,31
Quitzdorf am See,16
Beiersdorf,14
Großschönau,65
Horka,20
"Ebersbach-Neugersdorf, Stadt",135
Schönau-Berzdorf a. d. Eigen,17
"Herrnhut, Stadt",66
Oderwitz,55
"Neusalza-Spremberg, Stadt",36
Mittelherwigsdorf,39
Hohendubrau,20
Kodersdorf,25
Hainewalde,16
Weißkeißel,13
"Löbau, Stadt",149
Schönbach,11
"Seifhennersdorf, Stadt",35
"Görlitz, Stadt",530
Olbersdorf,43
"Zittau, Stadt",227
"Bernstadt a. d. Eigen, Stadt",30
"Niesky, Stadt",83
Groß Düben,9
"Jonsdorf, Kurort",12
Bertsdorf-Hörnitz,16
Leutersdorf,27
Neißeaue,13
Oybin,10
Dürrhennersdorf,7
Krauschwitz i.d. O.L.,24
Gablenz,11
"Rothenburg/O.L., Stadt",28
Boxberg/O.L.,26
Schleife,14
"Weißwasser/O.L., Stadt",87
Rietschen,12
"Bad Muskau, Stadt",16
Kreba-Neudorf,3
Hähnichen,4
Otterwisch,42
"Bad Lausick, Stadt",168
"Kitzscher, Stadt",92
"Frohburg, Stadt",218
"Colditz, Stadt",134
"Grimma, Stadt",366
"Markranstädt, Stadt",201
"Regis-Breitingen, Stadt",48
"Rötha, Stadt",71
"Geithain, Stadt",77
Machern,72
"Markkleeberg, Stadt",261
Lossatal,63
Thallwitz,36
Belgershain,33
"Böhlen, Stadt",65
"Borna, Stadt",179
Neukieritzsch,64
"Trebsen/Mulde, Stadt",35
"Naunhof, Stadt",80
Bennewitz,45
Parthenstein,32
Borsdorf,72
"Brandis, Stadt",84
Elstertrebnitz,10
Großpösna,41
"Wurzen, Stadt",117
"Pegau, Stadt",45
"Zwenkau, Stadt",57
"Groitzsch, Stadt",43
"Radeburg, Stadt",126
Thiendorf,63
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,56
Priestewitz,41
"Großenhain, Stadt",220
Verwaltungsgemeinschaft Nünchritz/Glaubitz,86
Klipphausen,117
Weinböhla,117
Ebersbach (Landkreis Meißen),48
Moritzburg,90
"Gröditz, Stadt",67
Hirschstein,19
Diera-Zehren,31
Verwaltungsgemeinschaft Röderaue/Wülknitz,40
"Radebeul, Stadt",308
Zeithain,50
"Nossen, Stadt",86
Niederau,33
"Riesa, Stadt",233
"Meißen, Stadt",193
Käbschütztal,18
"Strehla, Stadt",23
Stauchitz,18
"Coswig, Stadt",114
"Lommatzsch, Stadt",26
Großweitzschen,62
Zschaitz-Ottewig,28
Rossau,73
Striegistal,92
Rechenberg-Bienenmühle,31
Ostrau,59
Bobritzsch-Hilbersdorf,90
Lichtenberg/Erzgeb.,42
Königshain-Wiederau,39
Großhartmannsdorf,36
Reinsberg,40
Claußnitz,41
Eppendorf,53
Oberschöna,43
Wechselburg,23
"Großschirma, Stadt",69
Erlau,39
"Rochlitz, Stadt",69
"Döbeln, Stadt",287
"Brand-Erbisdorf, Stadt",108
"Hainichen, Stadt",100
Halsbrücke,60
"Frauenstein, Stadt",31
"Penig, Stadt",97
"Hartha, Stadt",71
Taura,24
Seelitz,17
"Burgstädt, Stadt",105
Lichtenau,70
"Lunzenau, Stadt",39
Dorfchemnitz,14
Hartmannsdorf (Landkreis Mittelsachsen),40
Zettlitz,6
"Freiberg, Stadt, Universitätsstadt",355
"Waldheim, Stadt",76
"Sayda, Stadt",14
"Roßwein, Stadt",60
"Frankenberg/Sa., Stadt",111
Altmittweida,15
"Mittweida, Stadt, Hochschulstadt",113
Leubsdorf,26
"Leisnig, Stadt",64
"Oederan, Stadt",61
Neuhausen/Erzgeb.,19
"Geringswalde, Stadt",31
Königsfeld,10
Weißenborn/Erzgeb.,18
Mulda/Sa.,16
"Augustusburg, Stadt",27
"Flöha, Stadt",63
Mühlau,12
