Gemeinde,Neuzugänge letzten 7 Tage
Großnaundorf,6
Großharthau,12
Frankenthal,2
Laußnitz,4
Wachau,9
"Weißenberg, Stadt",6
"Elstra, Stadt",5
Hochkirch,4
Haselbachtal,7
"Radeberg, Stadt",31
"Großröhrsdorf, Stadt",14
Göda,4
Radibor,4
Neukirch,2
"Wilthen, Stadt",6
Ohorn,3
Kubschütz,3
Ralbitz-Rosenthal,2
Ottendorf-Okrilla,11
Spreetal,2
Obergurig,2
"Königsbrück, Stadt",4
Neschwitz,2
Arnsdorf,4
Demitz-Thumitz,2
Steinigtwolmsdorf,2
"Kamenz, Stadt",12
"Wittichenau, Stadt",4
"Bischofswerda, Stadt",7
Lichtenberg (Landkreis Bautzen),1
"Pulsnitz, Stadt",4
"Lauta, Stadt",4
"Hoyerswerda, Stadt",15
Schwepnitz,1
"Bautzen, Stadt",15
Großpostwitz/O.L.,1
"Schirgiswalde-Kirschau, Stadt",2
Doberschau-Gaußig,1
Großdubrau,1
Cunewalde,1
Lohsa,1
"Bernsdorf,  Stadt (Landkreis Bautzen)",1
Burkau,0
Crostwitz,0
Elsterheide,0
Königswartha,0
Malschwitz,0
Nebelschütz,0
Neukirch/Lausitz,0
Oßling,0
Panschwitz-Kuckau,0
Puschwitz,0
Räckelwitz,0
Rammenau,0
Schmölln-Putzkau,0
Sohland a. d. Spree,0
Steina,0
"Olbernhau, Stadt",56
Deutschneudorf,4
Bockau,8
Zschorlau,15
Tannenberg,3
Bärenstein,6
Hohndorf,8
Amtsberg,8
"Schlettau, Stadt",5
"Zschopau, Stadt",17
Thermalbad Wiesenbad,6
"Thum, Stadt",9
"Marienberg, Stadt",28
"Eibenstock, Stadt",12
"Grünhain-Beierfeld, Stadt",9
"Lugau/Erzgeb., Stadt",12
Mildenau,5
"Scheibenberg, Stadt",3
"Annaberg-Buchholz, Stadt",28
Heidersdorf,1
"Schneeberg, Stadt",17
Drebach,6
Schönheide,5
"Oelsnitz/Erzgeb., Stadt",12
"Stollberg/Erzgeb., Stadt",12
"Elterlein, Stadt",3
Gornsdorf,2
Börnichen/Erzgeb.,1
Gelenau/Erzgeb.,4
"Oberwiesenthal, Kurort, Stadt",2
"Seiffen/Erzgeb., Kurort",2
"Lauter-Bernsbach, Stadt",8
Grünhainichen,3
"Ehrenfriedersdorf, Stadt",4
Gornau/Erzgeb.,3
"Pockau-Lengefeld, Stadt",6
Sehmatal,5
