Gemeinde,Neuzugänge letzten 7 Tage
Steina,3
Göda,5
Radibor,4
Puschwitz,1
Demitz-Thumitz,3
Spreetal,2
Steinigtwolmsdorf,3
Crostwitz,1
Wachau,4
"Bischofswerda, Stadt",10
"Lauta, Stadt",7
Neukirch/Lausitz,4
"Wilthen, Stadt",4
Nebelschütz,1
Schwepnitz,2
Kubschütz,2
Burkau,2
Rammenau,1
Doberschau-Gaußig,3
Malschwitz,3
"Weißenberg, Stadt",2
Königswartha,2
Elsterheide,2
"Bautzen, Stadt",21
Laußnitz,1
Haselbachtal,2
"Schirgiswalde-Kirschau, Stadt",3
Sohland a. d. Spree,3
Hochkirch,1
Oßling,1
Cunewalde,2
Arnsdorf,2
Großpostwitz/O.L.,1
"Wittichenau, Stadt",2
"Radeberg, Stadt",6
"Bernsdorf, Stadt (Landkreis Bautzen)",2
Großdubrau,1
"Königsbrück, Stadt",1
Lohsa,1
"Kamenz, Stadt",3
"Hoyerswerda, Stadt",5
"Pulsnitz, Stadt",1
"Großröhrsdorf, Stadt",1
Ottendorf-Okrilla,1
"Elstra, Stadt",0
Frankenthal,0
Großharthau,0
Großnaundorf,0
Lichtenberg (Landkreis Bautzen),0
Neschwitz,0
Neukirch,0
Obergurig,0
Ohorn,0
Panschwitz-Kuckau,0
Räckelwitz,0
Ralbitz-Rosenthal,0
Schmölln-Putzkau,0
Königswalde,13
"Jöhstadt, Stadt",14
Deutschneudorf,5
Sehmatal,31
"Oberwiesenthal, Kurort, Stadt",10
Niederdorf,6
Mildenau,14
"Pockau-Lengefeld, Stadt",28
Tannenberg,4
"Marienberg, Stadt",57
"Annaberg-Buchholz, Stadt",63
"Ehrenfriedersdorf, Stadt",15
Gornsdorf,6
"Lauter-Bernsbach, Stadt",27
"Zschopau, Stadt",28
"Thalheim/Erzgeb., Stadt",18
Raschau-Markersbach,14
Thermalbad Wiesenbad,9
Schönheide,12
Burkhardtsdorf,16
Hohndorf,9
Neukirchen/Erzgeb.,17
"Scheibenberg, Stadt",5
Gornau/Erzgeb.,9
"Seiffen/Erzgeb., Kurort",5
"Grünhain-Beierfeld, Stadt",13
"Lößnitz, Stadt",18
Jahnsdorf/Erzgeb.,12
Amtsberg,8
Grünhainichen,7
"Lugau/Erzgeb., Stadt",16
Stützengrün,6
"Olbernhau, Stadt",20
"Oelsnitz/Erzgeb., Stadt",20
Bockau,4
Großrückerswalde,6
Drebach,9
"Elterlein, Stadt",5
Crottendorf,7
"Zwönitz, Stadt",20
Auerbach (Erzgebirgskreis),4
"Schwarzenberg/Erzgeb., Stadt",26
"Wolkenstein, Stadt",6
Zschorlau,8
Großolbersdorf,4
"Stollberg/Erzgeb., Stadt",15
"Schlettau, Stadt",3
"Aue-Bad Schlema, Stadt",25
"Eibenstock, Stadt",8
Börnichen/Erzgeb.,1
"Schneeberg, Stadt",14
Gelenau/Erzgeb.,4
Breitenbrunn/Erzgeb.,5
"Thum, Stadt",4
Niederwürschnitz,2
"Geyer, Stadt",2
"Johanngeorgenstadt, Stadt",2
Bärenstein,1
Heidersdorf,0
Königshain,6
Schönau-Berzdorf a. d. Eigen,7
Hohendubrau,9
"Rothenburg/O.L., Stadt",21
Groß Düben,4
Mücka,3
Vierkirchen,5
Rosenbach,4
"Seifhennersdorf, Stadt",9
Horka,4
"Reichenbach/O.L., Stadt",11
Oybin,3
"Bernstadt a. d. Eigen, Stadt",7
Schleife,5
Markersdorf,8
Schönbach,2
"Ostritz, Stadt",4
Beiersdorf,2
Kodersdorf,4
Lawalde,3
Hähnichen,2
"Herrnhut, Stadt",9
Olbersdorf,7
"Niesky, Stadt",14
Oppach,3
Waldhufen,3
Schöpstal,3
Kreba-Neudorf,1
Mittelherwigsdorf,4
Dürrhennersdorf,1
Großschönau,5
"Löbau, Stadt",13
Krauschwitz i.d. O.L.,3
Quitzdorf am See,1
Oderwitz,4
Großschweidnitz,1
Rietschen,2
"Ebersbach-Neugersdorf, Stadt",9
Kottmar,5
Boxberg/O.L.,3
"Görlitz, Stadt",36
Gablenz,1
"Neusalza-Spremberg, Stadt",2
Neißeaue,1
Leutersdorf,2
"Zittau, Stadt",13
Bertsdorf-Hörnitz,1
"Bad Muskau, Stadt",1
"Weißwasser/O.L., Stadt",2
Hainewalde,0
"Jonsdorf, Kurort",0
Trebendorf,0
Weißkeißel,0
"Regis-Breitingen, Stadt",9
"Frohburg, Stadt",24
"Bad Lausick, Stadt",12
Borsdorf,11
Neukieritzsch,8
"Grimma, Stadt",30
"Geithain, Stadt",7
"Rötha, Stadt",6
"Colditz, Stadt",8
"Brandis, Stadt",9
"Naunhof, Stadt",8
Machern,6
Bennewitz,4
Elstertrebnitz,1
"Markranstädt, Stadt",12
"Böhlen, Stadt",5
"Borna, Stadt",14
"Zwenkau, Stadt",6
Belgershain,2
Thallwitz,2
"Trebsen/Mulde, Stadt",2
"Markkleeberg, Stadt",11
"Wurzen, Stadt",7
"Kitzscher, Stadt",2
"Groitzsch, Stadt",3
Großpösna,2
Lossatal,1
Otterwisch,0
Parthenstein,0
"Pegau, Stadt",0
"Nossen, Stadt",23
Thiendorf,8
Ebersbach (Landkreis Meißen),9
Priestewitz,5
Klipphausen,15
"Strehla, Stadt",5
"Gröditz, Stadt",9
"Lommatzsch, Stadt",6
"Coswig, Stadt",24
Hirschstein,2
Niederau,4
Verwaltungsgemeinschaft Röderaue/Wülknitz,4
"Radebeul, Stadt",31
"Großenhain, Stadt",16
Verwaltungsgemeinschaft Nünchritz/Glaubitz,6
Käbschütztal,2
Zeithain,4
Stauchitz,2
"Riesa, Stadt",18
Moritzburg,5
"Radeburg, Stadt",4
"Meißen, Stadt",15
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,2
Diera-Zehren,1
Weinböhla,0
Oberschöna,14
Reinsberg,12
"Großschirma, Stadt",20
Mühlau,7
Bobritzsch-Hilbersdorf,17
Eppendorf,12
"Frauenstein, Stadt",8
Königsfeld,3
"Oederan, Stadt",16
"Hainichen, Stadt",17
"Flöha, Stadt",21
"Leisnig, Stadt",15
Leubsdorf,6
Halsbrücke,9
"Sayda, Stadt",3
Claußnitz,5
"Frankenberg/Sa., Stadt",23
Niederwiesa,8
Rechenberg-Bienenmühle,3
Königshain-Wiederau,4
"Brand-Erbisdorf, Stadt",14
Lichtenberg/Erzgeb.,4
Großweitzschen,4
"Freiberg, Stadt, Universitätsstadt",58
Ostrau,5
"Waldheim, Stadt",12
Weißenborn/Erzgeb.,3
"Penig, Stadt",10
Wechselburg,2
"Mittweida, Stadt, Hochschulstadt",16
"Roßwein, Stadt",8
"Döbeln, Stadt",24
"Hartha, Stadt",7
Kriebstein,2
"Augustusburg, Stadt",4
"Rochlitz, Stadt",5
Striegistal,4
Rossau,3
Lichtenau,6
Zschaitz-Ottewig,1
Hartmannsdorf (Landkreis Mittelsachsen),3
Dorfchemnitz,1
Erlau,2
"Burgstädt, Stadt",6
Altmittweida,1
Mulda/Sa.,1
Großhartmannsdorf,1
"Lunzenau, Stadt",1
"Geringswalde, Stadt",1
Neuhausen/Erzgeb.,0
Seelitz,0
Taura,0
Zettlitz,0
"Belgern-Schildau, Stadt",28
"Mügeln, Stadt",16
Mockrehna,11
Liebschützberg,6
Jesewitz,5
"Oschatz, Stadt",22
Wiedemar,8
"Eilenburg, Stadt",19
Schönwölkau,3
"Taucha, Stadt",18
"Delitzsch, Stadt",28
Laußig,4
Beilrode,4
Dreiheide,2
Cavertitz,2
Trossin,1
Rackwitz,4
Krostitz,3
"Torgau, Stadt",13
"Bad Düben, Stadt",5
Arzberg,1
Löbnitz,1
Naundorf,1
Wermsdorf,2
Zschepplin,1
"Schkeuditz, Stadt",5
"Dahlen, Stadt",1
Doberschütz,0
"Dommitzsch, Stadt",0
Elsnig,0
Dohma,6
"Stadt Wehlen, Stadt",4
"Glashütte, Stadt",14
Klingenberg,12
Bannewitz,19
"Dippoldiswalde, Stadt",24
Dürrröhrsdorf-Dittersbach,7
"Neustadt in Sachsen, Stadt",19
"Wilsdruff, Stadt",17
Gohrisch,2
Müglitztal,2
Lohmen,3
"Freital, Stadt",37
Bahretal,2
"Liebstadt, Stadt",1
"Pirna, Stadt",30
"Altenberg, Stadt",6
"Tharandt, Stadt",4
"Heidenau, Stadt",12
"Rabenau, Stadt",3
Kreischa,3
"Sebnitz, Stadt",6
Rosenthal-Bielatal,1
"Bad Schandau, Stadt",2
"Dohna, Stadt",3
Struppen,1
"Stolpen, Stadt",2
"Bad Gottleuba-Berggießhübel, Stadt",2
"Hohnstein, Stadt",1
Dorfhain,0
Hartmannsdorf-Reichenau,0
Hermsdorf/Erzgeb.,0
"Königstein/Sächs. Schw., Stadt",0
"Rathen, Kurort",0
Rathmannsdorf,0
Reinhardtsdorf-Schöna,0
"Pausa-Mühltroff, Stadt",11
Neuensalz,3
"Falkenstein/Vogtl., Stadt",11
Bad Brambach,2
"Reichenbach im Vogtland, Stadt",21
Heinsdorfergrund,2
Neumark,3
Bösenbrunn,1
Pöhl,2
"Markneukirchen, Stadt",6
Ellefeld,2
Mühlental,1
Werda,1
"Elsterberg, Stadt",2
Rosenbach/Vogtl.,2
"Plauen, Stadt",31
"Adorf/Vogtl., Stadt",2
"Oelsnitz/Vogtl., Stadt",4
"Auerbach/Vogtl., Stadt",7
Weischlitz,2
"Schöneck/Vogtl., Stadt",1
"Lengenfeld, Stadt",2
"Bad Elster, Stadt",1
"Netzschkau, Stadt",1
"Treuen, Stadt",2
"Klingenthal, Stadt",2
Bergen,0
Eichigt,0
Grünbach,0
Limbach,0
Muldenhammer,0
Neustadt/Vogtl.,0
"Rodewisch, Stadt",0
Steinberg,0
Theuma,0
Tirpersdorf,0
Triebel/Vogtl.,0
Dennheritz,5
"Wildenfels, Stadt",11
Langenweißbach,5
Gersdorf,7
"Oberlungwitz, Stadt",10
Hartmannsdorf b. Kirchberg,2
"Limbach-Oberfrohna, Stadt",33
"Meerane, Stadt",19
St. Egidien,4
"Hohenstein-Ernstthal, Stadt",17
"Lichtenstein/Sa., Stadt",13
Callenberg,5
Fraureuth,5
"Kirchberg, Stadt",8
"Zwickau, Stadt",85
Niederfrohna,2
Langenbernsdorf,3
"Wilkau-Haßlau, Stadt",8
Mülsen,9
Neukirchen/Pleiße,3
"Glauchau, Stadt",17
"Crimmitschau, Stadt",14
"Werdau, Stadt",13
Remse,1
"Hartenstein, Stadt",2
Reinsdorf,3
Lichtentanne,2
"Waldenburg, Stadt",1
Bernsdorf (Landkreis Zwickau),0
Crinitzberg,0
Hirschfeld,0
Oberwiera,0
Schönberg,0
Dresden,413
Leipzig,307
Chemnitz,196
