Gemeinde,Neuzugänge letzten 7 Tage
Neukirch,16
Rammenau,11
Demitz-Thumitz,15
Frankenthal,5
Schmölln-Putzkau,13
"Königsbrück, Stadt",16
Radibor,10
Burkau,8
Göda,9
Doberschau-Gaußig,12
Ohorn,7
Oßling,6
"Weißenberg, Stadt",8
Großpostwitz/O.L.,7
"Wilthen, Stadt",12
Nebelschütz,3
Panschwitz-Kuckau,5
Kubschütz,6
Malschwitz,11
"Schirgiswalde-Kirschau, Stadt",14
Hochkirch,5
Cunewalde,10
"Bautzen, Stadt",83
Steinigtwolmsdorf,6
Großnaundorf,2
"Bischofswerda, Stadt",22
"Pulsnitz, Stadt",15
Crostwitz,2
Großdubrau,8
Lichtenberg (Landkreis Bautzen),3
"Elstra, Stadt",5
Räckelwitz,2
"Großröhrsdorf, Stadt",17
Arnsdorf,8
"Bernsdorf, Stadt (Landkreis Bautzen)",10
Ottendorf-Okrilla,15
Neukirch/Lausitz,7
"Kamenz, Stadt",24
"Radeberg, Stadt",24
Haselbachtal,5
"Hoyerswerda, Stadt",40
Sohland a. d. Spree,8
Großharthau,3
Wachau,4
"Wittichenau, Stadt",5
Lohsa,4
"Lauta, Stadt",6
Steina,1
Königswartha,2
Elsterheide,2
Laußnitz,1
Obergurig,1
Neschwitz,1
Schwepnitz,1
Puschwitz,0
Ralbitz-Rosenthal,0
Spreetal,0
"Scheibenberg, Stadt",16
Burkhardtsdorf,46
Tannenberg,8
Bockau,15
Drebach,29
Raschau-Markersbach,27
Großrückerswalde,18
Gornsdorf,10
Gelenau/Erzgeb.,21
"Thum, Stadt",26
Deutschneudorf,5
"Schlettau, Stadt",11
Breitenbrunn/Erzgeb.,24
Sehmatal,29
Stützengrün,14
"Thalheim/Erzgeb., Stadt",26
Großolbersdorf,12
Niederwürschnitz,11
"Lauter-Bernsbach, Stadt",36
"Schwarzenberg/Erzgeb., Stadt",66
Grünhainichen,13
Heidersdorf,3
"Schneeberg, Stadt",53
"Marienberg, Stadt",64
"Eibenstock, Stadt",27
Schönheide,16
"Zwönitz, Stadt",43
"Wolkenstein, Stadt",14
"Grünhain-Beierfeld, Stadt",21
Bärenstein,8
Zschorlau,18
"Aue-Bad Schlema, Stadt",69
"Oberwiesenthal, Kurort, Stadt",7
"Johanngeorgenstadt, Stadt",13
Auerbach (Erzgebirgskreis),8
"Zschopau, Stadt",29
Hohndorf,11
Börnichen/Erzgeb.,3
Neukirchen/Erzgeb.,21
Mildenau,10
"Lößnitz, Stadt",24
"Oelsnitz/Erzgeb., Stadt",32
Gornau/Erzgeb.,11
"Seiffen/Erzgeb., Kurort",6
"Stollberg/Erzgeb., Stadt",32
Jahnsdorf/Erzgeb.,15
"Olbernhau, Stadt",27
"Pockau-Lengefeld, Stadt",18
"Lugau/Erzgeb., Stadt",19
Niederdorf,3
Königswalde,5
"Annaberg-Buchholz, Stadt",44
Crottendorf,9
Amtsberg,8
"Elterlein, Stadt",6
"Jöhstadt, Stadt",4
"Ehrenfriedersdorf, Stadt",7
Thermalbad Wiesenbad,4
"Geyer, Stadt",4
Lawalde,27
Schönbach,10
Hähnichen,9
Rosenbach,9
Schönau-Berzdorf a. d. Eigen,8
Weißkeißel,7
Hohendubrau,9
Groß Düben,5
Waldhufen,11
Schöpstal,10
Krauschwitz i.d. O.L.,13
Kottmar,27
Markersdorf,14
"Ebersbach-Neugersdorf, Stadt",42
"Niesky, Stadt",33
Neißeaue,6
Beiersdorf,4
Leutersdorf,12
Quitzdorf am See,4
Oppach,7
Kodersdorf,7
Rietschen,7
"Löbau, Stadt",40
"Seifhennersdorf, Stadt",10
Hainewalde,4
"Herrnhut, Stadt",15
Königshain,3
"Reichenbach/O.L., Stadt",12
Vierkirchen,4
"Görlitz, Stadt",128
"Rothenburg/O.L., Stadt",10
"Bernstadt a. d. Eigen, Stadt",7
Boxberg/O.L.,9
"Weißwasser/O.L., Stadt",31
Mittelherwigsdorf,7
Gablenz,3
"Neusalza-Spremberg, Stadt",6
Horka,3
"Zittau, Stadt",34
Kreba-Neudorf,1
Olbersdorf,5
Dürrhennersdorf,1
Oderwitz,5
"Ostritz, Stadt",2
Schleife,2
"Bad Muskau, Stadt",3
Großschweidnitz,1
"Jonsdorf, Kurort",1
Großschönau,3
Bertsdorf-Hörnitz,1
Mücka,0
Oybin,0
Trebendorf,0
"Rötha, Stadt",25
Großpösna,16
"Borna, Stadt",54
"Regis-Breitingen, Stadt",11
"Frohburg, Stadt",35
Parthenstein,9
"Pegau, Stadt",16
Machern,16
Thallwitz,8
Lossatal,12
"Markkleeberg, Stadt",48
"Naunhof, Stadt",16
"Bad Lausick, Stadt",14
"Geithain, Stadt",12
"Groitzsch, Stadt",13
"Böhlen, Stadt",10
"Wurzen, Stadt",24
Otterwisch,2
"Kitzscher, Stadt",7
"Brandis, Stadt",13
"Zwenkau, Stadt",11
