Gemeinde,Neuzugänge letzten 7 Tage
Frankenthal,5
Hochkirch,10
Großpostwitz/O.L.,11
Ottendorf-Okrilla,33
"Weißenberg, Stadt",10
Obergurig,6
Laußnitz,5
Königswartha,9
Cunewalde,11
Großdubrau,10
"Radeberg, Stadt",38
"Pulsnitz, Stadt",15
Doberschau-Gaußig,8
Neukirch,3
Arnsdorf,9
Elsterheide,6
Schwepnitz,4
"Kamenz, Stadt",27
Rammenau,2
"Wilthen, Stadt",7
"Bautzen, Stadt",55
"Königsbrück, Stadt",6
"Bischofswerda, Stadt",14
Steina,2
Ohorn,3
Wachau,5
Burkau,3
"Schirgiswalde-Kirschau, Stadt",7
Malschwitz,5
Steinigtwolmsdorf,3
Crostwitz,1
"Lauta, Stadt",8
"Großröhrsdorf, Stadt",9
Kubschütz,2
Demitz-Thumitz,2
Großharthau,2
"Wittichenau, Stadt",4
Göda,2
Radibor,2
"Bernsdorf,  Stadt (Landkreis Bautzen)",4
Lichtenberg (Landkreis Bautzen),1
Sohland a. d. Spree,4
"Hoyerswerda, Stadt",17
Neschwitz,1
"Elstra, Stadt",1
Schmölln-Putzkau,1
Haselbachtal,1
Lohsa,1
Großnaundorf,0
Nebelschütz,0
Neukirch/Lausitz,0
Oßling,0
Panschwitz-Kuckau,0
Puschwitz,0
Räckelwitz,0
Ralbitz-Rosenthal,0
Spreetal,0
"Johanngeorgenstadt, Stadt",40
Stützengrün,18
Heidersdorf,4
"Marienberg, Stadt",86
"Oelsnitz/Erzgeb., Stadt",46
Gelenau/Erzgeb.,17
Drebach,21
"Geyer, Stadt",13
"Thum, Stadt",18
Jahnsdorf/Erzgeb.,19
"Schwarzenberg/Erzgeb., Stadt",57
"Jöhstadt, Stadt",9
"Scheibenberg, Stadt",7
Burkhardtsdorf,20
"Ehrenfriedersdorf, Stadt",15
Gornau/Erzgeb.,12
Bockau,7
"Olbernhau, Stadt",34
"Eibenstock, Stadt",22
Grünhainichen,10
"Schlettau, Stadt",7
"Schneeberg, Stadt",41
Zschorlau,15
Auerbach (Erzgebirgskreis),7
"Grünhain-Beierfeld, Stadt",16
Crottendorf,11
"Aue-Bad Schlema, Stadt",55
Mildenau,9
Bärenstein,6
Gornsdorf,5
"Lößnitz, Stadt",21
"Lauter-Bernsbach, Stadt",22
"Pockau-Lengefeld, Stadt",19
"Elterlein, Stadt",7
"Zschopau, Stadt",22
Breitenbrunn/Erzgeb.,12
Schönheide,10
"Seiffen/Erzgeb., Kurort",4
Thermalbad Wiesenbad,6
Amtsberg,6
"Zwönitz, Stadt",19
"Thalheim/Erzgeb., Stadt",9
Großolbersdorf,4
Raschau-Markersbach,7
Neukirchen/Erzgeb.,9
"Annaberg-Buchholz, Stadt",24
Niederwürschnitz,3
Hohndorf,4
"Wolkenstein, Stadt",4
"Lugau/Erzgeb., Stadt",8
"Stollberg/Erzgeb., Stadt",11
"Oberwiesenthal, Kurort, Stadt",2
Tannenberg,1
Königswalde,2
Großrückerswalde,3
Sehmatal,3
Börnichen/Erzgeb.,0
Deutschneudorf,0
Niederdorf,0
Leutersdorf,18
Oybin,7
"Neusalza-Spremberg, Stadt",16
Waldhufen,11
Kodersdorf,11
"Seifhennersdorf, Stadt",16
Vierkirchen,7
"Löbau, Stadt",54
Bertsdorf-Hörnitz,7
"Bernstadt a. d. Eigen, Stadt",11
"Jonsdorf, Kurort",5
"Ebersbach-Neugersdorf, Stadt",35
Horka,5
Neißeaue,5
"Rothenburg/O.L., Stadt",13
"Ostritz, Stadt",6
Gablenz,4
Kottmar,18
Großschweidnitz,3
Olbersdorf,11
Trebendorf,2
Kreba-Neudorf,2
"Weißwasser/O.L., Stadt",36
"Niesky, Stadt",21
Mücka,2
Markersdorf,8
Hainewalde,3
Rosenbach,3
"Bad Muskau, Stadt",7
Schönbach,2
Boxberg/O.L.,8
Beiersdorf,2
Krauschwitz i.d. O.L.,6
Oppach,4
Großschönau,9
Schöpstal,4
Lawalde,3
"Reichenbach/O.L., Stadt",8
Hohendubrau,3
"Görlitz, Stadt",87
Rietschen,3
"Herrnhut, Stadt",6
Groß Düben,1
"Zittau, Stadt",22
Oderwitz,4
Schönau-Berzdorf a. d. Eigen,1
Mittelherwigsdorf,2
Schleife,1
Dürrhennersdorf,0
Hähnichen,0
Königshain,0
Quitzdorf am See,0
Weißkeißel,0
Machern,22
"Geithain, Stadt",20
"Böhlen, Stadt",19
"Groitzsch, Stadt",21
"Pegau, Stadt",16
"Borna, Stadt",47
"Zwenkau, Stadt",20
Thallwitz,7
Borsdorf,16
Parthenstein,6
Neukieritzsch,11
Elstertrebnitz,2
"Regis-Breitingen, Stadt",6
"Rötha, Stadt",9
"Markranstädt, Stadt",23
"Markkleeberg, Stadt",33
"Wurzen, Stadt",21
"Frohburg, Stadt",14
Großpösna,6
"Bad Lausick, Stadt",8
Lossatal,6
"Grimma, Stadt",25
Bennewitz,4
"Brandis, Stadt",7
Otterwisch,1
"Kitzscher, Stadt",3
"Colditz, Stadt",3
Belgershain,1
"Naunhof, Stadt",1
"Trebsen/Mulde, Stadt",0
"Nossen, Stadt",44
Priestewitz,9
Ebersbach (Landkreis Meißen),12
"Meißen, Stadt",70
Thiendorf,9
"Radeburg, Stadt",17
"Großenhain, Stadt",41
Verwaltungsgemeinschaft Röderaue/Wülknitz,8
Käbschütztal,5
Verwaltungsgemeinschaft Schönfeld/Lampertswalde,8
Weinböhla,18
"Coswig, Stadt",36
Niederau,7
"Lommatzsch, Stadt",8
Klipphausen,17
Zeithain,9
Stauchitz,4
"Gröditz, Stadt",8
Hirschstein,2
"Radebeul, Stadt",31
"Riesa, Stadt",24
"Strehla, Stadt",3
Diera-Zehren,2
Moritzburg,5
Verwaltungsgemeinschaft Nünchritz/Glaubitz,4
Niederwiesa,33
Claußnitz,19
Striegistal,27
Ostrau,18
Zettlitz,3
"Brand-Erbisdorf, Stadt",40
Altmittweida,8
"Roßwein, Stadt",31
Eppendorf,15
"Oederan, Stadt",28
"Penig, Stadt",28
"Augustusburg, Stadt",14
"Burgstädt, Stadt",33
"Hartha, Stadt",21
Erlau,9
Großhartmannsdorf,7
"Döbeln, Stadt",66
Halsbrücke,14
Hartmannsdorf (Landkreis Mittelsachsen),12
"Freiberg, Stadt, Universitätsstadt",104
Reinsberg,7
"Frankenberg/Sa., Stadt",34
Leubsdorf,8
Mühlau,5
Zschaitz-Ottewig,3
"Rochlitz, Stadt",13
"Waldheim, Stadt",20
Großweitzschen,6
"Flöha, Stadt",21
Dorfchemnitz,3
Bobritzsch-Hilbersdorf,11
Kriebstein,4
Lichtenberg/Erzgeb.,5
Seelitz,3
"Sayda, Stadt",3
"Lunzenau, Stadt",7
Mulda/Sa.,4
Lichtenau,11
"Mittweida, Stadt, Hochschulstadt",22
Königsfeld,2
"Großschirma, Stadt",8
"Hainichen, Stadt",11
Neuhausen/Erzgeb.,3
Wechselburg,2
Rossau,3
Taura,2
Weißenborn/Erzgeb.,2
Königshain-Wiederau,2
"Leisnig, Stadt",6
"Frauenstein, Stadt",2
Rechenberg-Bienenmühle,1
Oberschöna,1
"Geringswalde, Stadt",1
Löbnitz,34
Jesewitz,31
Zschepplin,23
Laußig,23
Doberschütz,17
"Schkeuditz, Stadt",58
Krostitz,12
Schönwölkau,7
"Bad Düben, Stadt",21
Cavertitz,5
Beilrode,9
"Oschatz, Stadt",29
"Eilenburg, Stadt",28
"Delitzsch, Stadt",43
Arzberg,3
"Taucha, Stadt",25
Rackwitz,8
"Belgern-Schildau, Stadt",12
Wiedemar,8
"Dommitzsch, Stadt",3
"Torgau, Stadt",21
Liebschützberg,3
"Mügeln, Stadt",5
Wermsdorf,4
Elsnig,1
Mockrehna,3
Naundorf,1
"Dahlen, Stadt",1
Dreiheide,0
Trossin,0
Gemeinde,Neuzugänge letzten 7 Tage
"Sebnitz, Stadt",53
"Neustadt in Sachsen, Stadt",58
"Königstein/Sächs. Schw., Stadt",10
"Hohnstein, Stadt",15
Dürrröhrsdorf-Dittersbach,16
"Bad Schandau, Stadt",13
Rathmannsdorf,3
"Stadt Wehlen, Stadt",4
Rosenthal-Bielatal,4
Struppen,6
Bahretal,5
Hartmannsdorf-Reichenau,2
Klingenberg,12
"Tharandt, Stadt",9
"Altenberg, Stadt",13
"Liebstadt, Stadt",2
"Heidenau, Stadt",26
Müglitztal,3
Dohma,3
Hermsdorf/Erzgeb.,1
Bannewitz,14
"Bad Gottleuba-Berggießhübel, Stadt",7
"Wilsdruff, Stadt",17
"Pirna, Stadt",45
"Dohna, Stadt",7
"Stolpen, Stadt",6
"Glashütte, Stadt",7
Lohmen,3
"Freital, Stadt",38
"Rabenau, Stadt",4
Gohrisch,1
"Dippoldiswalde, Stadt",7
Kreischa,1
Dorfhain,0
"Rathen, Kurort",0
Reinhardtsdorf-Schöna,0
Weischlitz,60
Steinberg,27
Werda,14
"Pausa-Mühltroff, Stadt",42
Neustadt/Vogtl.,8
Pöhl,17
"Rodewisch, Stadt",43
Heinsdorfergrund,13
"Treuen, Stadt",49
Neuensalz,13
Bad Brambach,10
"Lengenfeld, Stadt",38
"Markneukirchen, Stadt",39
Theuma,5
Grünbach,8
"Elsterberg, Stadt",19
"Schöneck/Vogtl., Stadt",15
Mühlental,6
"Oelsnitz/Vogtl., Stadt",47
"Auerbach/Vogtl., Stadt",80
"Reichenbach im Vogtland, Stadt",89
Limbach,6
"Plauen, Stadt",259
Muldenhammer,12
Ellefeld,9
"Falkenstein/Vogtl., Stadt",28
Bösenbrunn,4
Neumark,10
"Netzschkau, Stadt",13
"Klingenthal, Stadt",27
"Adorf/Vogtl., Stadt",15
Tirpersdorf,4
Rosenbach/Vogtl.,11
Eichigt,3
"Bad Elster, Stadt",8
Bergen,1
Triebel/Vogtl.,0
Langenbernsdorf,49
Crinitzberg,25
Hartmannsdorf b. Kirchberg,11
Bernsdorf (Landkreis Zwickau),15
Schönberg,6
Niederfrohna,10
"Kirchberg, Stadt",32
