,"""Bestaetigte_Faelle"""
Arnsberg,3490
Bestwig,748
Brilon,1017
Eslohe,371
Hallenberg,155
Marsberg,895
Medebach,281
Meschede,1609
Olsberg,535
Schmallenberg,1209
Sundern,1363
Winterberg,404
