,"""Bestaetigte_Faelle"""
Arnsberg,3495
Bestwig,750
Brilon,1017
Eslohe,371
Hallenberg,156
Marsberg,903
Medebach,282
Meschede,1609
Olsberg,535
Schmallenberg,1209
Sundern,1365
Winterberg,404
