,"""Bestaetigte_Faelle"""
Arnsberg,4310
Bestwig,857
Brilon,1393
Eslohe,427
Hallenberg,213
Marsberg,1237
Medebach,346
Meschede,1867
Olsberg,717
Schmallenberg,1458
Sundern,1604
Winterberg,556
