,"""Bestaetigte_Faelle"""
Arnsberg,2791
Bestwig,667
Brilon,810
Eslohe,303
Hallenberg,136
Marsberg,640
Medebach,245
Meschede,1372
Olsberg,446
Schmallenberg,1100
Sundern,1082
Winterberg,328
