,"""Bestaetigte_Faelle"""
Arnsberg,4822
Bestwig,923
Brilon,1677
Eslohe,460
Hallenberg,232
Marsberg,1317
Medebach,400
Meschede,2043
Olsberg,812
Schmallenberg,1551
Sundern,1764
Winterberg,672
