,"""Bestaetigte_Faelle"""
Arnsberg,3974
Bestwig,817
Brilon,1274
Eslohe,405
Hallenberg,204
Marsberg,1162
Medebach,316
Meschede,1766
Olsberg,654
Schmallenberg,1355
Sundern,1540
Winterberg,503
