,"""Bestaetigte_Faelle"""
Arnsberg,3305
Bestwig,736
Brilon,951
Eslohe,348
Hallenberg,142
Marsberg,760
Medebach,262
Meschede,1566
Olsberg,515
Schmallenberg,1165
Sundern,1319
Winterberg,384
