,"""Bestaetigte_Faelle"""
Arnsberg,3355
Bestwig,739
Brilon,970
Eslohe,355
Hallenberg,152
Marsberg,814
Medebach,263
Meschede,1573
Olsberg,521
Schmallenberg,1182
Sundern,1329
Winterberg,388
