,"""Bestaetigte_Faelle"""
Arnsberg,3108
Bestwig,719
Brilon,882
Eslohe,338
Hallenberg,140
Marsberg,713
Medebach,257
Meschede,1510
Olsberg,500
Schmallenberg,1143
Sundern,1231
Winterberg,353
