,"""Bestaetigte_Faelle"""
Arnsberg,5594
Bestwig,1100
Brilon,2177
Eslohe,547
Hallenberg,288
Marsberg,1500
Medebach,518
Meschede,2320
Olsberg,987
Schmallenberg,1805
Sundern,2037
Winterberg,1105
