,"""Bestaetigte_Faelle"""
Arnsberg,3000
Bestwig,693
Brilon,852
Eslohe,332
Hallenberg,140
Marsberg,672
Medebach,255
Meschede,1479
Olsberg,465
Schmallenberg,1139
Sundern,1171
Winterberg,343
