,"""Bestaetigte_Faelle"""
Arnsberg,3161
Bestwig,730
Brilon,903
Eslohe,339
Hallenberg,141
Marsberg,722
Medebach,257
Meschede,1513
Olsberg,509
Schmallenberg,1151
Sundern,1259
Winterberg,361
